s,CNKEY,CN_CODE,SelfText_EN,HTS.Number.Filter,ArmsDual,PlatformPortfolio.USITC,PlatformPortfolio.Ordnance
http://data.europa.eu/xsp/cn2023/930510000080,930510000080,9305 10 00,"Parts and accessories for revolvers or pistols, n.e.s.",Arms,Ordnance and Missiles,Other Small Arms,
http://data.europa.eu/xsp/cn2023/930520000080,930520000080,9305 20 00,"Parts and accessories of shotguns or rifles of heading 9303, n.e.s.",Arms,Ordnance and Missiles,Other Small Arms,
http://data.europa.eu/xsp/cn2023/930591000080,930591000080,9305 91 00,"Parts and accessories of military weapons of heading 9301, n.e.s.",Arms,Ordnance and Missiles,Other Small Arms,
http://data.europa.eu/xsp/cn2023/930599000080,930599000080,9305 99 00,"Parts and accessories for weapons and the like of heading 9303 or 9304, n.e.s. (excl. of shotguns or rifles of heading 9303)",Arms,Ordnance and Missiles,Other Small Arms,
http://data.europa.eu/xsp/cn2023/930600000080,930600000080,9306,"Bombs, grenades, torpedos, mines, missiles, cartridges and other ammunition and projectiles and parts thereof, incl. buckshot, shot and cartridge wads, n.e.s.",Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/930621000080,930621000080,9306 21 00,Cartridges for smooth-barrelled shotguns,Arms,Ordnance and Missiles,Ammunition,
http://data.europa.eu/xsp/cn2023/930629000080,930629000080,9306 29 00,Parts of cartridges for smooth-barrelled shotguns; lead shot for air rifles and pistols,Arms,Ordnance and Missiles,Ammunition,
http://data.europa.eu/xsp/cn2023/930630000080,930630000080,9306 30,"Cartridges for smooth-barrelled shotguns, revolvers and pistols and cartridges for riveting or similar tools or for captive-bolt humane killers, and parts thereof",Arms,Ordnance and Missiles,Ammunition,
http://data.europa.eu/xsp/cn2023/930630100080,930630100080,9306 30 10,Cartridges and parts thereof for revolvers and pistols of heading 9302 and for sub-machine-guns of heading 9301,Arms,Ordnance and Missiles,Ammunition,
http://data.europa.eu/xsp/cn2023/930630300080,930630300080,9306 30 30,Cartridges and parts thereof for military weapons,Arms,Ordnance and Missiles,Ammunition,
http://data.europa.eu/xsp/cn2023/930630900080,930630900080,9306 30 90,"Cartridges and parts thereof, n.e.s.",Arms,Ordnance and Missiles,Ammunition,
http://data.europa.eu/xsp/cn2023/930690000080,930690000080,9306 90,"Bombs, grenades, torpedos, mines, missiles, and other ammunition and projectiles, and parts thereof, n.e.s. (excl. cartridges)",Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/930690100080,930690100080,9306 90 10,"Bombs, grenades, torpedos, mines, missiles and other ammunition and projectiles, and parts thereof for military purposes, n.e.s. (excl. cartridges)",Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/930690900080,930690900080,9306 90 90,"Ammunition and projectiles and parts thereof, n.e.s. (excl. for military purposes)",Arms,Ordnance and Missiles,Ammunition,
http://data.europa.eu/xsp/cn2023/930700000080,930700000080,9307 00 00,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof, and scabbards and sheaths therefor (excl. of precious metal or of metal clad with precious metal, blunt weapons for fencing, hunting knives and daggers, camping knives and other knives of heading 8211, sword belts and the like of leather or textile materials, and sword knots)",Arms,Ordnance and Missiles,Other Small Arms,
