TreasuryAgencyCode,Notes,GWAagencyName,FundingAgencyID,ImplementingAgencyID,AgencyCode,BureauCode,SubfunctionCode,a,Acct_Type,Admin_Bureau,MinOfBPOA,MaxOfEPOA,Fund_Type,SP,ATA,dac_sector_code,USAIDgreenbookImplementingAgencyID,USAIDgreenbookImplementingSubagencyID,USAIDgreenbookFundingAgencyID,implementing_partner_type,assistance_category_id,CSIScreatedDate,CSISmodifiedDate,CSISmodifiedBy,topFundingAgencyIDtotalamount,totalFPDSandFAADSamount,IsManualOverride
86,NULL,DEPARTMENT OF HOUSING & URBAN DEVELOPMENT,8600,NULL,025,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,97045372573.0100,97429910707.6000,0
87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,350000.0000,385309.6400,0
88,NULL,NATIONAL ARCHIVES & RECORDS ADMINISTRATION,8800,NULL,NULL,00,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,788116843.8145,788302134.6445,0
89,NULL,NULL,8900,8900,NULL,NULL,NULL,NULL,NULL,NULL,0,2015,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,113994426399.7482,114026532060.9482,0
90,NULL,SELECTIVE SERVICE SYSTEM,9000,NULL,200,45,054,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,6431886.6400,6432502.8900,0
91,NULL,NULL,9100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2015,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,315585927427.7759,315587157728.6759,0
92,NULL,NULL,6938,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-18 20:00:27.1930000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,1845285.9900,1787713.0800,0
93,NULL,FEDERAL MEDIATION & CONCILIATION SERVICE,9300,NULL,367,00,505,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,7197248.6504,7549902.6504,0
94,NULL,NULL,9400,NULL,NULL,05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-02 18:20:46.3430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,1302000.0000,1302000.0000,0
95,NULL,NULL,NULL,1900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,4588196317.7498,5093404526.3198,0
96,NULL,NULL,96CE,NULL,NULL,00,NULL,NULL,NULL,NULL,0,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,16148369777.0166,20343443520.2320,0
97,NULL,NULL,9700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,159930896779.8301,343952478880.0746,0
98,NULL,NULL,NULL,NULL,460,00,401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1200502.7700,-43925022.6800,0
99,NULL,DEPARTMENT OF THE TREASURY,9900,NULL,NULL,NULL,NULL,,URCPT,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,2513809.2000,4309625.3400,0
235,NULL,MEDICARE PAYMENT ADIVISORY COMMISSION,NULL,NULL,NULL,NULL,NULL,,EXPND,0,2009,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
254,NULL,"REVENUE AND OUTLAYS, DISTRICT OF COLUMBIA",NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,DF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
272,NULL,CONGRESSIONAL-EXECUTIVE COMMISSION ON PEOPLES'S REPUBLIC OF CHINA,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
274,NULL,RONALD REAGAN CENTENNIAL COMMISSION,NULL,NULL,NULL,NULL,NULL,,EXPND,0,2011,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
275,NULL,TREASURY FMS/FO/FASD/IFB,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,FCAS,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
283,NULL,DWIGHT D. EISENHOWER MEMORIAL COMMISSION,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
289,NULL,ABRAHAM LINCOLN BICENTENNIAL COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2010,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
292,NULL,UNITED STATES-CHINA SECURITY REVIEW COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
295,NULL,UNITED STATES COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2015,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
306,NULL,ADVISORY COUNCIL ON HISTORIC PRESERVATION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
310,NULL,ACCESS BOARD,NULL,NULL,NULL,NULL,NULL,,NULL,0,0,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
313,NULL,BARRY GOLDWATER SCHOLARSHIP & EXCELLENCE IN EDUCATION FUND,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,TF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
321,NULL,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
322,NULL,COMM FOR THE STUDY OF INTERNATL MIGRATION & COOP ECONOMIC DEVELOPMENT,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
323,NULL,COMMISSION OF FINE ARTS,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
338,NULL,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,NULL,NULL,NULL,NULL,NULL,,EXPND,0,2009,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
339,NULL,COMMODITY FUTURES TRADING COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
345,NULL,COURT OF VETERANS APPEALS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
347,NULL,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,CWF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
349,NULL,DISTRICT OF COLUMBIA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
352,NULL,FARM CREDIT ADMINISTRATION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
360,NULL,FEDERAL ELECTION COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
362,NULL,APPRAISAL SUBCOMMITTEE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
364,NULL,FEDERAL HOUSING FINANCE BOARD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
368,NULL,FEDERAL MINE SAFETY & HEALTH REVIEW COMMISSION-ADMINISTRATIVE OFFICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
372,NULL,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
373,NULL,INST OF AMERICAN INDIAN & ALASKA NATIVE CULTURE & ARTS DEVELOPMENT,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
376,NULL,UNITED STATES INTERAGENCY COUNCIL ON HOMELESSNESS,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
387,NULL,MARINE MAMMAL COMMISSION,NULL,NULL,NULL,NULL,NULL,,EXPND,0,2008,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
389,NULL,MERIT SYSTEMS PROTECTION BOARD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
394,NULL,NATIONAL CAPITAL PLANNING COMMISSION-OFFICE OF ADMINISTRATION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
400,NULL,NATIONAL COMMISSION ON LIBRARIES & INFORMATION SCIENCE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
413,NULL,NATIONAL COUNCIL ON DISABILITY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
417,NULL,NATIONAL ENDOWMENT FOR THE ARTS & THE HUMANITIES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
419,NULL,NATIONAL INSTITUTE OF BUILDING SCIENCES,NULL,NULL,NULL,NULL,NULL,F,CXPND,0,0,0,CF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
420,NULL,NATIONAL LABOR RELATIONS BOARD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
421,NULL,NATIONAL MEDIATION BOARD-FINANCE OFFICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
424,NULL,NATIONAL TRANSPORTATION SAFETY BOARD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
428,NULL,NEIGHBORHOOD REINVESTMENT CORPORATION,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
431,NULL,NUCLEAR WASTE TECHNICAL REVIEW BOARD,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
432,NULL,OCCUPATIONAL SAFETY & HEALTH REVIEW COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
434,NULL,OFFICE OF GOVERNMENT ETHICS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
435,NULL,NAVAJO & HOPI INDIAN RELOCATION COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
437,NULL,OFFICE OF THE NUCLEAR WASTE NEGOTIATOR,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
438,NULL,PANAMA CANAL COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
453,NULL,STATE JUSTICE INSTITUTE,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
455,NULL,TENNESSEE VALLEY AUTHORITY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
456,NULL,U. S. HOLOCAUST MEMORIAL COUNCIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
458,NULL,U. S. INSTITUTE OF PEACE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
460,NULL,U. S. RAILWAY ASSOCIATION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
465,NULL,HISTORICAL & MEMORIAL COMMISSIONS,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
467,NULL,INTELLIGENCE COMMUNITY OVERSIGHT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
471,NULL,GULF COAST ECOSYSTEM RESTORATION COUNCIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
478,NULL,NATIONAL COUNCIL ON INDIAN OPPORTUNITY,NULL,NULL,NULL,NULL,NULL,F,CXPND,0,0,0,CF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
479,NULL,MILITARY COMPENSATION AND RETIREMENT MODERNIZATION COMMISSION,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
480,NULL,LEGISLATIVE BRANCH BOARDS AND COMMISSION,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,SF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
481,NULL,COMMISSION TO ELIMNATE CHILD ABUSE AND NEGLECT FATALITIES,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
485,NULL,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
486,NULL,UNITED STATES ENRICHMENT CORPORATION FUND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
487,NULL,MORRIS K. UDALL SCHOLARSHIP FOUNDATION,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
510,NULL,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
511,NULL,"DISTRICT OF COLUMBIA, JUSTICE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
512,NULL,PRESIDIO TRUST,NULL,NULL,NULL,NULL,NULL,F,CXPND,0,0,0,CF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
513,NULL,DENALI COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2015,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
514,NULL,BROADCASTING BOARD OF GOVERNORS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2015,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,EXPND,NULL,0,0,GF,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
518,NULL,NATIONAL VETERANS BUSINESS DEVELOPMENT CORPORATION,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
519,NULL,VIETNAM EDUCATION FOUNDATION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
