Unseperated,principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,PDTcategory,PDTSsplit2DigitCode,PDTSsplit3DigitCode
325414: BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,325414,BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,32,325,Manufacturing,1,0
325510: PAINT AND COATING MANUFACTURING,325510,PAINT AND COATING MANUFACTURING,32,325,Manufacturing,1,0
325520: ADHESIVE MANUFACTURING,325520,ADHESIVE MANUFACTURING,32,325,Manufacturing,1,0
325611: SOAP AND OTHER DETERGENT MANUFACTURING,325611,SOAP AND OTHER DETERGENT MANUFACTURING,32,325,Manufacturing,1,0
325612: POLISH AND OTHER SANITATION GOOD MANUFACTURING,325612,POLISH AND OTHER SANITATION GOOD MANUFACTURING,32,325,Manufacturing,1,0
325613: SURFACE ACTIVE AGENT MANUFACTURING,325613,SURFACE ACTIVE AGENT MANUFACTURING,32,325,Manufacturing,1,0
325620: TOILET PREPARATION MANUFACTURING,325620,TOILET PREPARATION MANUFACTURING,32,325,Manufacturing,1,0
325910: PRINTING INK MANUFACTURING,325910,PRINTING INK MANUFACTURING,32,325,Manufacturing,1,0
325920: EXPLOSIVES MANUFACTURING,325920,EXPLOSIVES MANUFACTURING,32,325,Manufacturing,1,0
325991: CUSTOM COMPOUNDING OF PURCHASED RESINS,325991,CUSTOM COMPOUNDING OF PURCHASED RESINS,32,325,Manufacturing,1,0
"325992: PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",325992,"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",32,325,Manufacturing,1,0
325998: ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,325998,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,32,325,Manufacturing,1,0
326111: PLASTICS BAG MANUFACTURING,326111,PLASTICS BAG MANUFACTURING,32,326,Manufacturing,1,0
326112: PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,326112,PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,32,326,Manufacturing,1,0
326113: UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,32,326,Manufacturing,1,0
326121: UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING,326121,UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING,32,326,Manufacturing,1,0
326122: PLASTICS PIPE AND PIPE FITTING MANUFACTURING,326122,PLASTICS PIPE AND PIPE FITTING MANUFACTURING,32,326,Manufacturing,1,0
"326130: LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING",326130,"LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING",32,326,Manufacturing,1,0
326140: POLYSTYRENE FOAM PRODUCT MANUFACTURING,326140,POLYSTYRENE FOAM PRODUCT MANUFACTURING,32,326,Manufacturing,1,0
326150: URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING,326150,URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING,32,326,Manufacturing,1,0
326160: PLASTICS BOTTLE MANUFACTURING,326160,PLASTICS BOTTLE MANUFACTURING,NULL,NULL,NULL,NULL,NULL
326191: PLASTICS PLUMBING FIXTURE MANUFACTURING,326191,PLASTICS PLUMBING FIXTURE MANUFACTURING,32,326,Manufacturing,1,0
326192: RESILIENT FLOOR COVERING MANUFACTURING,326192,RESILIENT FLOOR COVERING MANUFACTURING,32,326,Manufacturing,1,0
326199: ALL OTHER PLASTICS PRODUCT MANUFACTURING,326199,ALL OTHER PLASTICS PRODUCT MANUFACTURING,32,326,Manufacturing,1,0
326211: TIRE MANUFACTURING (EXCEPT RETREADING),326211,TIRE MANUFACTURING (EXCEPT RETREADING),32,326,Manufacturing,1,0
326212: TIRE RETREADING,326212,TIRE RETREADING,NULL,NULL,NULL,NULL,NULL
326220: RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,32,326,Manufacturing,1,0
326291: RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,326291,RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,32,326,Manufacturing,1,0
326299: ALL OTHER RUBBER PRODUCT MANUFACTURING,326299,ALL OTHER RUBBER PRODUCT MANUFACTURING,32,326,Manufacturing,1,0
NULL,327110,NULL,NULL,NULL,NULL,NULL,NULL
327111: VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING,327111,VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING,32,327,Manufacturing,1,0
"327112: VITREOUS CHINA, FINE EARTHENWARE, AND OTHER POTTERY PRODUCT MANUFACTURING",327112,"VITREOUS CHINA, FINE EARTHENWARE, AND OTHER POTTERY PRODUCT MANUFACTURING",32,327,Manufacturing,1,0
327113: PORCELAIN ELECTRICAL SUPPLY MANUFACTURING,327113,PORCELAIN ELECTRICAL SUPPLY MANUFACTURING,32,327,Manufacturing,1,0
NULL,327120,NULL,NULL,NULL,NULL,NULL,NULL
327121: BRICK AND STRUCTURAL CLAY TILE MANUFACTURING,327121,BRICK AND STRUCTURAL CLAY TILE MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327122: CERAMIC WALL AND FLOOR TILE MANUFACTURING,327122,CERAMIC WALL AND FLOOR TILE MANUFACTURING,32,327,Manufacturing,1,0
327123: OTHER STRUCTURAL CLAY PRODUCT MANUFACTURING,327123,OTHER STRUCTURAL CLAY PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327124: CLAY REFRACTORY MANUFACTURING,327124,CLAY REFRACTORY MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327125: NONCLAY REFRACTORY MANUFACTURING,327125,NONCLAY REFRACTORY MANUFACTURING,NULL,NULL,NULL,NULL,NULL
3272: GLASS AND GLASS PRODUCT MANUFACTURING,3272,GLASS AND GLASS PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327211: FLAT GLASS MANUFACTURING,327211,FLAT GLASS MANUFACTURING,32,327,Manufacturing,1,0
327212: OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,327212,OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,32,327,Manufacturing,1,0
327213: GLASS CONTAINER MANUFACTURING,327213,GLASS CONTAINER MANUFACTURING,32,327,Manufacturing,1,0
327215: GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS,327215,GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS,32,327,Manufacturing,1,0
3273: CEMENT AND CONCRETE PRODUCT MANUFACTURING,3273,CEMENT AND CONCRETE PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327310: CEMENT MANUFACTURING,327310,CEMENT MANUFACTURING,32,327,Manufacturing,1,0
327320: READY-MIX CONCRETE MANUFACTURING,327320,READY-MIX CONCRETE MANUFACTURING,32,327,Manufacturing,1,0
327331: CONCRETE BLOCK AND BRICK MANUFACTURING,327331,CONCRETE BLOCK AND BRICK MANUFACTURING,32,327,Manufacturing,1,0
327332: CONCRETE PIPE MANUFACTURING,327332,CONCRETE PIPE MANUFACTURING,32,327,Manufacturing,1,0
32739: OTHER CONCRETE PRODUCT MANUFACTURING,32739,OTHER CONCRETE PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327390: OTHER CONCRETE PRODUCT MANUFACTURING,327390,OTHER CONCRETE PRODUCT MANUFACTURING,32,327,Manufacturing,1,0
327410: LIME MANUFACTURING,327410,LIME MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327420: GYPSUM PRODUCT MANUFACTURING,327420,GYPSUM PRODUCT MANUFACTURING,32,327,Manufacturing,1,0
327910: ABRASIVE PRODUCT MANUFACTURING,327910,ABRASIVE PRODUCT MANUFACTURING,32,327,Manufacturing,1,0
327991: CUT STONE AND STONE PRODUCT MANUFACTURING,327991,CUT STONE AND STONE PRODUCT MANUFACTURING,32,327,Manufacturing,1,0
327992: GROUND OR TREATED MINERAL AND EARTH MANUFACTURING,327992,GROUND OR TREATED MINERAL AND EARTH MANUFACTURING,32,327,Manufacturing,1,0
327993: MINERAL WOOL MANUFACTURING,327993,MINERAL WOOL MANUFACTURING,NULL,NULL,NULL,NULL,NULL
327999: ALL OTHER MISCELLANEOUS NONMETALLIC MINERAL PRODUCT MANUFACTURING,327999,ALL OTHER MISCELLANEOUS NONMETALLIC MINERAL PRODUCT MANUFACTURING,32,327,Manufacturing,1,0
331110: IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING ,331110,IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
331111: IRON AND STEEL MILLS,331111,IRON AND STEEL MILLS,33,331,Manufacturing,1,0
331112: ELECTROMETALLURGICAL FERROALLOY PRODUCT MANUFACTURING,331112,ELECTROMETALLURGICAL FERROALLOY PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
33121: IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,33121,IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,NULL,NULL,NULL,NULL,NULL
331210: IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,331210,IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,33,331,Manufacturing,1,0
331221: ROLLED STEEL SHAPE MANUFACTURING,331221,ROLLED STEEL SHAPE MANUFACTURING,33,331,Manufacturing,1,0
331222: STEEL WIRE DRAWING,331222,STEEL WIRE DRAWING,33,331,Manufacturing,1,0
331311: ALUMINA REFINING,331311,ALUMINA REFINING,NULL,NULL,NULL,NULL,NULL
331312: PRIMARY ALUMINUM PRODUCTION,331312,PRIMARY ALUMINUM PRODUCTION,NULL,NULL,NULL,NULL,NULL
NULL,331313,NULL,NULL,NULL,NULL,NULL,NULL
331314: SECONDARY SMELTING AND ALLOYING OF ALUMINUM,331314,SECONDARY SMELTING AND ALLOYING OF ALUMINUM,NULL,NULL,NULL,NULL,NULL
"331315: ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING",331315,"ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING",NULL,NULL,NULL,NULL,NULL
331316: ALUMINUM EXTRUDED PRODUCT MANUFACTURING,331316,ALUMINUM EXTRUDED PRODUCT MANUFACTURING,33,331,Manufacturing,1,0
NULL,331318,NULL,NULL,NULL,NULL,NULL,NULL
331319: OTHER ALUMINUM ROLLING AND DRAWING,331319,OTHER ALUMINUM ROLLING AND DRAWING,33,331,Manufacturing,1,0
331410: NONFERROUS METAL (EXCEPT ALUMINUM) SMELTING AND REFINING ,331410,NONFERROUS METAL (EXCEPT ALUMINUM) SMELTING AND REFINING ,NULL,NULL,NULL,NULL,NULL
331411: PRIMARY SMELTING AND REFINING OF COPPER,331411,PRIMARY SMELTING AND REFINING OF COPPER,33,331,Manufacturing,1,0
331419: PRIMARY SMELTING AND REFINING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM),331419,PRIMARY SMELTING AND REFINING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM),33,331,Manufacturing,1,0
NULL,331420,NULL,NULL,NULL,NULL,NULL,NULL
"331421: COPPER ROLLING, DRAWING, AND EXTRUDING",331421,"COPPER ROLLING, DRAWING, AND EXTRUDING",33,331,Manufacturing,1,0
331422: COPPER WIRE (EXCEPT MECHANICAL) DRAWING,331422,COPPER WIRE (EXCEPT MECHANICAL) DRAWING,33,331,Manufacturing,1,0
"331423: SECONDARY SMELTING, REFINING, AND ALLOYING OF COPPER",331423,"SECONDARY SMELTING, REFINING, AND ALLOYING OF COPPER",NULL,NULL,NULL,NULL,NULL
"331491: NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING",331491,"NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING",33,331,Manufacturing,1,0
"331492: SECONDARY SMELTING, REFINING, AND ALLOYING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM)",331492,"SECONDARY SMELTING, REFINING, AND ALLOYING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM)",NULL,NULL,NULL,NULL,NULL
331511: IRON FOUNDRIES,331511,IRON FOUNDRIES,33,331,Manufacturing,1,0
331512: STEEL INVESTMENT FOUNDRIES,331512,STEEL INVESTMENT FOUNDRIES,NULL,NULL,NULL,NULL,NULL
331513: STEEL FOUNDRIES (EXCEPT INVESTMENT),331513,STEEL FOUNDRIES (EXCEPT INVESTMENT),NULL,NULL,NULL,NULL,NULL
331521: ALUMINUM DIE-CASTING FOUNDRIES,331521,ALUMINUM DIE-CASTING FOUNDRIES,NULL,NULL,NULL,NULL,NULL
331522: NONFERROUS (EXCEPT ALUMINUM) DIE-CASTING FOUNDRIES,331522,NONFERROUS (EXCEPT ALUMINUM) DIE-CASTING FOUNDRIES,33,331,Manufacturing,1,0
331523: NONFERROUS METAL DIE-CASTING FOUNDRIES ,331523,NONFERROUS METAL DIE-CASTING FOUNDRIES ,NULL,NULL,NULL,NULL,NULL
331524: ALUMINUM FOUNDRIES (EXCEPT DIE-CASTING),331524,ALUMINUM FOUNDRIES (EXCEPT DIE-CASTING),NULL,NULL,NULL,NULL,NULL
331525: COPPER FOUNDRIES (EXCEPT DIE-CASTING),331525,COPPER FOUNDRIES (EXCEPT DIE-CASTING),NULL,NULL,NULL,NULL,NULL
331528: OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),331528,OTHER NONFERROUS FOUNDRIES (EXCEPT DIE-CASTING),NULL,NULL,NULL,NULL,NULL
NULL,331529,NULL,NULL,NULL,NULL,NULL,NULL
332111: IRON AND STEEL FORGING,332111,IRON AND STEEL FORGING,33,332,Manufacturing,1,0
332112: NONFERROUS FORGING,332112,NONFERROUS FORGING,33,332,Manufacturing,1,0
332114: CUSTOM ROLL FORMING,332114,CUSTOM ROLL FORMING,NULL,NULL,NULL,NULL,NULL
332115: CROWN AND CLOSURE MANUFACTURING,332115,CROWN AND CLOSURE MANUFACTURING,NULL,NULL,NULL,NULL,NULL
332116: METAL STAMPING,332116,METAL STAMPING,33,332,Manufacturing,1,0
332117: POWDER METALLURGY PART MANUFACTURING,332117,POWDER METALLURGY PART MANUFACTURING,NULL,NULL,NULL,NULL,NULL
NULL,332119,NULL,NULL,NULL,NULL,NULL,NULL
332211: CUTLERY AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING,332211,CUTLERY AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING,33,332,Manufacturing,1,0
332212: HAND AND EDGE TOOL MANUFACTURING,332212,HAND AND EDGE TOOL MANUFACTURING,33,332,Manufacturing,1,0
332213: SAW BLADE AND HANDSAW MANUFACTURING,332213,SAW BLADE AND HANDSAW MANUFACTURING,33,332,Manufacturing,1,0
"332214: KITCHEN UTENSIL, POT, AND PAN MANUFACTURING",332214,"KITCHEN UTENSIL, POT, AND PAN MANUFACTURING",33,332,Manufacturing,1,0
NULL,332215,NULL,NULL,NULL,NULL,NULL,NULL
332216: SAW BLADE AND HANDTOOL MANUFACTURING ,332216,SAW BLADE AND HANDTOOL MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
332311: PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,332311,PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,33,332,Manufacturing,1,0
332312: FABRICATED STRUCTURAL METAL MANUFACTURING,332312,FABRICATED STRUCTURAL METAL MANUFACTURING,33,332,Manufacturing,1,0
332313: PLATE WORK MANUFACTURING,332313,PLATE WORK MANUFACTURING,33,332,Manufacturing,1,0
332321: METAL WINDOW AND DOOR MANUFACTURING,332321,METAL WINDOW AND DOOR MANUFACTURING,33,332,Manufacturing,1,0
332322: SHEET METAL WORK MANUFACTURING,332322,SHEET METAL WORK MANUFACTURING,33,332,Manufacturing,1,0
332323: ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,332323,ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,33,332,Manufacturing,1,0
332410: POWER BOILER AND HEAT EXCHANGER MANUFACTURING,332410,POWER BOILER AND HEAT EXCHANGER MANUFACTURING,NULL,NULL,NULL,NULL,NULL
33242: METAL TANK (HEAVY GAUGE) MANUFACTURING,33242,METAL TANK (HEAVY GAUGE) MANUFACTURING,NULL,NULL,NULL,NULL,NULL
332420: METAL TANK (HEAVY GAUGE) MANUFACTURING,332420,METAL TANK (HEAVY GAUGE) MANUFACTURING,33,332,Manufacturing,1,0
332431: METAL CAN MANUFACTURING,332431,METAL CAN MANUFACTURING,33,332,Manufacturing,1,0
332439: OTHER METAL CONTAINER MANUFACTURING,332439,OTHER METAL CONTAINER MANUFACTURING,33,332,Manufacturing,1,0
33251: HARDWARE MANUFACTURING,33251,HARDWARE MANUFACTURING,NULL,NULL,NULL,NULL,NULL
332510: HARDWARE MANUFACTURING,332510,HARDWARE MANUFACTURING,33,332,Manufacturing,1,0
332611: SPRING (HEAVY GAUGE) MANUFACTURING,332611,SPRING (HEAVY GAUGE) MANUFACTURING,NULL,NULL,NULL,NULL,NULL
332612: SPRING (LIGHT GAUGE) MANUFACTURING,332612,SPRING (LIGHT GAUGE) MANUFACTURING,33,332,Manufacturing,1,0
332613: SPRING MANUFACTURING ,332613,SPRING MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
332618: OTHER FABRICATED WIRE PRODUCT MANUFACTURING,332618,OTHER FABRICATED WIRE PRODUCT MANUFACTURING,33,332,Manufacturing,1,0
33271: MACHINE SHOPS,33271,MACHINE SHOPS,NULL,NULL,NULL,NULL,NULL
332710: MACHINE SHOPS,332710,MACHINE SHOPS,NULL,NULL,NULL,NULL,NULL
332721: PRECISION TURNED PRODUCT MANUFACTURING,332721,PRECISION TURNED PRODUCT MANUFACTURING,NULL,NULL,NULL,NULL,NULL
"332722: BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",33,332,Manufacturing,1,0
332811: METAL HEAT TREATING,332811,METAL HEAT TREATING,NULL,NULL,NULL,NULL,NULL
"332812: METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS",332812,"METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS",33,332,Manufacturing,1,0
"332813: ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",332813,"ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING",NULL,NULL,NULL,NULL,NULL
332911: INDUSTRIAL VALVE MANUFACTURING,332911,INDUSTRIAL VALVE MANUFACTURING,33,332,Manufacturing,1,0
332912: FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,33,332,Manufacturing,1,0
332913: PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,332913,PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,33,332,Manufacturing,1,0
332919: OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,332919,OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,33,332,Manufacturing,1,0
332991: BALL AND ROLLER BEARING MANUFACTURING,332991,BALL AND ROLLER BEARING MANUFACTURING,NULL,NULL,NULL,NULL,NULL
332992: SMALL ARMS AMMUNITION MANUFACTURING,332992,SMALL ARMS AMMUNITION MANUFACTURING,33,332,Manufacturing,1,0
332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,332993,AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,33,332,Manufacturing,1,0
"332994: SMALL ARMS ORDANCE, AND ORDANCE ACCESSORIES MANUFACTURING",332994,SMALL ARMS MANUFACTURING (INCLUDING ORDNANCE AND ORDNANCE ACCESSORIES),33,332,Manufacturing,1,0
332995: OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,332995,OTHER ORDNANCE AND ACCESSORIES MANUFACTURING,33,332,Manufacturing,1,0
332996: FABRICATED PIPE AND PIPE FITTING MANUFACTURING,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,33,332,Manufacturing,1,0
332997: INDUSTRIAL PATTERN MANUFACTURING,332997,INDUSTRIAL PATTERN MANUFACTURING,NULL,NULL,NULL,NULL,NULL
332998: ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,332998,ENAMELED IRON AND METAL SANITARY WARE MANUFACTURING,33,332,Manufacturing,1,0
332999: ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,33,332,Manufacturing,1,0
333: MACHINERY MANUFACTURING,333,MACHINERY MANUFACTURING,NULL,NULL,NULL,NULL,NULL
333111: FARM MACHINERY AND EQUIPMENT MANUFACTURING,333111,FARM MACHINERY AND EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
333112: LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,333112,LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
33312: CONSTRUCTION MACHINERY MANUFACTURING,33312,CONSTRUCTION MACHINERY MANUFACTURING,NULL,NULL,NULL,NULL,NULL
333120: CONSTRUCTION MACHINERY MANUFACTURING,333120,CONSTRUCTION MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
333131: MINING MACHINERY AND EQUIPMENT MANUFACTURING,333131,MINING MACHINERY AND EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
333132: OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING,333132,OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
333210: SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,333210,SAWMILL AND WOODWORKING MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
333220: PLASTICS AND RUBBER INDUSTRY MACHINERY MANUFACTURING,333220,PLASTICS AND RUBBER INDUSTRY MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
NULL,333241,NULL,NULL,NULL,NULL,NULL,NULL
NULL,333242,NULL,NULL,NULL,NULL,NULL,NULL
NULL,333243,NULL,NULL,NULL,NULL,NULL,NULL
333244: PRINTING MACHINERY AND EQUIPMENT MANUFACTURING ,333244,PRINTING MACHINERY AND EQUIPMENT MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
333249: OTHER INDUSTRIAL MACHINERY MANUFACTURING ,333249,OTHER INDUSTRIAL MACHINERY MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
333291: PAPER INDUSTRY MACHINERY MANUFACTURING,333291,PAPER INDUSTRY MACHINERY MANUFACTURING,NULL,NULL,NULL,NULL,NULL
333292: TEXTILE MACHINERY MANUFACTURING,333292,TEXTILE MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
333293: PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,333293,PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
333294: FOOD PRODUCT MACHINERY MANUFACTURING,333294,FOOD PRODUCT MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
333295: SEMICONDUCTOR MACHINERY MANUFACTURING,333295,SEMICONDUCTOR MACHINERY MANUFACTURING,NULL,NULL,NULL,NULL,NULL
333298: ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,333298,ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
333311: AUTOMATIC VENDING MACHINE MANUFACTURING,333311,AUTOMATIC VENDING MACHINE MANUFACTURING,33,333,Manufacturing,1,0
"333312: COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",333312,"COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",33,333,Manufacturing,1,0
333313: OFFICE MACHINERY MANUFACTURING,333313,OFFICE MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
333314: OPTICAL INSTRUMENT AND LENS MANUFACTURING,333314,OPTICAL INSTRUMENT AND LENS MANUFACTURING,33,333,Manufacturing,1,0
333315: PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,333315,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
333316: PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING ,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
333318: OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING ,333318,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
333319: OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,333319,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,33,333,Manufacturing,1,0
333411: AIR PURIFICATION EQUIPMENT MANUFACTURING,333411,AIR PURIFICATION EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
333412: INDUSTRIAL AND COMMERCIAL FAN AND BLOWER MANUFACTURING,333412,INDUSTRIAL AND COMMERCIAL FAN AND BLOWER MANUFACTURING,33,333,Manufacturing,1,0
333413: INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING ,333413,INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING ,NULL,NULL,NULL,NULL,NULL
333414: HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,333414,HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,33,333,Manufacturing,1,0
333415: AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,333415,AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,33,333,Manufacturing,1,0
NULL,333420,NULL,NULL,NULL,NULL,NULL,NULL
333511: INDUSTRIAL MOLD MANUFACTURING,333511,INDUSTRIAL MOLD MANUFACTURING,33,333,Manufacturing,1,0
333512: MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,333512,MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,33,333,Manufacturing,1,0
333513: MACHINE TOOL (METAL FORMING TYPES) MANUFACTURING,333513,MACHINE TOOL (METAL FORMING TYPES) MANUFACTURING,33,333,Manufacturing,1,0
"333514: SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING",333514,"SPECIAL DIE AND TOOL, DIE SET, JIG, AND FIXTURE MANUFACTURING",NULL,NULL,NULL,NULL,NULL
