Unseperated,systemequipmentcode,systemequipmentcodeText,Rank,IsIdentifiedSystemEquipment
1GCI: ,1GCI,TEAMMATE,1732,1
NULL,1GDA,AN/USC-3 COMMUNICATIONS SYS,NULL,1
NULL,1GDC,NULL,NULL,1
1GDE: ,1GDE,AN/TSQ-43 INTERPRETATION FAC,1465,1
1GDF: ,1GDF,AN/VRC-67 RADIO TERMINAL,1196,1
NULL,1GDG,TA-312/PT FIELD TELEPHONE,1499,1
NULL,1GDH,AN/TSQ-71 LND CNTRL CENTRAL,NULL,1
1GDL: ,1GDL,AN/TSC-75 COMM CENTRAL,1043,1
1GDM: ,1GDM,CHAALS,850,1
NULL,1GDP,AN/ASC-15 COMM CENTRAL,NULL,1
NULL,1GDQ,AN/TSQ-84 (AACOMS),NULL,1
NULL,1GDR,AN/UGC-74 FATT PAGE PRINTER,NULL,1
1GDW: ,1GDW,AN/TSQ-114,1786,1
NULL,1GDX,AN/TSC-61 FLIGHT COORD CTRL,NULL,1
1GDY: ,1GDY,AN/TTC-39(Z) SYSTEM,1784,1
1GDZ: ,1GDZ,NOE COMM EQUIP,702,1
NULL,1GER,TSEC/KY-57,1791,1
1GFA: ,1GFA,AN/WSC-28 SAT COMM,1402,1
1GFB: ,1GFB,AN/MSC-46 SAT COMM TERM,1633,1
1GFC: ,1GFC,ARMY DATA DISTRIBUTION SYS,819,1
1GFD: ,1GFD,AFATDS ADV FLD ART TAC DATA SY,284,1
1GFE: ,1GFE,CSSCS CBT SRV SPPT CTRL SYS,1510,1
1GFF: ,1GFF,SGL CHAN ANTI-JAM MANPORTABLE,1365,1
1GFG: ,1GFG,SEC MOB ANTI-JAM REL TAC TERM,353,1
NULL,1GFH,"SAT TERM, ADVANCED MPK UHF",NULL,1
NULL,1GFI,AN/PSG-2 MESSAGE DEVICE,NULL,1
1GGF: ,1GGF,AN/GSG-10 (TACFIRE),1516,1
1GHA: ,1GHA,ARMY WWMCCS INFO SYS,1119,1
1GHB: ,1GHB,DGTL TOPOGRAPHIC SPPT SYS DTSS,463,1
1GHC: ,1GHC,FIRE SPT ADA CONVERSION,1670,1
1GHE: ,1GHE,QCK RESP MULTI-CLR PTR QRMP,578,1
1GHF: ,1GHF,STD ARMY CND & CTRL SYS STACCS,1122,1
1GHH: ,1GHH,DEF SATELLITE COMMS SYS,731,1
NULL,1GHI,ECHELON ABOVE CORPS COMMS,1638,1
1GHJ: ,1GHJ,GROUND COMMAND POST,1331,1
1GHL: ,1GHL,AIRBORNE RECON LOW (ARL),240,1
1GHN: ,1GHN,FIREFINDER,361,1
1GHO: ,1GHO,GROUND BASED COMMON SENSOR,865,1
1GHR: ,1GHR,LW MAN-TRANSP RADIO DIR FND SY,760,1
1GHS: ,1GHS,METEOROLOGICAL MEASURING SYS,1351,1
1GHT: ,1GHT,SHORTSTOP,616,1
1GHV: ,1GHV,TRACKWOLF HF SYSTEM,640,1
1GIB: ,1GIB,JSTARS GND STATION MODULE,186,1
NULL,1GIC,NULL,NULL,1
1GID: ,1GID,AIR DEFENSE TARGETS,1540,1
1GIE: ,1GIE,"AT NAV,INTEGR AND CRD ATNAVICS",418,1
1GIF: ,1GIF,AIR TRAFFIC CNTL COMM CONSOLE,390,1
1GIH: ,1GIH,AVIONICS,727,1
1GII: ,1GII,BAT FLD CMBT ID SYS - NEAR TRM,504,1
1GIJ: ,1GIJ,COMBAT SUPPORT TRAINING SYSTEM,627,1
NULL,1GIK,NULL,NULL,1
1GIL: ,1GIL,INTGR FAMILY OF TEST EQUIPMENT,535,1
NULL,1GIM,NULL,NULL,1
1GIN: ,1GIN,TEST EQUIPMENT MOD TEMOD,664,1
NULL,1GKA,TD-660 MULTIPLEXER,1684,1
NULL,1GKB,AN/TCC-45 MULTIPLEXER SET,1694,1
1GMN: ,1GMN,AN/APX-72,1150,1
1GNB: ,1GNB,AN/APR-39,488,1
1GNC: ,1GNC,AN/PPS-5 RADAR PORTABLE,1142,1
NULL,1GND,AN/TPM-25,NULL,1
1GNG: ,1GNG,AN/TPX-46 (MARK XIFF),1474,1
NULL,1GNI,AN/TPX-50 (MARK XIFF ATCRBS),NULL,1
NULL,1GNJ,AN/PAS-7,NULL,1
NULL,1GNK,AN/PPS-15,NULL,1
1GNL: ,1GNL,AN/TPQ-36,300,1
NULL,1GNN,FWD AREA ALRT RDR-FAAR,1436,1
1GNP: ,1GNP,AN/TPQ-37,333,1
NULL,1GNR,AN/VPS-2 RADAR SET,1768,1
1GNT: ,1GNT,MANEUVER CONTROL SYSTEM (MCS),589,1
1GNV: ,1GNV,"FWD AREA AD CMD,CTRL&INT SYS",1035,1
NULL,1GPA,NULL,NULL,1
1GPC: ,1GPC,AN/GRC-103 RADIO,1194,1
NULL,1GPD,AN/PRC-90 SURVIVAL RADIO,NULL,1
NULL,1GPE,AN/GRC-106 RADIO,1785,1
NULL,1GPI,AN/ARQ-33 QUICK FIX,NULL,1
NULL,1GPJ,AN/PRC-25 RADIO,NULL,1
NULL,1GPN,AN/TSC-26 BASE RADIO,NULL,1
1GPO: ,1GPO,AN/TRC-110 RADIO,1679,1
1GPP: ,1GPP,AN/TRC-112 RADIO,1360,1
NULL,1GPQ,AN/GRC-144 RADIO,1610,1
1GPR: ,1GPR,AN/GRC-142/122 RADIO,1075,1
1GPS: ,1GPS,AN/GRC-143 RADIO,934,1
1GPT: ,1GPT,AN/VRC-12 RADIO,1278,1
NULL,1GPU,AN/PRC-25 PRC-77 RADIO SET,NULL,1
NULL,1GPW,AN/TRN-30 V-1,NULL,1
NULL,1GRB,AN/GRC-171 TRANSCEIVER,1651,1
NULL,1GRC,AN/FRC-155 162,NULL,1
NULL,1GRD,AN/PRC-70 RADIO SET,NULL,1
NULL,1GRE,AN/PRC-77 RADIO SET,1028,1
NULL,1GRF,AN/GRA-114,NULL,1
NULL,1GRH,AN/TRS-2,NULL,1
NULL,1GRI,AN/TSC-99 HF RADIO,NULL,1
NULL,1GRJ,AN/TRQ-32 RADIO,NULL,1
1GRU: ,1GRU,SINCGARS,41,1
1GRV: ,1GRV,MOBILE SUBSCRIBER EQUIP,138,1
NULL,1GVA,STARCOM(OTHER),NULL,1
1GVC: ,1GVC,DCS TRANSMISSION FACILITIES,1034,1
1GVD: ,1GVD,AUTODIN,1685,1
1GVE: ,1GVE,SATELLITE COMMUNICATIONS,158,1
1GVL: ,1GVL,TACSATCOM,917,1
1GVM: ,1GVM,,NULL,1
1GVN: ,1GVN,CORPS/THEATER ADP SVC CTR,1639,1
1GVO: ,1GVO,ELECTRONIC DECEPTION SYSTEM,1629,1
1GVQ: ,1GVQ,IMAGERY PROCESSING SYSTEM,1275,1
1GVR: ,1GVR,INTEGRATED MET SYS SENSORS,1626,1
1GVS: ,1GVS,QUICK ERECT ANTENNA MAST,1731,1
1HAA: ,1HAA,NV LASER SYSTEMS,860,1
1HAB: ,1HAB,NV THERMAL SYSTEMS,456,1
1HAD: ,1HAD,THIRD GEN NV SYSTEM,828,1
NULL,1HBK,SIGHT TRIPOD MTD AN/TVS-4,1773,1
NULL,1HBL,SIGHT CREW SRVD WPNS AN/TVS2,NULL,1
NULL,1HBN,SIGHT IND SRVD WPNS AN/PVS+2,NULL,1
1HBO: ,1HBO,SIGHT INDIVIDUAL AN/PVS-4,1343,1
1HBP: ,1HBP,SIGHT CREW SRVD WPNS AN/TVS5,1070,1
1HBQ: ,1HBQ,GOGGLES AN/PVS-5,1282,1
NULL,1HBR,SIGNAL ILLUM GND WS PCHTM127,NULL,1
NULL,1HBS,SEARCHLIGHT AN/VSS-3,NULL,1
1HBV: ,1HBV,AN/VVS-2,836,1
1HBW: ,1HBW,SIGHT THERMAL TANK AN/VSG-2,1001,1
1HBX: ,1HBX,SIGHT THERMAL NIGHT AN/TAS-4,714,1
NULL,1HDA,1.5KW 28V MILITARY DESIGN GE,1590,1
NULL,1HDB,1.KW 60 CYCLE SKID MT GE,NULL,1
1HDE: ,1HDE,<5KW 60 CYCLE GE,1377,1
1HDF: ,1HDF,10KW 60 CYCLE GE,1442,1
1HDG: ,1HDG,<15KW 60 CYCLE DE,973,1
NULL,1HDH,45/69 KW 60 CYCLE DIESEL,NULL,1
1HDI: ,1HDI,GENERATING PLNTS TRL MTD GB1,1463,1
1HDJ: ,1HDJ,<60 KW,1348,1
1HDN: ,1HDN,"GEN SET, SMOKE, MECH XM157",839,1
NULL,1HDO,NULL,NULL,1
1HXA: ,1HXA,PALLETIZED LOADING SYSTEM,643,1
NULL,1HXB,MASK PROTECTIVE FIELD ABCM17,NULL,1
NULL,1HXD,AMMUNITION BOX M2A1,NULL,1
NULL,1HXH,FIREFIGHTING SET M530,NULL,1
1HXK: ,1HXK,SHELTER SYSTEM M51 CB,1037,1
1HXL: ,1HXL,BOAT BRIDGE ERECT DE 27 FT,1124,1
1HXS: ,1HXS,IMPRVD CHEMICAL AGENT MONITOR,668,1
1HXT: ,1HXT,INLAND PETROLEUM DIST SYSTEM,663,1
1HXU: ,1HXU,"MASK, PROTECTIVE NBC ALL TYPES",555,1
NULL,1HXV,"MASK, AIRCREW (M43/M43A1/M45)",1007,1
1HXW: ,1HXW,"SIMP COLL PROT EQMT, M20",950,1
1HXX: ,1HXX,RADIATION MONITORING SYSTEM,1090,1
1HXY: ,1HXY,REMOTE SENSING CHEM AGENT ALRM,1123,1
1HXZ: ,1HXZ,AUTO CHEM AGENT ALARM,765,1
NULL,1HYA,NULL,NULL,1
1HYB: ,1HYB,AIR CONDITIONERS,1115,1
1HYC: ,1HYC,"CALIBRATIONS SET, EQUIPMENT",633,1
1HYD: ,1HYD,CAUSEWAY FERRIES,1513,1
1HYE: ,1HYE,CHI BOAT,547,1
1HYF: ,1HYF,CBT FEEDING CLOTHING & EQUIP,1102,1
1HYG: ,1HYG,COMMON GROUND EQUIPMENT,859,1
1HYH: ,1HYH,CONTAINERIZED KITCHEN,756,1
1HYI: ,1HYI,FORCE PROVIDER,1099,1
1HYJ: ,1HYJ,FWD AREA REFUELING SYS ADV AVN,620,1
1HYK: ,1HYK,LAB PETROLEUM MODULAR BASE,1356,1
1HYM: ,1HYM,PHYSICAL SECURITY SYSTEMS,1212,1
1HYN: ,1HYN,"PUMP, ASSY LIQ GAS WHL 350 GPM",941,1
NULL,1HYO,REFRIGERATION EQUIPMENT,1317,1
1HYP: ,1HYP,SIMP TEST EQMT - INT COMB ENG,1143,1
1HYQ: ,1HYQ,SHOP EQUIPMENT MAINT TRK,956,1
1HYR: ,1HYR,SOLDIER ENHANCEMENT,498,1
NULL,1HYS,SPACE HEATER,1575,1
1HYT: ,1HYT,TOOL OUTFIT HYD REPAIR,1303,1
1HYU: ,1HYU,WATER PURIFICATION ROWPU,573,1
1HYV: ,1HYV,CHEM AGENT DETECTOR NETWORK,795,1
1HYW: ,1HYW,"COLL PROT EQUIP, TEMPER TENT",603,1
1HYX: ,1HYX,DECON APP PWR DR LT WT M17,908,1
NULL,1HYY,CLOSE COMBAT TACTICAL TRAINER,1490,1
1HYZ: ,1HYZ,NON-SYSTEM TRAINING DEVICES,942,1
1ZBC: ,1ZBC,BASE REALIGN & CLOS (BRAC) ENV,56,1
1ZDE: ,1ZDE,DEF ENVIR & RESTORA PRG (DERP),34,1
1ZOP: ,1ZOP,OTHER ENVIRONMENTAL PROGRAMS,33,1
1ZSE: ,1ZSE,ENVIR PROTECT AGENCY SUPERFUND,74,1
200: C-17A ,200,C-17A ,14,1
2000: ,2000,NOT DISCERNABLE OR CLASSIFIED,NULL,0
201: C-5B ,201,C-5B ,NULL,1
202: LONGBOW APACHE BLK III ,202,LONGBOW APACHE BLK III ,NULL,1
203: DMSP ,203,DMSP ,406,1
204: DSP ,204,DSP ,NULL,1
206: EA-6B ,206,EA-6B ,NULL,1
207: E-6A (TACAMO) ,207,E-6A (TACAMO) ,NULL,1
208: HHD-60 ,208,HHD-60 ,NULL,1
210: SBIRS HIGH,210,SBIRS HIGH,259,1
211: ATACMS-APAM ,211,ATACMS-APAM ,NULL,1
212: V22 ,212,V22 ,28,1
213: KC-10A ,213,KC-10A ,NULL,1
215: LLLBGK ,215,LLLBGK ,NULL,1
216: LCAC ,216,LCAC ,NULL,1
217: LHD 1 ,217,LHD 1 ,344,1
218: LSD-41 ,218,LSD-41 ,NULL,1
219: ATIRCMS/CMWS ,219,ATIRCMS/CMWS ,164,1
220: C130-J ,220,C130-J ,49,1
221: ECSS ,221,ECSS ,NULL,1
222: BTLFLD DIGITALIZATION ,222,BTLFLD DIGITALIZATION ,NULL,1
223: CVN 21 ,223,CVN 21 ,59,1
224: B-2 EHF ,224,B-2 EHF ,NULL,1
225: PEACEKEEPER ,225,PEACEKEEPER ,NULL,1
226: T-46A ,226,T-46A ,NULL,1
227: OTH-B RADAR ,227,OTH-B RADAR ,NULL,1
228: ABL ,228,ABL ,1168,1
229: RPV (AQUILA) ,229,RPV (AQUILA) ,NULL,1
230: B-1 CMUP-DSUP ,230,B-1 CMUP-DSUP ,NULL,1
231: CV HELO (SH-60F) ,231,CV HELO (SH-60F) ,NULL,1
232: SIAP ,232,SIAP ,NULL,1
233: SINCGARS ,233,SINCGARS ,41,1
234: STANDARD MISSILE 2 (SM 2) ,234,STANDARD MISSILE 2 (SM 2) ,67,1
235: AN/BSY-1 ,235,AN/BSY-1 ,NULL,1
236: TOW 2 ,236,TOW 2 ,NULL,1
237: GBS ,237,GBS ,533,1
238: JPALS ,238,JPALS ,791,1
239: NPOESS ,239,NPOESS ,915,1
240: T-45TS ,240,T-45TS ,99,1
241: SSDS ,241,SSDS ,NULL,1
242: CG(X) ,242,CG(X) ,NULL,1
243: CHEM DEMIL-ACWA ,243,CHEM DEMIL-ACWA ,NULL,1
245: ASAS (ATCCS) ,245,ASAS (ATCCS) ,NULL,1
246: HMMLTV ,246,HMMLTV ,320,1
248: MINUTEMAN III PRP ,248,MINUTEMAN III PRP ,187,1
250: MLRS-TGW ,250,MLRS-TGW ,NULL,1
252: GLOBAL HAWK ,252,GLOBAL HAWK ,143,1
NULL,253,VTUAV,NULL,1
254: COMANCHE ,254,COMANCHE ,139,1
255: MSE ,255,MSE ,NULL,1
NULL,256,ERM,NULL,1
257: NCES ,257,NCES ,NULL,1
258: SSN 21 ,258,SSN 21 ,374,1
259: T-AO 187 OILER ,259,T-AO 187 OILER ,NULL,1
260: GMLRS ,260,GMLRS ,155,1
261: AEHF ,261,AEHF ,490,1
262: B1-CMUP COMPUTER UPGRADE ,262,B1-CMUP COMPUTER UPGRADE ,NULL,1
264: MLS ,264,MLS ,NULL,1
265: F/A-22 ,265,F/A-22 ,3,1
266: CIS (MK XV IFF) ,266,CIS (MK XV IFF) ,NULL,1
267: SMALL ICBM ,267,SMALL ICBM ,NULL,1
268: NTW ,268,NTW ,339,1
270: TITAN IV ,270,TITAN IV ,167,1
271: PREDATOR ,271,PREDATOR ,NULL,1
272: TACTICAL UAV ,272,TACTICAL UAV ,91,1
273: FIV ,273,FIV ,NULL,1
274: JSTARS ,274,JSTARS ,107,1
275: SFW ,275,SFW ,NULL,1
276: E-2C REPRODUCTION ,276,E-2C REPRODUCTION ,185,1
NULL,277,AWACS UPGRADE,NULL,1
278: CH-47F,278,CH-47F,73,1
279: FSCS ,279,FSCS ,1023,1
280: JAVELIN,280,JAVELIN,60,1
281: HDBTDC ,281,HDBTDC ,NULL,1
282: MH-60S,282,MH-60S,101,1
283: 155 MM HIP ,283,155 MM HIP ,NULL,1
284: JTRS WAVEFORM ,284,JTRS WAVEFORM ,NULL,1
285: CHEM DEMIL-CMA ,285,CHEM DEMIL-CMA ,563,1
NULL,286,RMS,NULL,1
287: LAND WARRIOR ,287,LAND WARRIOR ,534,1
288: B1-B CMUP ,288,B1-B CMUP ,238,1
289: TACTICAL TOMAHAWK ,289,TACTICAL TOMAHAWK ,83,1
NULL,290,NMT,NULL,1
292: GPS III ,292,GPS III ,NULL,1
293: MP RTIP ,293,MP RTIP ,1804,1
294: FBCB2 ,294,FBCB2 ,122,1
295: ADV WIDEBAND ,295,ADV WIDEBAND ,637,1
296: WIN-T ,296,WIN-T ,421,1
297: HAEUAV ,297,HAEUAV ,1051,1
298: C-130 AMP ,298,C-130 AMP ,523,1
299: STRYKER (IAV) ,299,STRYKER (IAV) ,51,1
2AAA: ,2AAA,A-1 SKYRAIDER,699,1
2AAC: ,2AAC,A-4 SKYHAWK,334,1
2AAD: ,2AAD,RA-5 VIGILANTE,1154,1
2AAE: ,2AAE,A-6 INTRUDER,441,1
2AAF: ,2AAF,A-7 CORSAIR II,426,1
2AAG: ,2AAG,A/EA-3 SKYWARRIOR,1500,1
2AAJ: ,2AAJ,A-12 AVENGER (TO REPLACE A-6),899,1
NULL,2AAO,A-37,923,1
NULL,2ABC,B-52 STRATO FORTRESS,132,1
NULL,2ABI,EB-66 ACFT (DESTROYER),NULL,1
2ACB: ,2ACB,C-2 GREYHOUND,444,1
2ACC: ,2ACC,C-3,729,1
2ACD: ,2ACD,C-130 HERCULES,20,1
2ACE: ,2ACE,C-11 GULFSTREAM II,974,1
2ACF: ,2ACF,C-121 WARNING STAR,1110,1
2ACG: ,2ACG,C-47 SKYTRAIN,696,1
NULL,2ACH,C-45 NAVIGATOR,NULL,1
NULL,2ACI,C-54 SKYMASTER,1419,1
NULL,2ACJ,NULL,NULL,1
NULL,2ACM,C-119 FLYING BOXCAR,1095,1
2ACN: ,2ACN,C-9 SKYTRAIN II,212,1
2ACO: ,2ACO,C-1 TRADER,1660,1
NULL,2ACP,C-131 SAMARITAN,1088,1
NULL,2ACS,NULL,NULL,1
NULL,2ACT,C-123 PROVIDER,1462,1
2ACU: ,2ACU,C-4 GULFSTREAM,829,1
2ACV: ,2ACV,C-20 GULFSTREAM III/IV,1041,1
NULL,2AEA,E-1 TRACER,NULL,1
2AEB: ,2AEB,E-2 HAWKEYE,44,1
2AEC: ,2AEC,EA-3,1213,1
2AED: ,2AED,EA-6B PROWLER,70,1
NULL,2AFB,F-1 FURY,1130,1
2AFC: ,2AFC,F-4 PHANTOM,632,1
2AFD: ,2AFD,F-6 SKYRAY,830,1
2AFE: ,2AFE,F-5 FREEDOM FIGHTER,249,1
2AFF: ,2AFF,F-8 CRUSADER,479,1
NULL,2AFH,F-9 COUGAR,NULL,1
NULL,2AFI,F-10 SKY KNIGHT,NULL,1
NULL,2AFJ,F-101 VOODO,NULL,1
2AFN: ,2AFN,F-111 TFX,1698,1
2AFU: ,2AFU,F-14 TOMCAT,66,1
2AFV: ,2AFV,F-15 EAGLE,8,1
2AFX: ,2AFX,F-18 HORNET,4,1
2AHA: ,2AHA,UH-1 IROQUOIS,119,1
2AHB: ,2AHB,UH-2 SEASPRITE,285,1
2AHC: ,2AHC,SH-3D SEA KING,272,1
2AHD: ,2AHD,AH-1J SEA COBRA,208,1
2AHE: ,2AHE,AH-1W SUPER COBRA,134,1
2AHG: ,2AHG,H-13 SIOUX,1054,1
2AHI: ,2AHI,AH-64 APACHE,25,1
2AHJ: ,2AHJ,H-46 SEA KNIGHT,150,1
NULL,2AHK,H-52,1446,1
NULL,2AHL,H-51,NULL,1
NULL,2AHM,QH-50 DASH,847,1
2AHN: ,2AHN,S-61R,1344,1
NULL,2AHO,H-43 HUSKIE,NULL,1
2AHP: ,2AHP,CH-53 SEA STALLION,128,1
2AHQ: ,2AHQ,H-57 SEARANGER,477,1
2AHR: ,2AHR,MH53E SEA DRAGON,311,1
2AHS: ,2AHS,LTH TRAINER,1086,1
NULL,2AHU,H-19 CHICSASAW,1501,1
2AHV: ,2AHV,SH-60 SEAHAWK,52,1
2AHW: ,2AHW,AH-1G HUEYCOBRA,241,1
NULL,2AHX,H-34 SEAHORSE/SEABAT,1687,1
NULL,2AHY,H-37 MOJAVE,1461,1
NULL,2AIA,UH-60 UTTAS BLACK HAWK,474,1
2AIB: ,2AIB,UH-3H,646,1
2AIC: ,2AIC,AH-64 APACHE,25,1
2AID: ,2AID,VH-3D EXECUTIVE HELICOPTER,348,1
2AIE: ,2AIE,VH-80N EXECUTIVE HELICOPTER,1046,1
2AMA: ,2AMA,JAST/JSF,81,1
2AMD: ,2AMD,C9B COMMERCIAL ACFT,1073,1
2AMF: ,2AMF,L-188 LOCKHEED ELECTRA COMM,755,1
NULL,2APA,P-2 NEPTUNE,NULL,1
2APC: ,2APC,P-3 ORION,62,1
2ASA: ,2ASA,S-2 TRACKER,838,1
2ASC: ,2ASC,VSX ACFT REPLACE S-2E,1799,1
2ASF: ,2ASF,S-3 VIKING,176,1
NULL,2ATB,T-38 TALON,179,1
2ATC: ,2ATC,T-39 SABRELINER,313,1
2ATD: ,2ATD,T-28 TROJAN,1405,1
2ATE: ,2ATE,T-44,867,1
NULL,2ATF,2B-31 SYN FLGT TRN CHINOOK,1223,1
2ATG: ,2ATG,TA-4 SKYHAWK,1136,1
NULL,2ATH,TC-4 ACADEME,NULL,1
2ATI: ,2ATI,T-2 BUCKEYE,386,1
NULL,2ATL,T-33 SHOOTING STAR,1293,1
2ATM: ,2ATM,T-34 MENTOR,161,1
2ATR: ,2ATR,T-45 GOSHAWK,94,1
2ATS: ,2ATS,T-45TS,82,1
NULL,2AUG,U-6 BEAVER,1222,1
2AVG: ,2AVG,AV-8 HARRIER,54,1
2AVJ: ,2AVJ,OV-10 COIN (NOW BRONCO),1201,1
2AVK: ,2AVK,X-31,894,1
NULL,2AVL,XV-6,1479,1
2AVQ: ,2AVQ,V22 VERTICAL LIFT AIRCRAFT,160,1
NULL,2AWC,X-22,1796,1
2BCD: ,2BCD,ES-3A VIKING,1092,1
2BCE: ,2BCE,H100-T400-CP400 PT-6T-3,371,1
2BJB: ,2BJB,J-52,324,1
2BJC: ,2BJC,J-65,1507,1
NULL,2BJE,J-60,1690,1
2BJF: ,2BJF,F405-RR-401 ENGINE,398,1
2BJG: ,2BJG,F404-RR-408 ENGINE,800,1
2BJH: ,2BJH,J-57,1362,1
2BJJ: ,2BJJ,J-79,665,1
2BJL: ,2BJL,J-85,229,1
2BJM: ,2BJM,F404-GE-400 OR 402,250,1
2BJN: ,2BJN,F414-GE-400,77,1
NULL,2BRC,R-1820,NULL,1
2BSA: ,2BSA,JT8D TURBOFAN ENGINE,1520,1
2BSD: ,2BSD,TF-30,393,1
2BSH: ,2BSH,TF-34,217,1
2BSL: ,2BSL,TURBOFAN ENGINES,396,1
2BTD: ,2BTD,T-56,102,1
2BTF: ,2BTF,T-58,243,1
2BTK: ,2BTK,T-64,319,1
2CAA: ,2CAA,STRATEGIC DEFENSE INITIATIVE,9,1
2CLB: ,2CLB,GUIDED MSL LAUNCH MK-41,85,1
NULL,2CLD,GRENADE LAUNCHER 40MM M406,NULL,1
NULL,2CLE,GUIDED MSL LAUNCH MK-49,NULL,1
2CLH: ,2CLH,ROCKET LAUNCHER LAU-68,1199,1
2CLI: ,2CLI,ROCKET LAUNCHER LAU-10,866,1
NULL,2CLJ,GUIDED MSL LAUNCH MK-26,1012,1
2CLL: ,2CLL,GUIDED MSL LAUNCH MK-13,1025,1
2CLN: ,2CLN,GUIDED MSL LAUNCH MK-73,341,1
NULL,2CMA,RIM-2 TERRIER,NULL,1
2CMB: ,2CMB,AIM-7 SPARROW,427,1
2CMD: ,2CMD,AIM-9 SIDEWINDER,257,1
NULL,2CMF,UGM-27 POLARIS,1336,1
2CMG: ,2CMG,BQM-34 FIREBEE,582,1
2CMH: ,2CMH,MQM-36 TARGET DRONE,610,1
NULL,2CMI,AQM-37 TARGET DRONE,1346,1
NULL,2CMJ,UUM-44 SUBROC,NULL,1
NULL,2CMK,AGM-45 SHRIKE,NULL,1
NULL,2CML,AIM-54 PHOENIX,1239,1
2CMM: ,2CMM,AGM-62 WALLEYE,1584,1
2CMN: ,2CMN,RIM-66 STANDARD MISSILE(MED),58,1
2CMP: ,2CMP,RIM-67 STANDARD MISSILE(EXT),98,1
NULL,2CMQ,ZUGM-73 POSEIDON,1160,1
NULL,2CMS,FIM-43 REDEYE,NULL,1
2CMU: ,2CMU,RIM-24 TARTER,1135,1
NULL,2CMV,MIM-72 CHAPARRAL,606,1
NULL,2CMZ,CHAFF DECOY WARHEADS,976,1
2CNA: ,2CNA,RIM 7-H-2 NATO SEA SPARROW,136,1
NULL,2CNC,MIM-23 HAWK,137,1
NULL,2CND,AQM-38,NULL,1
NULL,2CNE,MQM-39,1259,1
NULL,2CNF,AQM-41 PETREL,NULL,1
2CNG: ,2CNG,MGM-71 TOW,1783,1
2CNJ: ,2CNJ,UGM-96 TRIDENT,10,1
NULL,2CNL,PQM-56,NULL,1
2CNM: ,2CNM,RIM-85,1009,1
NULL,2CNN,ZRGM-59,1778,1
NULL,2CNO,AGM-87,NULL,1
2CNP: ,2CNP,AGM-88 HARM,239,1
NULL,2CNQ,ZAGM-63,1576,1
NULL,2CNR,NULL,NULL,1
2CNS: ,2CNS,MQM-74,1146,1
2CNU: ,2CNU,AGM-84 HARPOON,140,1
2CNV: ,2CNV,AIM-95 AGILE,372,1
2CNY: ,2CNY,BGM-109 TOMAHAWK,64,1
2CNZ: ,2CNZ,CG-47 AEGIS,65,1
NULL,2CPA,FIREBRAND TARGET,NULL,1
2CPE: ,2CPE,STANDARD MISSILE 2,210,1
2CPI: ,2CPI,BQM-74,387,1
NULL,2CPJ,NULL,NULL,1
2CPK: ,2CPK,BQM-74E SSAT,464,1
2CPL: ,2CPL,ADM-141C ITALD,683,1
2CPN: ,2CPN,JSOW-AGM-154,495,1
2CPO: ,2CPO,AGM-154A,275,1
NULL,2CPP,AGM-154B,1133,1
2CPQ: ,2CPQ,AGM-154C,810,1
2CPR: ,2CPR,AN/SWG-1A HSCLLS,517,1
2CPS: ,2CPS,TOMHWK STRIKE COOR MDLE (TSCM),1378,1
2CRL: ,2CRL,MK-56 MOD 2 ROCKET MTR,1059,1
2DAA: ,2DAA,PREDATOR UAV,266,1
NULL,2DBE,NULL,NULL,1
2DBK: ,2DBK,LVTP-7,201,1
2DBL: ,2DBL,LVTC-7,332,1
2DBU: ,2DBU,PIONEER UNMANNED AERIAL VEH,442,1
NULL,2DEA,SCRAPER TRACTOR 15-16 CU YD,1704,1
2DEH: ,2DEH,CRANE RT SP 7 1/21,1216,1
NULL,2DJA,M60 TANK,NULL,1
2DJN: ,2DJN,ABRAMS SERIES (M1/M1A1/M1A2),23,1
NULL,2DNC,FORK LIFT 6000 LB,NULL,1
NULL,2DNM,DUMP 5 TON M51A2,1612,1
2DNW: ,2DNW,CARGO 5 TON M54A2C,815,1
NULL,2DPS,UTILITY 1/4 TON M151,NULL,1
NULL,2EBB,MK149 PHALANX,1045,1
2EBE: ,2EBE,MK15 CLOSE IN WPN SYS,141,1
2EBJ: ,2EBJ,MK45 MOD-O 5.54 GUN MOUNT,168,1
NULL,2EBN,30MM GUN MOUNT/COASTAL PTRL,1305,1
2EBO: ,2EBO,105MM GUN M-60 COMBAT,1178,1
NULL,2EBP,M107 GUN 175MM,NULL,1
NULL,2EBQ,MK42 MOD-9 5.54 GUN MOUNT,NULL,1
2EBR: ,2EBR,MK42 MOD-10 5.54 GUN MOUNT,1477,1
NULL,2EBT,MK42 MOD-7 GUN MOUNT,NULL,1
NULL,2EBU,MK71 MCLWG GUN MOUNT,1717,1
2EBW: ,2EBW,MK75 76MM GUN MOUNT,938,1
NULL,2EHC,5.56MM RIFLE M16,1511,1
NULL,2FAA,WALLEYE,NULL,1
2FAE: ,2FAE,MK-104 PRACTICE,671,1
NULL,2FAH,MK-115 HIGH EXP BOMB,NULL,1
NULL,2FAO,MK-121 TGT IDENT,NULL,1
NULL,2FAS,MK-84 GEN PURPOSE,NULL,1
2FBB: ,2FBB,5"/38 CAL CARTRIDGE,1024,1
NULL,2FBC,5./54 CAL CARTRIDGE,NULL,1
NULL,2FCK,60MM HE M49A2,NULL,1
