AgencyID,AgencyIDtext,DepartmentID,CSISName,Customer,SubCustomer,InternationalAssistancePrograms,IsDiscrepency,MinOfStartDate,MaxOfEndDate,IsUnknownAgencyID,IsExceptionToContradictionTest,SubCustomerSum,IsDefense,PlatformPortfolio
1260,COMMODITY CREDIT CORPORATION,1200,NULL,Other Agencies,Agriculture,0,NULL,1991-01-01,2013-09-20,0,0,Agriculture,0,NULL
1264,1264,1200,NULL,Other Agencies,NULL,0,NULL,2005-06-03,2005-06-07,0,0,NULL,0,NULL
1266,1266,1200,NULL,Other Agencies,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL
1291,LAND GRANT COLLEGES AND TUSKEGEE INSTITUTE,NULL,NULL,Other Agencies,Agriculture,NULL,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12A0,OFFICE OF EXECUTIVE OPERATIONS,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12A1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
12A2,OFFICE OF EXECUTIVE SECRETARIAT,1200,NULL,Other Agencies,Agriculture,0,NULL,2005-10-25,2013-08-13,0,0,Agriculture,0,NULL
12A4,"USDA, HOMELAND SECURITY",1200,NULL,Other Agencies,Agriculture,0,NULL,2006-12-28,2013-09-30,0,0,Agriculture,0,NULL
12A5,OFFICE OF THE CHIEF ECONOMIST,1200,NULL,Other Agencies,Agriculture,0,NULL,2005-08-18,2013-09-23,0,0,Agriculture,0,NULL
12A6,OFFICE OF BUDGET AND PROGRAM ANALYSIS,1200,NULL,Other Agencies,Agriculture,0,NULL,2005-09-21,2012-06-08,0,0,Agriculture,0,NULL
12A7,"USDA, OFFICE OF THE CHIEF INFORMATION OFFICER",NULL,NULL,Other Agencies,Agriculture,0,NULL,2002-09-15,2013-09-30,0,0,Agriculture,0,NULL
12A8,OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION,1200,NULL,Other Agencies,Agriculture,0,NULL,2006-01-25,2010-01-22,0,0,Agriculture,0,NULL
12A9,NATIONAL APPEALS DIVISION,1200,NULL,Other Agencies,Agriculture,0,NULL,2005-10-19,2013-09-25,0,0,Agriculture,0,NULL
12B0,"USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT",NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2013-09-09,0,0,Agriculture,0,NULL
12B1,"USDA, OFFICE OF SECURITY SERVICES",1200,NULL,Other Agencies,Agriculture,0,NULL,2008-10-27,2013-02-21,0,0,Agriculture,0,NULL
12B2,OFFICE OF CIVIL RIGHTS,1200,NULL,Other Agencies,Agriculture,0,NULL,2005-11-19,2013-09-30,0,0,Agriculture,0,NULL
12B3,OFFICE OF PROCUREMENT AND PROPERTY MANAGEMENT,1200,NULL,Other Agencies,Agriculture,0,NULL,2005-03-22,2013-09-30,0,0,Agriculture,0,NULL
12B4,OFFICE OF OPERATIONS,1200,NULL,Other Agencies,Agriculture,0,NULL,2009-08-24,2009-11-23,0,0,Agriculture,0,NULL
12B5,OFFICE OF HUMAN RESOURCES MANAGEMENT,1200,NULL,Other Agencies,Agriculture,0,NULL,2006-01-25,2013-09-29,0,0,Agriculture,0,NULL
12B6,OFFICE OF ADMINISTRATIVE LAW JUDGE,1200,NULL,Other Agencies,Agriculture,0,NULL,2006-05-25,2012-09-29,0,0,Agriculture,0,NULL
12B7,OFFICE OF THE JUDICIAL OFFICER,1200,NULL,Other Agencies,Agriculture,0,NULL,2007-01-11,2013-09-19,0,0,Agriculture,0,NULL
12B8,BOARD OF CONTRACT APPEALS,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12B9,"POLICY, ANALYSIS, AND COORDINATION CENTER",1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12BA,MANAGEMENT SUPPORT STAFF,1200,NULL,Other Agencies,Agriculture,0,NULL,2009-04-29,2009-12-04,0,0,Agriculture,0,NULL
12BB,OFFICE OF OUTREACH,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12BC,OFFICE OF ADMINISTRATIVE SUPPORT,1200,NULL,Other Agencies,Agriculture,0,NULL,2012-09-29,2013-09-30,0,0,Agriculture,0,NULL
12BD,OFFICE OF ETHICS,1200,NULL,Other Agencies,Agriculture,0,NULL,2007-09-25,2013-09-26,0,0,Agriculture,0,NULL
12BE,"USDA, OFFICE OF MANAGEMENT SERVICES",1200,NULL,Other Agencies,NULL,0,NULL,2009-05-21,2013-08-26,0,0,NULL,0,NULL
12C0,UNDER SECRETARY FOR NATURAL RESOURCES AND ENVIRONMENT,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12C2,FOREST SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1996-10-01,3013-06-30,0,0,Agriculture,0,NULL
12C3,NATURAL RESOURCES CONSERVATION SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2040-05-21,0,0,Agriculture,0,NULL
12CR,OFFICE OF CIVIL RIGHTS,1200,NULL,Other Agencies,NULL,0,NULL,2004-10-01,2008-09-30,0,0,NULL,0,NULL
12D0,UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES,NULL,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12D2,FARM SERVICE AGENCY,NULL,NULL,Other Agencies,Agriculture,0,NULL,1992-07-15,2013-09-30,0,0,Agriculture,0,NULL
12D3,FOREIGN AGRICULTURAL SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,2001-08-12,2013-09-30,0,0,Agriculture,0,NULL
12D4,RISK MANAGEMENT AGENCY,NULL,NULL,Other Agencies,Agriculture,0,NULL,2000-10-01,2013-10-01,0,0,Agriculture,0,NULL
12E0,UNDER SECRETARY FOR RURAL DEVELOPMENT,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-10-14,2009-08-13,0,0,Agriculture,0,NULL
12E2,RURAL UTILITIES SERVICE,12E2,NULL,Other Agencies,Agriculture,0,NULL,2001-10-01,2013-05-30,0,0,Agriculture,0,NULL
12E3,RURAL HOUSING SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2018-07-09,0,0,Agriculture,0,NULL
12E4,RURAL BUSINESS COOPERATIVE SERVICE,1200,NULL,Other Agencies,Agriculture,0,NULL,2004-02-13,2013-06-13,0,0,Agriculture,0,NULL
12E5,ALTERNATIVE AGRICULTURAL RESEARCH AND COMMERCIALIZATION CENTER,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12E6,"AGRICULTURE, DEPARTMENT OF",1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12F0,"UNDER SECRETARY FOR FOOD, NUTRITION, AND CONSUMER SERVICES",1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12F2,FOOD AND NUTRITION SERVICE,12F2,NULL,Other Agencies,Agriculture,0,NULL,1999-12-15,2111-05-02,0,0,Agriculture,0,NULL
12F3,CENTER FOR NUTRITION POLICY AND PROMOTION,1200,NULL,Other Agencies,Agriculture,0,NULL,2006-03-31,2006-03-31,0,0,Agriculture,0,NULL
12G0,UNDER SECRETARY FOR FOOD SAFETY,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12G2,FOOD SAFETY AND INSPECTION SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,2000-11-15,2013-09-30,0,0,Agriculture,0,NULL
12H0,"UNDER SECRETARY FOR RESEARCH, EDUCATION, AND ECONOMICS",1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12H2,AGRICULTURAL RESEARCH SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2013-10-01,0,0,Agriculture,0,NULL
12H3,"COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE",1200,NULL,Other Agencies,Agriculture,0,NULL,2001-10-01,2013-09-27,0,0,Agriculture,0,NULL
12H4,ECONOMIC RESEARCH SERVICE,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-05-04,2013-09-30,0,0,Agriculture,0,NULL
12H5,NATIONAL AGRICULTURAL STATISTICS SERVICE,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-10-01,2013-10-01,0,0,Agriculture,0,NULL
12J0,ASSISTANT SECRETARY FOR CONGRESSIONAL RELATIONS,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12J2,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-06-15,2003-08-15,0,0,Agriculture,0,NULL
12J3,12J3,1200,NULL,Other Agencies,NULL,0,NULL,2004-02-20,2004-02-20,0,0,NULL,0,NULL
12K0,ASSISTANT SECRETARY FOR MARKETING AND REGULATORY PROGRAMS,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
12K2,AGRICULTURAL MARKETING SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2013-09-30,0,0,Agriculture,0,NULL
12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2013-10-07,0,0,Agriculture,0,NULL
12K4,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",1200,NULL,Other Agencies,Agriculture,0,NULL,2003-10-01,2013-09-30,0,0,Agriculture,0,NULL
12KB,12KB,1200,NULL,Other Agencies,NULL,0,NULL,2004-02-27,2004-03-04,0,0,NULL,0,NULL
1300,"COMMERCE, DEPARTMENT OF",NULL,NULL,Other Agencies,Commerce,0,NULL,1978-10-15,2013-12-31,0,0,Commerce,0,NULL
1301,OFFICE OF THE SECRETARY,NULL,NULL,Other Agencies,Commerce,0,NULL,1978-01-01,2022-06-30,0,0,Commerce,0,NULL
1304,OFFICE OF THE INSPECTOR GENERAL,1304,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-10-01,0,0,Commerce,0,NULL
1314,ECONOMICS AND STATISTICS ADMINISTRATION/UNDER SECRETARY FOR ECONOMIC AFFAIRS,1300,NULL,Other Agencies,NULL,0,NULL,2003-10-01,2009-09-09,0,0,NULL,0,NULL
1316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
131E,ECONOMIC AFFAIRS,131E,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-05-16,0,0,Commerce,0,NULL
1321,BUREAU OF ECONOMIC ANALYSIS,1321,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-09-20,0,0,Commerce,0,NULL
1323,BUREAU OF THE CENSUS,NULL,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2015-09-15,0,0,Commerce,0,NULL
1325,ECONOMIC DEVELOPMENT ADMINISTRATION,1325,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-09-24,0,0,Commerce,0,NULL
1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,NULL,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2077-04-17,0,0,Commerce,0,NULL
1335,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,NULL,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-09-30,0,0,Commerce,0,NULL
133W,133W,1300,NULL,Other Agencies,NULL,0,NULL,2004-08-03,2004-08-03,0,0,NULL,0,NULL
1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,NULL,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2015-03-01,0,0,Commerce,0,NULL
1342,NATIONAL TECHNICAL INFORMATION SERVICE,NULL,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-10-01,0,0,Commerce,0,NULL
1344,PATENT AND TRADEMARK OFFICE,1344,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2014-07-11,0,0,Commerce,0,NULL
1350,INTERNATIONAL TRADE ADMINISTRATION,NULL,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-09-26,0,0,Commerce,0,NULL
1351,U.S. EXPORT ADMINISTRATION,1351,NULL,Other Agencies,Commerce,0,NULL,1995-09-01,2013-11-04,0,0,Commerce,0,NULL
1352,MINORITY BUSINESS DEVELOPMENT AGENCY,1352,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2013-09-14,0,0,Commerce,0,NULL
1354,1354,1300,NULL,Other Agencies,NULL,0,NULL,2003-03-26,2006-01-05,0,0,NULL,0,NULL
1355,U.S. TRAVEL AND TOURISM ADMINISTRATION,1300,NULL,Other Agencies,Commerce,0,NULL,1978-10-15,NULL,0,0,Commerce,0,NULL
1359,TECHNOLOGY ADMINSTRATION,1300,NULL,Other Agencies,Commerce,0,NULL,1978-10-01,2011-01-18,0,0,Commerce,0,NULL
1400,"INTERIOR, DEPARTMENT OF THE",1406,NULL,Other Agencies,Interior,0,NULL,1999-11-15,2013-07-10,0,0,Interior,0,NULL
1401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
1402,OFFICE OF THE UNDER SECRETARY OF THE INTERIOR,1400,NULL,Other Agencies,Interior,0,NULL,2004-05-01,2008-06-18,0,0,Interior,0,NULL
1403,OFFICE OF THE SOLICITOR,1400,NULL,Other Agencies,Interior,0,NULL,2004-10-01,2013-10-01,0,0,Interior,0,NULL
1404,OFFICE OF THE INSPECTOR GENERAL,1404,NULL,Other Agencies,Interior,0,NULL,2003-10-01,2013-09-26,0,0,Interior,0,NULL
1406,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",NULL,NULL,Other Agencies,Interior,0,NULL,1978-10-01,2205-11-10,0,0,Interior,0,NULL
1407,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS,1400,NULL,Other Agencies,Interior,0,NULL,2007-02-02,2007-05-21,0,0,Interior,0,NULL
1408,OFFICE OF PUBLIC AFFAIRS,1400,NULL,Other Agencies,Interior,0,NULL,2003-10-01,2009-10-01,0,0,Interior,0,NULL
1409,OFFICE OF TERRITORIAL AND INTERNATIONAL AFFAIRS,1400,NULL,Other Agencies,Interior,0,NULL,2009-01-01,2013-08-12,0,0,Interior,0,NULL
140S,OFFICE OF THE SECRETARY OF THE INTERIOR,1400,NULL,Other Agencies,Interior,0,NULL,2003-07-15,2014-01-01,0,0,Interior,0,NULL
1410,OFFICE OF YOUTH PROGRAMS,1400,NULL,Other Agencies,Interior,0,NULL,2006-02-28,2009-08-18,0,0,Interior,0,NULL
1411,OFFICE FOR EQUAL OPPORTUNITY,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
1413,OFFICE OF HEARINGS AND APPEALS,1400,NULL,Other Agencies,Interior,0,NULL,2005-11-01,2013-10-01,0,0,Interior,0,NULL
1414,EXECUTIVE SECRETARIAT,1400,NULL,Other Agencies,Interior,0,NULL,2009-12-15,2013-09-23,0,0,Interior,0,NULL
1415,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS,1400,NULL,Other Agencies,Interior,0,NULL,2001-08-10,6006-12-30,0,0,Interior,0,NULL
1416,INDIAN ARTS AND CRAFTS BOARD,1400,NULL,Other Agencies,Interior,0,NULL,2005-09-05,2013-10-01,0,0,Interior,0,NULL
1417,OFFICE OF HISOTRICALLY BLACK COLLEGE AND UNIVERSITY PROGRAMS,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
1418,OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION,1400,NULL,Other Agencies,Interior,0,NULL,2010-01-28,2011-03-18,0,0,Interior,0,NULL
1422,BUREAU OF LAND MANAGEMENT,1422,NULL,Other Agencies,Interior,0,NULL,1950-10-01,3013-07-10,0,0,Interior,0,NULL
1425,BUREAU OF RECLAMATION,NULL,NULL,Other Agencies,Interior,0,NULL,1978-10-01,4012-04-06,0,0,Interior,0,NULL
1428,NATIONAL BUSINESS CENTER,1400,NULL,Other Agencies,NULL,0,NULL,2004-12-27,2009-02-10,0,0,NULL,0,NULL
142F,FISH AND WILDLIFE AND PARKS,1400,NULL,Other Agencies,Interior,0,NULL,2004-06-24,2009-02-12,0,0,Interior,0,NULL
142L,LAND AND MINERALS MANAGEMENT,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
142N,INDIAN AFFAIRS,1400,NULL,Other Agencies,Interior,0,NULL,2005-06-30,2207-09-21,0,0,Interior,0,NULL
142W,WATER AND SCIENCE,1400,NULL,Other Agencies,Interior,0,NULL,2005-12-08,2010-06-21,0,0,Interior,0,NULL
1432,BUREAU OF MINES,1400,NULL,Other Agencies,Interior,0,NULL,2003-11-20,2004-09-17,0,0,Interior,0,NULL
1434,GEOLOGICAL SURVEY,NULL,NULL,Other Agencies,Interior,0,NULL,1978-10-01,2016-06-11,0,0,Interior,0,NULL
1435,BUREAU OF OCEAN ENERGY MANAGEMENT,NULL,NULL,Other Agencies,Interior,0,NULL,1978-10-01,2014-05-14,0,0,Interior,0,NULL
1436,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,NULL,"INTERIOR, DEPARTMENT OF THE",Other Agencies,Interior,0,NULL,2011-10-01,2013-12-10,0,0,Interior,0,NULL
1438,"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",NULL,NULL,Other Agencies,Interior,0,NULL,1991-02-01,2013-09-27,0,0,Interior,0,NULL
1443,NATIONAL PARK SERVICE,NULL,NULL,Other Agencies,Interior,0,NULL,1978-10-01,5012-09-05,0,0,Interior,0,NULL
1445,NATIONAL BIOLOGICAL SURVEY,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
1448,U.S. FISH AND WILDLIFE SERVICE,NULL,NULL,Other Agencies,Interior,0,NULL,1991-11-01,3011-07-30,0,0,Interior,0,NULL
1450,BUREAU OF INDIAN AFFAIRS,NULL,NULL,Other Agencies,Interior,0,NULL,1978-10-01,5011-05-10,0,0,Interior,0,NULL
1460,BOARD ON GEOGRAPHIC NAMES,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
1461,MIGRATORY BIRD CONSERVATION COMMISSION,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
1462,NORTHERN MARIANA ISLANDS COMMISSION OF FEDERAL LAWS,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
1464,IL AND MI CANAL NATIONAL HERITAGE CORRIDOR COMMISSION,1400,NULL,Other Agencies,Interior,0,NULL,NULL,NULL,0,0,Interior,0,NULL
1465,METROPOLITAN RIVER CORRIDORS STUDY COMMITTEE,1400,NULL,Other Agencies,Interior,0,NULL,2009-03-04,2009-03-04,0,0,Interior,0,NULL
1467,UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,1400,NULL,Other Agencies,NULL,0,NULL,2003-10-22,2013-10-01,0,0,NULL,0,NULL
1469,NATIONAL INDIAN GAMING COMMISSION,1400,NULL,Other Agencies,Interior,0,NULL,2005-09-30,2013-09-01,0,0,Interior,0,NULL
1484,1484,1400,NULL,Other Agencies,NULL,0,NULL,2006-01-13,2006-01-13,0,0,NULL,0,NULL
1500,"JUSTICE, DEPARTMENT OF",NULL,NULL,Other Agencies,Justice,0,NULL,1978-10-15,2014-09-16,0,0,Justice,0,NULL
1501,"OFFICES, BOARDS AND DIVISIONS",NULL,NULL,Other Agencies,Justice,0,NULL,1992-09-01,3010-05-25,0,0,Justice,0,NULL
1504,OFFICE OF THE INSPECTOR GENERAL,NULL,NULL,Other Agencies,Justice,0,NULL,2007-01-01,2008-01-11,0,0,Justice,0,NULL
1521,1521,1500,NULL,Other Agencies,NULL,0,NULL,2005-08-02,2005-10-01,0,0,NULL,0,NULL
1524,DRUG ENFORCEMENT ADMINISTRATION,NULL,NULL,Other Agencies,Justice,0,NULL,1990-01-02,3011-03-11,0,0,Justice,0,NULL
1526,EXEC OFF FOR U.S. ATTORNEYS AND THE OFFICES OF U.S. ATTORNEYS,1500,NULL,Other Agencies,Justice,0,NULL,1999-11-15,2013-09-30,0,0,Justice,0,NULL
1528,IMMIGRATION AND NATURALIZATION SERVICE,1528,NULL,Other Agencies,Justice,0,NULL,1999-10-15,2011-03-14,0,0,Justice,0,NULL
1530,EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,1500,NULL,Other Agencies,Justice,0,NULL,2004-06-16,2006-04-24,0,0,Justice,0,NULL
1532,1532,1500,NULL,Other Agencies,NULL,0,NULL,2005-02-09,2005-02-09,0,0,NULL,0,NULL
1535,COMMUNITY RELATIONS SERVICE,1500,NULL,Other Agencies,Justice,0,NULL,2007-08-31,2010-01-22,0,0,Justice,0,NULL
1540,FEDERAL PRISON SYSTEM,NULL,NULL,Other Agencies,Justice,0,NULL,1978-10-01,3011-03-29,0,0,Justice,0,NULL
1542,FEDERAL PRISON INDUSTRIES / UNICOR,NULL,NULL,Other Agencies,Justice,0,NULL,NULL,NULL,0,0,NULL,0,NULL
1544,U.S. MARSHALS SERVICE,NULL,NULL,Other Agencies,Justice,0,NULL,1978-10-01,3013-09-20,0,0,Justice,0,NULL
1549,FEDERAL BUREAU OF INVESTIGATION,NULL,NULL,Other Agencies,Justice,0,NULL,1978-10-01,2103-01-07,0,0,Justice,0,NULL
1550,OFFICE OF JUSTICE PROGRAMS,1550,NULL,Other Agencies,Justice,0,NULL,1999-10-15,2013-11-16,0,0,Justice,0,NULL
1555,U.S. TRUSTEE SYSTEM,1500,NULL,Other Agencies,Justice,0,NULL,2008-05-15,2008-10-22,0,0,Justice,0,NULL
1560,ATF ACQUISITION AND PROPERTY MGMT DIV,NULL,NULL,Other Agencies,Justice,0,NULL,2001-01-21,2103-09-01,0,0,Justice,0,NULL
1600,"LABOR, DEPARTMENT OF",1605,NULL,Other Agencies,Labor,0,NULL,1999-11-15,2013-05-15,0,0,Labor,0,NULL
1601,IMMEDIATE OFFICE OF THE SECRETARY OF LABOR,NULL,NULL,Other Agencies,Labor,0,NULL,1991-01-01,2013-10-01,0,0,Labor,0,NULL
1602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
1603,OFFICE OF THE SOLICITOR,NULL,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2020-10-01,0,0,Labor,0,NULL
1604,OFFICE OF INSPECTOR GENERAL,NULL,NULL,Other Agencies,Labor,0,NULL,1978-10-01,2013-10-01,0,0,Labor,0,NULL
1605,OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT,NULL,NULL,Other Agencies,Labor,0,NULL,1990-08-01,3012-09-29,0,0,Labor,0,NULL
1606,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,NULL,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2013-09-30,0,0,Labor,0,NULL
1607,OFF OF THE DEPUTY UNDER SECRETARY FOR CONGRESSIONAL AFFAIRS,1607,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2013-09-30,0,0,Labor,0,NULL
1608,OFFICE OF INFORMATION AND PUBLIC AFFAIRS,1608,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2014-09-29,0,0,Labor,0,NULL
1609,BUREAU OF INTERNATIONAL LABOR AFFAIRS,NULL,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2013-10-01,0,0,Labor,0,NULL
160S,OFFICE OF THE SECRETARY OF LABOR,1600,NULL,Other Agencies,Labor,0,NULL,1978-10-15,2013-10-01,0,0,Labor,0,NULL
160U,OFFICE OF THE UNDER SECRETARY OF LABOR,1600,NULL,Other Agencies,Labor,0,NULL,1993-01-04,NULL,0,0,Labor,0,NULL
1610,WAGE APPEALS BOARD,1600,NULL,Other Agencies,Labor,0,NULL,2004-08-16,2005-01-27,0,0,Labor,0,NULL
1613,OFFICE OF ADMINISTRATIVE LAW JUDGES,NULL,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2013-10-01,0,0,Labor,0,NULL
1614,"OFF OF THE DEPUTY UNDER SEC FOR PUB AND INTERGOV""TL AFFAIRS",1600,NULL,Other Agencies,Labor,0,NULL,2005-11-14,2007-11-07,0,0,Labor,0,NULL
1615,BENEFITS REVIEW BOARD,NULL,NULL,Other Agencies,Labor,0,NULL,1999-11-15,2013-10-01,0,0,Labor,0,NULL
1616,EMPLOYEES COMPENSATION APPEALS BOARD,1600,NULL,Other Agencies,Labor,0,NULL,2001-02-01,2013-08-07,0,0,Labor,0,NULL
1617,ADMINISTRATIVE REVIEW BOARD,1600,NULL,Other Agencies,Labor,0,NULL,2008-09-09,2013-08-13,0,0,Labor,0,NULL
1618,OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION,1618,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2007-06-04,0,0,Labor,0,NULL
1619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
1620,OFFICE OF 21ST CENTURY WORKFORCE,1600,NULL,Other Agencies,NULL,0,NULL,2012-02-13,2012-02-13,0,0,NULL,0,NULL
1621,EMPLOYEE BENEFITS SECURITY ADMINISTRATION,NULL,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2013-10-01,0,0,Labor,0,NULL
1622,OFFICE OF THE CHIEF FINANCIAL OFFICER,NULL,NULL,Other Agencies,Labor,0,NULL,1984-01-01,2013-11-12,0,0,Labor,0,NULL
1625,BUREAU OF LABOR STATISTICS,NULL,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2014-09-23,0,0,Labor,0,NULL
1630,EMPLOYMENT AND TRAINING ADMINISTRATION,NULL,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2013-10-01,0,0,Labor,0,NULL
1631,OFFICE OF JOB CORPS,NULL,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2201-09-21,0,0,Labor,0,NULL
1635,EMPLOYMENT STANDARDS ADMINISTRATION,NULL,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2111-11-07,0,0,Labor,0,NULL
1636,NULL,1600,NULL,Other Agencies,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL
1637,NULL,1600,NULL,Other Agencies,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL
1638,NULL,1600,NULL,Other Agencies,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL
1639,1639,1600,NULL,Other Agencies,NULL,0,NULL,2005-06-30,2005-06-30,0,0,NULL,0,NULL
1642,OFF OF THE DEPUTY UNDER SEC FOR LABOR-MGMT RELATIONS & COOP,1600,NULL,Other Agencies,Labor,0,NULL,1978-10-15,NULL,0,0,Labor,0,NULL
1643,OFFICE OF LABOR-MANAGEMENT STANDARDS,1600,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2013-10-01,0,0,Labor,0,NULL
1645,MINE SAFETY AND HEALTH ADMINISTRATION,NULL,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2014-03-31,0,0,Labor,0,NULL
1650,OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,NULL,NULL,Other Agencies,Labor,0,NULL,1979-12-15,3012-03-30,0,0,Labor,0,NULL
