SourceVariableName,CSISvariableName,IsDuplicate
[evaluated_preference_name],[evaluated_preference_name],
[fair_opportunity_limited_sources_name],[fair_opportunity_limited_sources_name],
[other_than_full_and_open_competition_name],[other_than_full_and_open_competition_name],
[commercial_item_acquisition_procedures_name],[commercial_item_acquisition_procedures_name],
[commercial_item_test_program_name],[commercial_item_test_program_name],
[a76_fair_act_action_name],[a76_fair_act_action_name],
[fed_biz_opps_name],[fed_biz_opps_name],
[local_area_set_aside_name],[local_area_set_aside_name],
[clinger_cohen_act_planning_name],[clinger_cohen_act_planning_name],
[walsh_healey_act_name],[walsh_healey_act_name],
[service_contract_act_name],[service_contract_act_name],
[davis_bacon_act_name],[davis_bacon_act_name],
[interagency_contracting_authority_name],[interagency_contracting_authority_name],
[parent_award_type_name],[parent_award_type_name],
[parent_award_single_or_multiple_name],[parent_award_single_or_multiple_name],
[national_interest_action_name],[national_interest_action_name],
[cost_or_pricing_data_name],[cost_or_pricing_data_name],
[cost_accounting_standards_clause_name],[cost_accounting_standards_clause_name],
[sea_transportation_name],[sea_transportation_name],
[undefinitized_action_name],[undefinitized_action_name],
[consolidated_contract_name],[consolidated_contract_name],
[performance_based_service_acquisition_name],[performance_based_service_acquisition_name],
[multi_year_contract_name],[multi_year_contract_name],
[contract_financing_name],[contract_financing_name],
[purchase_card_as_payment_method_name],[purchase_card_as_payment_method_name],
[contingency_humanitarian_or_peacekeeping_operation_name],[contingency_humanitarian_or_peacekeeping_operation_name],
[contracting_officers_determination_of_business_size_code_name],[contracting_officers_determination_of_business_size_code_name],
[CSIStransactionID],[CSIStransactionID],
[CSISstage2id],[CSISstage2id],
[PSC_Code],[PSC_Code],
[PSC_Description],[PSC_Description],
[Contracting_Agency_ID],[Contracting_Agency_ID],
[DepartmentID],[DepartmentID],
[Funding_Agency_ID],[Funding_Agency_ID],
[Place_of_Performance_City],[Place_of_Performance_City],
[Place_of_Performance_State],[Place_of_Performance_State],
[Place_of_Performance_County],[Place_of_Performance_County],
[Date_Signed],[Date_Signed],
[Pricing_Mechanism_Code],[Pricing_Mechanism_Code],
[Description_of_Requirement],[Description_of_Requirement],
[Vendor_Name],[Vendor_Name],
[Referenced_IDV_PIID],[Referenced_IDV_PIID],
[Vendor_DUNS],[Vendor_DUNS],
[Action_Obligation],[Action_Obligation],
[DepartmentIDtext],[DepartmentIDtext],
[AgencyIDtext],[AgencyIDtext],
[Funding_Department_ID],[Funding_Department_ID],
[Funding_Department_Name],[Funding_Department_Name],
[Place_of_Performance_Zip_Code],[Place_of_Performance_Zip_Code],
[Place_of_Performance_Country],[Place_of_Performance_Country],
[Total_Contract_Value],[Total_Contract_Value],
[Base_and_All_Options_Value],[Base_and_All_Options_Value],
[Total_Dollar_Amount_Invoiced],[Total_Dollar_Amount_Invoiced],
[Number_of_Contractor_Hours_Invoiced],[Number_of_Contractor_Hours_Invoiced],
[Number_of_Contractor_Full_Time_Equivalent_Employees_FTEs],[Number_of_Contractor_Full_Time_Equivalent_Employees_FTEs],
[Total_Action_Obligation],[Total_Action_Obligation],
[Total_Base_and_All_Options_Value],[Total_Base_and_All_Options_Value],
[Prime_Contractor_Hours_Invoiced],[Prime_Contractor_Hours_Invoiced],
[Prime_Contractor_Full_Time_Equivalent_Employees_FTEs],[Prime_Contractor_Full_Time_Equivalent_Employees_FTEs],
[Subcontractor],[Subcontractor],
[Contract_Number],[Contract_Number],
[DUNS_Number],[DUNS_Number],
[Name],[Name],
[Number_of_Full_Time_Equivalent_Employees_FTEs],[Number_of_Full_Time_Equivalent_Employees_FTEs],
[Number_of_Hours_Invoiced],[Number_of_Hours_Invoiced],
[IsDuplicateUTI],[IsDuplicateUTI],
[awarding_department_name],[awarding_department_name],
[fundingrequestingdepartmentid],[fundingrequestingdepartmentid],
[totalcontractvalue],[totalcontractvalue],
[totaldollaramountinvoiced],[totaldollaramountinvoiced],
[totalactionobligation],[totalactionobligation],
[totalbaseandalloptionsvalue],[totalbaseandalloptionsvalue],
[numberofcontractorhoursinvoiced],[numberofcontractorhoursinvoiced],
[numberofcontractorfulltimeequivalentemployeesftes],[numberofcontractorfulltimeequivalentemployeesftes],
[primecontractorhoursinvoiced],[primecontractorhoursinvoiced],
[primecontractorfulltimeequivalentemployeesftes],[primecontractorfulltimeequivalentemployeesftes],
[parent_award_id_piid],[parent_award_id_piid],
[base_and_exercised_options_value],[base_and_exercised_options_value],
[materials_supplies_articles_equipment_code],[materials_supplies_articles_equipment_code],
[materials_supplies_articles_equipment],[materials_supplies_articles_equipment],
[labor_standards_code],[labor_standards_code],
[labor_standards],[labor_standards],
[construction_wage_rate_requirements_code],[construction_wage_rate_requirements_code],
[construction_wage_rate_requirements],[construction_wage_rate_requirements],
[current_total_value_of_award],[current_total_value_of_award],
[potential_total_value_of_award],[potential_total_value_of_award],
[sam_exception_description],[sam_exception_description],
[cage_code],[cage_code],
[award_or_idv_flag],[award_or_idv_flag],
[inherently_governmental_functions],[inherently_governmental_functions],
[inherently_governmental_functions_description],[inherently_governmental_functions_description],
[organizational_type],[organizational_type],
[number_of_employees],[number_of_employees],
[annual_revenues],[annual_revenues],
[total_dollars_obligated],[total_dollars_obligated],
[foreign_funding_description],[foreign_funding_description],
[transaction_number_bigint],[transaction_number_bigint],
[last_modified_date_datetime2],[last_modified_date_datetime2],
[contract_transaction_unique_key],[contract_transaction_unique_key],
[contract_award_unique_key],[contract_award_unique_key],
[solicitation_date],[solicitation_date],
[treasury_accounts_funding_this_award],[treasury_accounts_funding_this_award],
[federal_accounts_funding_this_award],[federal_accounts_funding_this_award],
[simplified_procedures_for_certain_commercial_items_code],[simplified_procedures_for_certain_commercial_items_code],
[simplified_procedures_for_certain_commercial_items],[simplified_procedures_for_certain_commercial_items],
[highly_compensated_officer_1_name],[highly_compensated_officer_1_name],
[highly_compensated_officer_1_amount],[highly_compensated_officer_1_amount],
[highly_compensated_officer_2_name],[highly_compensated_officer_2_name],
[highly_compensated_officer_2_amount],[highly_compensated_officer_2_amount],
[highly_compensated_officer_3_name],[highly_compensated_officer_3_name],
[highly_compensated_officer_3_amount],[highly_compensated_officer_3_amount],
[highly_compensated_officer_4_name],[highly_compensated_officer_4_name],
[highly_compensated_officer_4_amount],[highly_compensated_officer_4_amount],
[highly_compensated_officer_5_name],[highly_compensated_officer_5_name],
[highly_compensated_officer_5_amount],[highly_compensated_officer_5_amount],
[usaspending_permalink],[usaspending_permalink],
[action_date_fiscal_year],[action_date_fiscal_year],
[contractactiontypedd350],[contractactiontypedd350],
[headquartercode],[headquartercode],
[cage],[cage],
[contractnumber],[contractnumber],
[PByear],[PByear],
[AccountDSI],[AccountDSI],
[MainAccountCode],[MainAccountCode],
[MainAccountName],[MainAccountName],
[Organization],[Organization],
[BudgetActivity],[BudgetActivity],
[BudgetActivityTitle],[BudgetActivityTitle],
[BudgetSubActivity],[BudgetSubActivity],
[BudgetSubActivityTitle],[BudgetSubActivityTitle],
[LineItem],[LineItem],
[LineItemTitle],[LineItemTitle],
[CostType],[CostType],
[CostTypeTitle],[CostTypeTitle],
[AddOrNonAdd],[AddOrNonAdd],
[Classified],[Classified],
[FiscalYear],[FiscalYear],
[BaseOther],[BaseOther],
[ProjectionType],[ProjectionType],
[Quantity],[Quantity],
[Value],[Value],
[LineNumber],[LineNumber],
[BaseOtherSum],[BaseOtherSum],
[BaseOtherInclude],[BaseOtherInclude],
[SourceFiscalYear],[SourceFiscalYear],
[accounttitle],[accounttitle],
[defenseorganization],[defenseorganization],
[BSA],[BSA],
[BSAtitle],[BSAtitle],
[OriginType],[OriginType],
[PBtotal],[PBtotal],
[PBtype],[PBtype],
[EnactedTotal],[EnactedTotal],
[EnactedType],[EnactedType],
[SpecialType],[SpecialType],
[ActualTotal],[ActualTotal],
[QuantPBtotal],[QuantPBtotal],
[QuantPBtype],[QuantPBtype],
[QuantEnactedTotal],[QuantEnactedTotal],
[QuantEnactedType],[QuantEnactedType],
[QuantSpecialType],[QuantSpecialType],
[QuantActualTotal],[QuantActualTotal],
[Organization_Code],[Organization_Code],
[Organization_Name],[Organization_Name],
[programelement],[programelement],
[programelementtitle],[programelementtitle],
[includeintoa],[includeintoa],
[DefenseOrganizationName],[DefenseOrganizationName],
[description],[description],
[programelementsforcodebitems],[programelementsforcodebitems],
[otherrelatedprogramelements],[otherrelatedprogramelements],
[iscontinuing],[iscontinuing],
[exhibits],[exhibits],
[idcode],[idcode],
[mdap],[mdap],
[type],[type],
[header1],[header1],
[book],[book],
[isrevisedjbook],[isrevisedjbook],
[ClassifiedName],[ClassifiedName],
[recipient_county_name],[recipient_county_name],
[disaster_emergency_fund_codes_for_overall_award],[disaster_emergency_fund_codes_for_overall_award],
[object_classes_funding_this_award],[object_classes_funding_this_award],
[program_activities_funding_this_award],[program_activities_funding_this_award],
[obligated_amount_funded_by_covid19_supplementals_for_overall_award],[obligated_amount_funded_by_covid19_supplementals_for_overall_award],
[outlayed_amount_funded_by_covid19_supplementals_for_overall_award],[outlayed_amount_funded_by_covid19_supplementals_for_overall_award],
[csistiebreakerid],[csistiebreakerid],
[ismissingfromupdate],[ismissingfromupdate],
[recipient_uei],[recipient_uei],
[recipient_parent_uei],[recipient_parent_uei],
[prime_award_base_transaction_description],[prime_award_base_transaction_description],
[obligated_amount_funded_by_iija_supplementals_for_overall_award],[obligated_amount_funded_by_iija_supplementals_for_overall_award],
[outlayed_amount_funded_by_iija_supplementals_for_overall_award],[outlayed_amount_funded_by_iija_supplementals_for_overall_award],
[recipient_name_raw],[recipient_name_raw],
[recipient_parent_name_raw],[recipient_parent_name_raw],
[government_furnished_property],[government_furnished_property],
[transaction_description],[transaction_description],
[government_furnished_property_code],[government_furnished_property_code],
[alaskan_native_corporation_owned_firm],[alaskan_native_corporation_owned_firm],
[native_hawaiian_organization_owned_firm],[native_hawaiian_organization_owned_firm],
[tribally_owned_firm],[tribally_owned_firm],
[receives_financial_assistance],[receives_financial_assistance],
[receives_contracts_and_financial_assistance],[receives_contracts_and_financial_assistance],
[foreign_owned],[foreign_owned],
[outlayed_amount_from_covid-19_supplementals_for_overall_award],[outlayed_amount_from_covid-19_supplementals_for_overall_award],
[obligated_amount_from_covid-19_supplementals_for_overall_award],[obligated_amount_from_covid-19_supplementals_for_overall_award],
[obligated_amount_from_iija_supplemental_for_overall_award],[obligated_amount_from_iija_supplemental_for_overall_award],
[outlayed_amount_from_iija_supplemental_for_overall_award],[outlayed_amount_from_iija_supplemental_for_overall_award],
[prime_award_transaction_recipient_county_fips_code],[prime_award_transaction_recipient_county_fips_code],
[prime_award_transaction_recipient_state_fips_code],[prime_award_transaction_recipient_state_fips_code],
[prime_award_transaction_place_of_performance_county_fips_code],[prime_award_transaction_place_of_performance_county_fips_code],
[prime_award_transaction_place_of_performance_state_fips_code],[prime_award_transaction_place_of_performance_state_fips_code],
[prime_award_transaction_recipient_cd_original],[prime_award_transaction_recipient_cd_original],
[prime_award_transaction_recipient_cd_current],[prime_award_transaction_recipient_cd_current],
[prime_award_transaction_place_of_performance_cd_original],[prime_award_transaction_place_of_performance_cd_original],
[prime_award_transaction_place_of_performance_cd_current],[prime_award_transaction_place_of_performance_cd_current],
[total_outlayed_amount_for_overall_award],[total_outlayed_amount_for_overall_award],
[usaspending_file_name],[usaspending_file_name],
[initial_report_date],[initial_report_date],
[detached_award_procurement_id],[detached_award_procurement_id],
[additional_reporting],[additional_reporting],
[business_categories],[business_categories],
[pulled_from],[pulled_from],
[entity_data_source],[entity_data_source],
[created_at],[created_at],
[updated_at],[updated_at],
[agency_id],[agency_id],
[correction_delete_ind],[correction_delete_ind],
