coloration.key,variable,Label,Display.Order,Color,RGB,shape,size,alpha,text.color,text.RGB,abbreviation
MajorCommand,U.S. AIR FORCE RESERVE COMMAND,U.S. AIR FORCE RESERVE COMMAND,27,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. AIR FORCE SPACE COMMAND,U.S. AIR FORCE SPACE COMMAND,23,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. AIR FORCE SPECIAL OPERATIONS COMMAND,U.S. AIR FORCE SPECIAL OPERATIONS COMMAND,31,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. AIR FORCES IN EUROPE AND AIR FORCES IN AFRICA,U.S. AIR FORCES IN EUROPE AND AIR FORCES IN AFRICA,26,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY CENTRAL COMMAND,U.S. ARMY CENTRAL COMMAND,43,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY CENTRAL COMMAND - JOINT THEATER SUPPORT CONTRACTING COMMAND,U.S. ARMY CENTRAL COMMAND - JOINT THEATER SUPPORT CONTRACTING COMMAND,74,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. Army Corps of Engineers,U.S. Army Corps of Engineers,50,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY CORPS OF ENGINEERS ,U.S. ARMY CORPS OF ENGINEERS ,2,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY FORCES COMMAND,U.S. ARMY FORCES COMMAND,46,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY INTELLIGENCE & SECURITY COMMAND,U.S. ARMY INTELLIGENCE & SECURITY COMMAND,58,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY MEDICAL COMMAND,U.S. ARMY MEDICAL COMMAND,53,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY MEDICAL RESEARCH ACQUISITION ACTIVITY,U.S. ARMY MEDICAL RESEARCH ACQUISITION ACTIVITY,59,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY MEDICAL RESEARCH AND MATERIEL COMMAND,U.S. ARMY MEDICAL RESEARCH AND MATERIEL COMMAND,51,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,48,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY PACIFIC COMMAND,U.S. ARMY PACIFIC COMMAND,35,red,#AA4643,,,,default grey,#554449,
MajorCommand,"U.S. ARMY PROGRAM EXECUTIVE OFFICE FOR SIMULATION, TRAINING, & INSTRUMENTATION","U.S. ARMY PROGRAM EXECUTIVE OFFICE FOR \n SIMULATION, TRAINING, & INSTRUMENTATION",70,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY SOUTH,U.S. ARMY SOUTH,36,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY TEST AND EVALUATION COMMAND,U.S. ARMY TEST AND EVALUATION COMMAND,56,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. ARMY TRAINING & DOCTRINE COMMAND,U.S. ARMY TRAINING & DOCTRINE COMMAND,39,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. NAVY MILITARY SEALIFT COMMAND,U.S. NAVY MILITARY SEALIFT COMMAND,62,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. NAVY NAVAL AIR SYSTEMS COMMAND,U.S. NAVY NAVAL AIR SYSTEMS COMMAND,60,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. NAVY NAVAL FACILITIES ENGINEERING COMMAND,U.S. NAVY NAVAL FACILITIES ENGINEERING COMMAND,63,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. NAVY NAVAL SEA SYSTEMS COMMAND,U.S. NAVY NAVAL SEA SYSTEMS COMMAND,64,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND,U.S. NAVY NAVAL SUPPLY SYSTEMS COMMAND,61,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. NAVY SPACE AND NAVAL WARFARE SYSTEMS COMMAND,U.S. NAVY SPACE AND NAVAL WARFARE SYSTEMS COMMAND,67,red,#AA4643,,,,default grey,#554449,
MajorCommand,U.S. NAVY STRATEGIC SYSTEMS PROGRAMS,U.S. NAVY STRATEGIC SYSTEMS PROGRAMS,65,red,#AA4643,,,,default grey,#554449,
MajorCommand,Uncategorized,Uncategorized,78,red,#AA4643,,,,default grey,#554449,
MajorCommand,UNITED STATES AIR FORCE ACADEMY,UNITED STATES AIR FORCE ACADEMY,28,red,#AA4643,,,,default grey,#554449,
MajorCommand,UNITED STATES MARINE CORPS,UNITED STATES MARINE CORPS,66,red,#AA4643,,,,default grey,#554449,
MajorCommand,US ARMY CONTRACTING COMMAND EUROPE,US ARMY CONTRACTING COMMAND EUROPE,40,red,#AA4643,,,,default grey,#554449,
MajorCommand,US ARMY SERVICES AND OPERATIONS AGENCY,US ARMY SERVICES AND OPERATIONS AGENCY,71,red,#AA4643,,,,default grey,#554449,
MajorCommand,WEST POINT,WEST POINT,37,red,#AA4643,,,,default grey,#554449,
,,,,,,,,,,,
ContractingOffice,"RICHMOND, VA","RICHMOND, VA",1,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"DLA AVIATION AT PHILADELPHIA, PA","PHILADELPHIA, PA",2,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"OKLAHOMA CITY, OK","OKLAHOMA CITY, OK",3,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"DLA AVIATION AT HUNTSVILLE, AL","HUNTSVILLE, AL",4,red,#AA4643,,,,default grey,#554449,
ContractingOffice,DLA WARNER ROBINS,WARNER ROBINS,5,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"OGDEN, UT","OGDEN, UT",6,red,#AA4643,,,,default grey,#554449,
ContractingOffice,OTHER,OTHER,7,red,#AA4643,,,,default grey,#554449,
ContractingOffice,89 CONS/LGC,89 CONS/LGC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,8TH MARINE CORPS DISTRICT,8TH MARINE CORPS DISTRICT,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,9 CONS/CC,9 CONS/CC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,90 CONS/LGCW,90 CONS/LGCW,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,914 AW/LGC,914 AW/LGC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,92 CONS/LGC,92 CONS/LGC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,97 CONS/CC,97 CONS/CC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,99 CONS/CC,99 CONS/CC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/PK  AF DEVELOPMENT TEST CENT,AAC/PK  AF DEVELOPMENT TEST CENT,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/PKO  OPERATIONAL CONTRACTING,AAC/PKO  OPERATIONAL CONTRACTING,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/PKR,AAC/PKR,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/PKZ,AAC/PKZ,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/WMK,AAC/WMK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/YAK,AAC/YAK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/YHK,AAC/YHK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/YUK,AAC/YUK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AAC/YVK,AAC/YVK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, 5TH SIGNAL COMMAND","ACA, 5TH SIGNAL COMMAND",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, ABERDEEN PROVING GROUND","ACA, ABERDEEN PROVING GROUND",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, ARMY BASEOPS SUPPORT ACTIVI","ACA, ARMY BASEOPS SUPPORT ACTIVI",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, DUGWAY PROVING GROUND","ACA, DUGWAY PROVING GROUND",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT BENNING","ACA, FORT BENNING",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT BLISS","ACA, FORT BLISS",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT BRAGG","ACA, FORT BRAGG",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT CAMPBELL","ACA, FORT CAMPBELL",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT CARSON","ACA, FORT CARSON",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT DIX","ACA, FORT DIX",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT DRUM","ACA, FORT DRUM",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT GORDON","ACA, FORT GORDON",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT HOOD","ACA, FORT HOOD",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT HUACHUCA","ACA, FORT HUACHUCA",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT IRWIN","ACA, FORT IRWIN",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT JACKSON","ACA, FORT JACKSON",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT KNOX","ACA, FORT KNOX",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT LEWIS","ACA, FORT LEWIS",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT MCCOY","ACA, FORT MCCOY",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT POLK","ACA, FORT POLK",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT RICHARDSON","ACA, FORT RICHARDSON",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT RILEY","ACA, FORT RILEY",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT RUCKER","ACA, FORT RUCKER",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT SAM HOUSTON","ACA, FORT SAM HOUSTON",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT SHAFTER","ACA, FORT SHAFTER",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT SILL","ACA, FORT SILL",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, FORT STEWART","ACA, FORT STEWART",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, ITEC4","ACA, ITEC4",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, N. REGION CONTRACTING CENTE","ACA, N. REGION CONTRACTING CENTE",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, NATICK","ACA, NATICK",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, OPARC","ACA, OPARC",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, PRESIDIO OF MONTEREY","ACA, PRESIDIO OF MONTEREY",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, SOUTH REGION CONTRACTING CT","ACA, SOUTH REGION CONTRACTING CT",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, U.S. MILITARY ACADEMY","ACA, U.S. MILITARY ACADEMY",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, WHITE SANDS MISSILE RANGE","ACA, WHITE SANDS MISSILE RANGE",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ACA, YUMA PROVING GROUND","ACA, YUMA PROVING GROUND",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AEDC/PK  ENGINEERING DEVELOPMENT,AEDC/PK  ENGINEERING DEVELOPMENT,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AEDC/PKM OPER CONTRACT DIVISION,AEDC/PKM OPER CONTRACT DIVISION,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AEDC/PKP ENGINEERING DEVELOPMENT,AEDC/PKP ENGINEERING DEVELOPMENT,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AEDC/PKP R&D CONTRACTS,AEDC/PKP R&D CONTRACTS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AETC CONS/CC,AETC CONS/CC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFFTC/PKB  R & D CONTRACTING DIV,AFFTC/PKB  R & D CONTRACTING DIV,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFFTC/PKRA R&D CONTRACTS FTC,AFFTC/PKRA R&D CONTRACTS FTC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFLOAT MEDIA SYSTEMS,AFLOAT MEDIA SYSTEMS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFPRO BOWING MILITARY AIRPLAINESP.O. BOX 773,AFPRO BOWING MILITARY AIRPLAINESP.O. BOX 773,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/IFK,AFRL/IFK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/IFKO,AFRL/IFKO,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/IFKRD,AFRL/IFKRD,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/IFKRE,AFRL/IFKRE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/IFKRF,AFRL/IFKRF,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/IFQPB,AFRL/IFQPB,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/MLKH HUMAN EFFECTIVENESS BR,AFRL/MLKH HUMAN EFFECTIVENESS BR,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/MLKM METALS CONTRACTING BRN,AFRL/MLKM METALS CONTRACTING BRN,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/MLKN NONMETALS CONTRACTING,AFRL/MLKN NONMETALS CONTRACTING,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/MLKT MANUFACTURING TECH,AFRL/MLKT MANUFACTURING TECH,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/MNK,AFRL/MNK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PK,AFRL/PK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PKD DET 1,AFRL/PKD DET 1,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PKDA DET 1,AFRL/PKDA DET 1,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PKDB DET 1,AFRL/PKDB DET 1,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PKNA DET 1,AFRL/PKNA DET 1,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PRKA AEROSPACE POWER FUELS,AFRL/PRKA AEROSPACE POWER FUELS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PRKB  ADVANCED PROPULSION,AFRL/PRKB  ADVANCED PROPULSION,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/PRKC,AFRL/PRKC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/SNKD INFORMATION/SENSOR APP,AFRL/SNKD INFORMATION/SENSOR APP,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/SNKE AEROSPACE COMPONENTS,AFRL/SNKE AEROSPACE COMPONENTS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/SNKR ATR/RF SENSORS BRANCH,AFRL/SNKR ATR/RF SENSORS BRANCH,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFRL/VAK AIR VEHICLES CONTRACTNG,AFRL/VAK AIR VEHICLES CONTRACTNG,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AFSAC/PK,AFSAC/PK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AGMC/PK,AGMC/PK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AIRBORNE COMMAND AND CONTROL,AIRBORNE COMMAND AND CONTROL,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AMC/CONF/LGC,AMC/CONF/LGC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AMPHIBIOUS CONSTRUCTION BATTALIO,AMPHIBIOUS CONSTRUCTION BATTALIO,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AMPHIBIOUS GROUP 2,AMPHIBIOUS GROUP 2,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ANTILLES CONSOLIDATED SCHOOL SYS,ANTILLES CONSOLIDATED SCHOOL SYS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ARCENT CONTRACTING OFFICE,ARCENT CONTRACTING OFFICE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ARCO VINCENZA,ARCO VINCENZA,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ARMY ATLANTA CONTRACTING CENTER,ARMY ATLANTA CONTRACTING CENTER,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/AEKA,ASC/AEKA,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/CDSK,ASC/CDSK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/DET 1,ASC/DET 1,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/EMK,ASC/EMK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/FBH,ASC/FBH,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/FBK,ASC/FBK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/GR,ASC/GR,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"ASC/JLSC   BLDG 15, RM 133-B","ASC/JLSC   BLDG 15, RM 133-B",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/LPK  BLDG 28 ROOM 207,ASC/LPK  BLDG 28 ROOM 207,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/LYTDK,ASC/LYTDK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/OL-VXK,ASC/OL-VXK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/OL-YGK,ASC/OL-YGK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/OL-YHK,ASC/OL-YHK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/OL-YMK,ASC/OL-YMK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/OL-YUK,ASC/OL-YUK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PK,ASC/PK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PK AERONAUTICAL SYSTEMS CTR,ASC/PK AERONAUTICAL SYSTEMS CTR,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PKG,ASC/PKG,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PKHF,ASC/PKHF,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PKN,ASC/PKN,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PKW,ASC/PKW,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PKWO,ASC/PKWO,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PKWR,ASC/PKWR,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/PKWT,ASC/PKWT,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/RWKR,ASC/RWKR,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/SDBK,ASC/SDBK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/SMKA,ASC/SMKA,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/SMKN,ASC/SMKN,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/TMK,ASC/TMK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/VCK,ASC/VCK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/VFK,ASC/VFK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/VXK,ASC/VXK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/YCK,ASC/YCK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/YFK,ASC/YFK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/YPK,ASC/YPK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/YSK,ASC/YSK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/YTK,ASC/YTK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASC/YWK,ASC/YWK,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ASIA-PACIFIC CENTER FOR SECURITY,ASIA-PACIFIC CENTER FOR SECURITY,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ATLANTIC FLEET HEADQUARTERS SUPP,ATLANTIC FLEET HEADQUARTERS SUPP,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,ATLANTIC FLEET WEAPONS TRAINING,ATLANTIC FLEET WEAPONS TRAINING,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,AVIATION APPLIED TECHNOLOGY,AVIATION APPLIED TECHNOLOGY,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,BEACHMASTER UNIT 2,BEACHMASTER UNIT 2,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,BEACHMASTER UNIT TWO,BEACHMASTER UNIT TWO,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,BLUE GRASS ARMY DEPOT PROCUREMEN,BLUE GRASS ARMY DEPOT PROCUREMEN,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,BUREAU OF MEDICINE AND SURGERY,BUREAU OF MEDICINE AND SURGERY,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CAMP LEMONIER DJIBOUTI,CAMP LEMONIER DJIBOUTI,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CAPITOL CONTRACTING CENTER,CAPITOL CONTRACTING CENTER,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CARLISLE BARRACKS,CARLISLE BARRACKS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CARRIER AIRBORNE EARLY WARNING,CARRIER AIRBORNE EARLY WARNING,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CARRIER STRIKE GROUP 12,CARRIER STRIKE GROUP 12,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CDR US NAVAL FORCES CENTRAL COMMAND,CDR US NAVAL FORCES CENTRAL COMMAND,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CDR US PACIFIC COMMAND USPACOM,CDR US PACIFIC COMMAND USPACOM,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENEODDIVE LEARNING SITE GLKS,CENEODDIVE LEARNING SITE GLKS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER FOR EXPLOSIVE ORDNANCE,CENTER FOR EXPLOSIVE ORDNANCE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER FOR INFORMATION DOMINANCE,CENTER FOR INFORMATION DOMINANCE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER FOR PERSONAL AND,CENTER FOR PERSONAL AND,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER FOR SEAL SWCC,CENTER FOR SEAL SWCC,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER FOR SECURITY FORCES,CENTER FOR SECURITY FORCES,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER FOR SERVICE SUPPORT,CENTER FOR SERVICE SUPPORT,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER FOR SURFACE COMBAT SYSTEMS,CENTER FOR SURFACE COMBAT SYSTEMS,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CENTER OF EXCELLENCE IN DISASTER,CENTER OF EXCELLENCE IN DISASTER,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CHIEF OF NAVAL AIR TRAINING,CHIEF OF NAVAL AIR TRAINING,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,CHIEF OF NAVAL PERSONNEL,CHIEF OF NAVAL PERSONNEL,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COASTAL RIVERINE GROUP ONE,COASTAL RIVERINE GROUP ONE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COASTAL RIVERINE GROUP TWO,COASTAL RIVERINE GROUP TWO,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,"COLUMBUS, OH","COLUMBUS, OH",37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMB JT TASK FORCE HORN OF AFRICA,COMB JT TASK FORCE HORN OF AFRICA,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMBAT DIRECTION SYSTEMS ACTIVIT,COMBAT DIRECTION SYSTEMS ACTIVIT,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER,COMMANDER,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER DLIFLC & POM,COMMANDER DLIFLC & POM,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER FLEET ACT SASEBO JAPAN,COMMANDER FLEET ACT SASEBO JAPAN,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER FLEET ACT YOKOSUKA JAPAN,COMMANDER FLEET ACT YOKOSUKA JAPAN,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER FLEET ACTIVITY CHINHAE,COMMANDER FLEET ACTIVITY CHINHAE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER FLEET CYBER CMD - OPS 3,COMMANDER FLEET CYBER CMD - OPS 3,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER NAVAL AIR FORCE,COMMANDER NAVAL AIR FORCE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER NAVAL AIR FORCE PAC FLEET,COMMANDER NAVAL AIR FORCE PAC FLEET,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER SUBMARINE FORCE,COMMANDER SUBMARINE FORCE,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER SUBMARINE GROUP 7,COMMANDER SUBMARINE GROUP 7,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDER US NAVAL FORCES KOREA,COMMANDER US NAVAL FORCES KOREA,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDING GENERAL,COMMANDING GENERAL,37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDING GENERAL (M68450),COMMANDING GENERAL (M68450),37,red,#AA4643,,,,default grey,#554449,
ContractingOffice,COMMANDING OFFICER,COMMANDING OFFICER,37,red,#AA4643,,,,default grey,#554449,
