projectText	ProjectID	MinOfstartFiscalYear	MaxOfEndFiscalYear
AN/TSC-75 COMM CENTRAL	448	1991	2001
AN/TSC-99 HF RADIO	532	1990	1993
AN/TSM-55 ELEC TEST EQUIP	410	1990	2002
AN/TSQ-114	453	1990	2003
AN/TSQ-18 LANDING CNTRL C	950	NULL	NULL
AN/TSQ-18 LANDING CNTRL CNTR	950	1990	2000
AN/TSQ-43 INTERPRETATION 	444	NULL	NULL
AN/TSQ-43 INTERPRETATION FAC	444	1992	2003
AN/TSQ-71 LND CNTRL CENTR	447	NULL	NULL
AN/TSQ-71 LND CNTRL CENTRAL	447	1992	1992
AN/TSQ-73 AIR DEF MSL SYS	426	1990	2003
AN/TSQ-84 (AACOMS)	451	1990	1990
AN/TSW-7	414	1991	1996
AN/TSW-7 AIR CENTR CNTRL 	1606	NULL	NULL
AN/TSW-7 AIR CENTR CNTRL SYS	1606	1992	1996
AN/TTC-3 CENT  OFF TEL	993	1991	2001
AN/TTC-38 CENT OFF TEL	1002	1991	2002
AN/TTC-39 	13	2006	2012
AN/TTC-39 CIRCUIT SWITCH	434	1990	2009
AN/TTC-39(Z) SYSTEM	455	1990	2003
AN/TTC-42 TRITAC	1005	1990	1999
AN/TVQ-2 LASER DESIGNATOR	428	1993	2002
AN/TXQ-3 RADAR RELAY SET	1047	1990	1992
AN/TYA-11 COMM CENTRAL	987	1991	1999
AN/TYA-20	955	1992	1997
AN/TYC-39 MESSAGE SWITCH	433	1990	2003
AN/TYC-5 DATA COMM TERMIN	995	NULL	NULL
AN/TYC-5 DATA COMM TERMINAL	995	1990	2001
AN/TYQ-1 TACC	989	1990	1999
AN/TYQ-2 TAOC	988	1992	1996
AN/TYQ-3 TDC	990	1990	NULL
AN/UGC-129	1003	1990	2003
AN/UGC-141	1650	1991	1992
AN/UGC-25 TELGRPH/TELTYPE	992	1992	1992
AN/UGC-74	998	1995	2002
AN/UGC-74 FATT PAGE PRINT	452	NULL	NULL
AN/UGC-74 FATT PAGE PRINTER	452	1990	1994
AN/ULQ-6	926	1992	2003
AN/UPR-2	1061	1990	1995
AN/URC-82	1084	1998	2003
AN/URD-4	1074	1990	1999
AN/URN-25	1097	1994	1995
AN/USC-3 COMMUNICATIONS S	442	NULL	NULL
AN/USC-3 COMMUNICATIONS SYS	442	1990	1993
AN/USG-13 TACMO 3	957	1990	2000
AN/USH-24	1019	1990	2003
AN/USM-207	958	1991	1991
AN/USM-207 FREQ MEASUR SE	413	NULL	NULL
AN/USM-207 FREQ MEASUR SET	413	1991	1995
AN/USM-247 (VAST)	928	1990	2003
AN/USM-410 TEST STATION	436	1990	2003
AN/USP-1 RADAR	1037	1991	2001
AN/USQ-20 NTDS	959	1990	1998
AN/UXC-4	1699	1990	1994
AN/UYA-4 NTDS	951	1990	2003
AN/UYH/K-3 MEMORY UNITS	927	1990	2002
AN/UYK-20 GARD	963	1989	2003
AN/UYK-43	1008	1990	2003
AN/UYK-5 ADP SYSTEM	945	1990	2001
AN/UYK-7 COMPUTER SYS	961	1989	2003
AN/UYQ-21 NTDS	1018	1990	2013
AN/VCC-1	983	1992	1992
AN/VPS-2 RADAR SET	508	1990	1997
AN/VRC-12 RADIO	523	1990	2001
AN/VRC-67 RADIO TERMINAL	445	1991	2003
AN/VVG-2 RANGE FINDER LAS	435	NULL	NULL
AN/VVG-2 RANGE FINDER LASER	435	1991	1991
AN/VVS-2	558	1991	2003
AN/WLR-1	940	1990	2003
AN/WLR-8	973	1990	2002
AN/WLR-9	1017	1990	2000
AN/WRC-1	1088	1994	2003
AN/WRN-5	1087	2000	2000
AN/WRR-7	1068	1992	1992
AN/WSC-28 SAT COMM	458	1990	2002
AN/WSC-3 SHIPBOARD SATCOM	1139	1993	1995
AN/WSN-1 (V)	1042	1993	1997
AN/WSN-1 INERT NAV SYS	1014	1990	2003
AN/WSN-2	1080	1990	2003
ANTENNA IMPROV PLAN	942	1995	2003
ANTENNA TEST STATION	1764	1990	2003
AOC-WS 	1363	2004	NULL
APACHE (AH-64) ADV ATTACK	1906	2000	NULL
APACHE (AH-64A) 	54	2004	NULL
APC	2057	NULL	NULL
APS 	20	2008	NULL
AQM-37 TARGET DRONE	836	1989	1998
AQM-38	850	1990	1992
AQM-41 PETREL	852	1991	1991
ARC-210 RADIO SET	1166	1999	2003
ARE	1907	NULL	NULL
ARH 	75	2006	NULL
ARL	1942	2000	NULL
ARMORED MORTAR SYSTEM	334	1998	2003
ARMORED SECURITY VEHICLE	186	1994	2003
ARMORED VEHICLE	1559	1991	1992
ARMY DATA DISTRIBUTION SY	460	NULL	NULL
ARMY DATA DISTRIBUTION SYS	460	1994	2003
ARMY TACTICAL MISSILE SYS	158	NULL	NULL
ARMY TACTICAL MISSILE SYSTEM	158	1991	NULL
ARMY WWMCCS INFO SYS	468	2003	2003
ARN-118 TACAN	1662	1990	1999
ARN-127 VOR/ILS	1663	1991	1991
AS2629 BBR CABLE ASSEMBLY	1155	1990	1998
ASAS (ATCCS) 	655	2007	2012
ASAT	2221	1975	NULL
ASDS 	1375	2008	2011
ASF	1908	NULL	NULL
ASM 	1856	2007	2009
ASMS ADV STRATEGIC MSL SY	1543	NULL	NULL
ASMS ADV STRATEGIC MSL SYS	1543	1990	2013
ASSAULT BREAKER	153	1991	1994
ASSAULT GEN SHERIDAN XM55	207	NULL	NULL
ASSAULT GEN SHERIDAN XM551	207	1990	1993
ASSAULT SHIP AMPHIBIOUS-L	1215	NULL	NULL
ASSAULT SHIP AMPHIBIOUS-LHA	1215	1989	2003
ASSAULT SHIP AMPHIBIOUS-LHD-1	1215	1990	2010
ASSAULT SHIP AMPHIBIOUS-LPH	1215	1989	1999
AT NAV,INTEGR AND CRD ATN	486	NULL	NULL
AT NAV,INTEGR AND CRD ATNAVICS	486	1995	2003
ATACMS BAT 	1826	2001	NULL
ATACMS-APAM 	623	2007	NULL
ATARS 	1867	2008	2008
ATCCS-CHS 	1853	2005	2007
ATIRCMS/CMWS 	630	2004	NULL
ATM 	1851	2010	2012
ATR	1909	NULL	NULL
ATS	2058	2006	NULL
AUJ	2059	NULL	NULL
AUTO CHEM AGENT ALARM	584	1995	2003
AUTO TEST SUPPORT SYS	425	1990	2003
AUTO TEST SYSTEM A15/DQ/G	1765	NULL	NULL
AUTO TEST SYSTEM A15/DQ/GSM	1765	1990	1998
AUTODIN	538	1990	2000
AV-8 HARRIER	795	1988	2012
AV-8A 	1342	2007	2011
AV-8B 	63	2005	NULL
AV-8B REMANUFACTURE 	1818	2002	NULL
AVENGER - FADS, LOS, RPMS	160	1994	2004
AVENGER (FAADS LOS-R) 	1876	2007	NULL
AVG 	1910	NULL	NULL
AVIONICS	488	1994	2013
AVK	2060	NULL	NULL
AWACS	2210	NULL	NULL
AWACS RSIP (E-3) 	1815	2004	NULL
AWACS UPGRADE	682	2015	NULL
AWADS FOR C-130	1673	1990	1999
B-1 	1797	1990	NULL
B-1 CMUP-DSUP 	641	2007	2012
B1-B 	64	2006	NULL
B1-B CMUP 	693	2004	NULL
B1-CMUP COMPUTER UPGRADE 	669	2007	2013
B-2 DMS-M	2145	2016	NULL
B-2 EHF 	635	2006	NULL
B-2 RMP 	1370	2004	NULL
B-2 STEALTH	1883	1990	NULL
B-26 INVADER	1395	1991	1995
B-2A 	1860	2003	NULL
B-47 STRATOJET	1397	1991	1994
B-50 SUPER FORTRESS	1400	1990	1999
B-52	1881	NULL	NULL
B-52 OAS/CMI MODS 	1868	2007	NULL
B-52 RMP	2197	2018	NULL
B-52 STRATO FORTRESS	1881	1990	2012
B-57 CANBERRA	1398	1992	1995
B-58 HUSTLER	1399	1991	1994
B-70 VALKYRIE	1403	1991	1998
BALL MSL DEF SYS	138	1991	1993
BALLISTIC MISSILE DEFENSE	137	NULL	NULL
BALLISTIC MISSILE DEFENSE SYS	137	1988	2012
BAMS 	1367	2004	NULL
BARGE SHIP WASTE	1252	1990	2003
BARRACKS SHIP SELF-PROP-A	1253	NULL	NULL
BARRACKS SHIP SELF-PROP-APB	1253	1992	2003
BASE REALIGN & CLOS (BRAC	610	NULL	NULL
BASE REALIGN & CLOS (BRAC) ENV	610	1995	2013
BAT FLD CMBT ID SYS - NEA	489	NULL	NULL
BAT FLD CMBT ID SYS - NEAR TRM	NULL	1997	2012
BATTLESHIP	1167	1990	2003
BCS-M	1991	2009	2009
BDU-38 PRACTICE	1596	1990	1990
BDW 33/B PRACTICE BOMB	343	NULL	NULL
BGM-109 TOMAHAWK	865	1989	2002
BIGEYE	1600	1990	1990
BIOMETRICS	1992	2008	NULL
BJL	2061	NULL	NULL
BJM	2062	NULL	NULL
BJN	2063	NULL	NULL
BLACK HAWK (UH-60A/L) 	52	2004	NULL
BLACK HAWK UPGRADE (UH-60	1339	NULL	NULL
BLACK HAWK UPGRADE (UH-60M) 	1339	2000	NULL
BLACKHAWK	1905	2000	NULL
BMDS 	1357	2004	NULL
BMTC 	69	2011	2011
BOAT BRIDGE ERECT DE 27 F	576	NULL	NULL
BOAT BRIDGE ERECT DE 27 FT	576	1990	2003
BQM-34 FIREBEE	834	1990	2011
BQM-74	869	1996	2003
BQM-74E SSAT	871	1997	2010
BRAC ACTIVITIES	2014	2000	NULL
BRADLEY FVS 	27	2006	NULL
BRADLEY UPGRADE 	1849	2004	NULL
BRADLEY, INFANTRY FT VEH 	1928	NULL	NULL
BRADLEY, INFANTRY FT VEH FAMILY	1928	2002	2010
BRADLEY,INFANTRY FT VEH F	206	NULL	NULL
BRADLEY,INFANTRY FT VEH FAMILY	206	1990	NULL
BREAK BULK CONT 34 TON	231	1990	1992
BRIDGE (ARMORED VEH LAUNC	191	NULL	NULL
BRIDGE (ARMORED VEH LAUNCH)	191	1990	1993
BRIDGE FIXED HWY ALUM	194	1990	1993
BRIDGE FLOAT RIBBON INT B	195	NULL	NULL
BRIDGE FLOAT RIBBON INT BAY	195	1990	1992
BRIDGE FLOAT RIBBON RAMP	196	1990	1990
BRLNT ANTI-ARMOR SUBMUNIT	161	NULL	NULL
BRLNT ANTI-ARMOR SUBMUNITION	161	1998	2003
BSJ	2064	NULL	NULL
BSM	1972	2004	NULL
BSM ENERGY	1962	2004	NULL
BSR	2065	NULL	NULL
BSU-50 AIR INFLATE RETARD	1598	1991	1997
BTD	2066	NULL	NULL
BTLFLD DIGITALIZATION 	633	2007	NULL
BUNKER DEFEATING MUNITION	402	NULL	NULL
BUNKER DEFEATING MUNITION BDM	402	1997	2003
BUS 28 PAX	1556	1991	1991
C/MH-53	16	1973	NULL
C/MH-53E 	16	2005	NULL
C-1 TRADER	725	1991	2001
C-10	1426	1990	2003
C-11 GULFSTREAM II	717	1993	2003
C-117 SKYTRAIN	1412	1992	2003
C-118 LIFTMASTER	1413	1991	1991
C-119 FLYING BOXCAR	723	1990	1999
C-12	89	1990	2010
C-121 CONSTELLATION	1409	1990	2003
C-121 WARNING STAR	718	1991	2002
C-123 PROVIDER	728	1990	1999
C-124 GLOBEMASTER	1415	1992	2002
C-12A (CX-X)	1427	1991	2001
C-130 AMP 	702	2004	NULL
C-130 HERCULES	716	1989	2003
C-130H	1827	2006	NULL
C130-J 	631	2003	NULL
C-131 SAMARITAN	726	1990	1999
C-133 CARGOMASTER	1418	1990	1991
C-137 STRATOLINER	1423	1991	2003
C-14	1428	1991	1995
C-140 JET STAR	1424	1990	1997
C-141 STARLIFTER	1420	1990	2010
C-142	1425	1991	1995
C-17A 	614	2000	NULL
C-17A CARGO TRANSPORT	1430	1990	NULL
C-18	1429	1990	2011
C-2 GREYHOUND	714	1988	2008
C-20	1431	1990	2003
C-20 ACFT	91	1999	2003
C-20 GULFSTREAM III/IV	730	1998	2003
C-23 SHERPA	90	1990	2003
C-3	715	1989	NULL
C-3 INERT NAVIG EQUIP	1031	1990	2000
C-4 GULFSTREAM	729	1994	2002
C-45 EXPEDITOR	1411	1990	2003
C-45 NAVIGATOR	720	1992	1992
C-46 COMMANDO	1416	1990	2002
C-47 SKYTRAIN	719	1990	2003
C-5 AMP	2223	NULL	NULL
C-5 GALAXY	1404	1990	NULL
C-5 RERP 	1326	2003	NULL
C-54 SKYMASTER	721	1993	1997
C-5A 	1348	2004	NULL
C-5B 	615	2005	NULL
C-7 CARIBOU	1405	1990	2003
C-9 NIGHTINGALE	1422	1990	1999
C-9 SKYTRAIN II	724	1989	2010
C9B COMMERCIAL ACFT	775	1990	2003
CAC2S INC 1	2153	2016	NULL
CAESAR	984	1990	1995
CAINS GROUND SUPPORT EQUI	970	NULL	NULL
CAINS GROUND SUPPORT EQUIP	970	1990	2003
CALIBER .50 AMMO ALL TYPE	363	NULL	NULL
CALIBER .50 AMMO ALL TYPES	363	2000	2000
CALIBRATIONS SET, EQUIPME	587	NULL	NULL
CALIBRATIONS SET, EQUIPMENT	587	1994	2003
CALIBRATOR WETTMETER	1766	1990	1996
Captor	925	NULL	NULL
CARGO 1 1/2 TON M105 TRAI	260	NULL	NULL
CARGO 1 1/2 TON M105 TRAILER	260	1992	2003
CARGO 1 1/4 TON 6X6 M561	282	1990	1991
CARGO 1 TON 4X4 M601	281	1990	1993
CARGO 1/2 TON 4X2	1569	1991	1992
CARGO 1/2 TON 4X2 PICKUP	279	1990	1990
CARGO 16 TON 4X4 XM437(GO	285	NULL	NULL
CARGO 16 TON 4X4 XM437(GOER)	285	1990	1991
CARGO 3/4 TON 4X4	1570	1992	1992
CARGO 3/4 TON M101	256	1990	2003
CARGO 5 TON M54A2C	891	1996	2002
CARGO 5 TON(TRUCK)	283	1990	1993
CARGO 8 TON 4X4 XM520(GOE	284	NULL	NULL
CARGO 8 TON 4X4 XM520(GOER)	284	1990	1990
CARGO SHIP ATTACK-AKA	1221	1989	2000
CARGO SHIP LIGHT-AKL	1256	1989	2003
CARGO SHIP LKA117	1220	1990	2002
CARGO SHIP-AK	1255	1989	2003
CARGO UTILITY 1/2 TON 4X2	1582	1991	1991
CARRIER ACFT NUCLEAR-CVAN	1185	1989	2012
CARRIER AIRCRAFT-CVA-59	1178	1989	2001
CARRIER AIRCRAFT-CVA-63	1179	1990	2003
CARRIER AIRCRAFT-CVA-67	1181	1990	2003
CARRIER AIRCRAFT-CVAN-68	1182	1994	2003
CARRIER ANTI-SUB SUPT-CVS	1173	1995	2003
CARRIER ATTACK-CVA-19	1176	1989	1991
CARRIER ATTACK-CVA-41	1177	1989	1996
CARRIER CARGO M548	209	1990	1993
CARRIER CVV	1174	1990	2003
CARRIER FT CHAPARRAL XM73	213	NULL	NULL
CARRIER FT CHAPARRAL XM730	213	NULL	NULL
CARRIER GM901 ITV	216	1990	1993
CARRIER M113 MODS	1929	1994	2012
CARRIER M113-TOW	215	1990	1993
CARRIER VULCAN SP XM-741	212	1990	1993
CAS	1601	1991	1991
CASS	1012	1992	2003
CAUSEWAY FERRIES	588	1999	2002
CAVALRY FIGHTING VEHICLE	201	1991	1993
CBDP 	1344	2000	NULL
CBT FEEDING CLOTHING & EQ	590	NULL	NULL
CBT FEEDING CLOTHING & EQUIP	590	1998	2002
CBU-3 DISPENSER + BOMB	373	1991	1991
CBU-7 DISPENSER + BOMB	374	1991	1992
CBU-89 TMD/GATOR	1599	1991	1994
CCIC2S	1989	2011	NULL
CCPDS - REPLACE PROG/NORA	1744	NULL	NULL
CCPDS - REPLACE PROG/NORAD	1744	1990	1998
CDL 	1341	2008	NULL
CDMS	1636	1991	1991
CEC 	1843	2004	NULL
CG(X) 	653	2006	NULL
CG-47 	55	2008	NULL
CG-47 AEGIS	866	1990	NULL
CGM/HGM-16 ATLAS	1522	1990	1996
CGN-38 	14	2007	NULL
CGS 	1816	2004	NULL
CH-34 CHOCTAW	1459	1990	1991
CH-46 SEA KNIGHT	98	1990	2010
CH-47 CHINOOK	99	1990	2012
CH-47D 	15	2004	NULL
CH-47F	683	2004	NULL
CH-47F BLOCK II	2198	2018	NULL
CH-53 SEA STALLION	760	1989	2010
CH-54 TARHE	105	1990	1993
CHAALS	449	2002	2003
CHAFF DECOY WARHEADS	847	1990	1996
CHASSIS CARRIER XM-730	210	1992	1992
CHCS II	1958	2004	NULL
CHEM AGENT DETECTOR NETWO	605	NULL	NULL
CHEM AGENT DETECTOR NETWORK	605	1994	2003
CHEM DEMIL-ACWA 	654	2007	NULL
CHEM DEMIL-CMA 	690	2002	NULL
CHEYENNE 	17	2008	2013
CHEYENNE MOUNTAIN UPGRADE	1649	1991	2000
CHI BOAT	589	1996	2004
CIRCM	2180	2017	NULL
CIS (MK XV IFF) 	672	2006	2009
CITS	1993	2008	NULL
CLEANER RUNWAY/STREET	1557	1990	1998
CLOSE COMBAT TACTICAL TRA	608	NULL	NULL
CLOSE COMBAT TACTICAL TRAINER	608	1996	1998
CMM	1980	2012	NULL
CMND SHIP TACTICAL FLEET-	1249	NULL	NULL
CMND SHIP TACTICAL FLEET-AGF	1249	1990	2003
CMU 	1814	2009	NULL
CNA	1915	NULL	NULL
CNG	1917	NULL	NULL
CNN	2067	NULL	NULL
CNQ	1919	NULL	NULL
CNR	2068	NULL	NULL
CNS	2069	NULL	NULL
CNT	1920	NULL	NULL
CNU	2070	NULL	NULL
CNY	2071	NULL	NULL
CNZ	2072	NULL	NULL
COBRA DANE	1737	1990	2002
COBRA JUDY	1739	1991	2003
COBRA JUDY REPLACEMENT 	1359	2004	NULL
COLL PROT EQUIP, TEMPER T	606	NULL	NULL
COLL PROT EQUIP, TEMPER TENT	606	1995	2010
COMANCHE 	661	2003	NULL
COMBAT ENGINEER FT T118 M	199	NULL	NULL
COMBAT ENGINEER FT T118 M728	199	1991	1993
COMBAT GRANDE	1632	1992	1992
COMBAT SUPPORT TRAINING S	490	NULL	NULL
COMBAT SUPPORT TRAINING SYSTEM	490	1995	2003
COMM RLY SHIP (MAJOR)-AGM	1258	NULL	NULL
COMM RLY SHIP (MAJOR)-AGMR	1258	1991	1991
COMMANCHE	118	1998	2003
COMMAND POST M577	211	1990	1993
COMMAND SHIP-CC	1248	1990	2003
COMMON GROUND EQUIPMENT	591	1995	2003
COMPASS EARS	1730	1990	1995
CONDOR 	1315	2006	NULL
CONTAINER EXPANDABLE SHEL	1767	NULL	NULL
CONTAINER EXPANDABLE SHELTER	1767	1990	1999
CONTAINER HANDL SD LOADER	275	1990	1993
CONTAINERIZED KITCHEN	592	1997	2003
Copperhead	393	1972	NULL
CORPS SAM	165	1996	2003
CORPS/THEATER ADP SVC CTR	542	2003	2003
CRANE 5 TON 3/8 CU YD	219	1992	2002
CRANE 750 TON	1560	1992	1999
CRANE HYDRAULIC 25 TON (C	221	NULL	NULL
CRANE HYDRAULIC 25 TON (CCE)	221	1990	2003
CRANE RT SP 7 1/21	886	1992	2001
CRANE WHEEL MTD 20T 3/4 C	220	NULL	NULL
CRANE WHEEL MTD 20T 3/4 CU YD	220	1990	2003
CRASH P-10	1579	1991	1992
CRASH P-2	1566	1990	1991
CRASH P-4	1567	1991	1991
CRAWLER T-11 W/RIPPER CCE	253	1990	2001
CRU-99A OBOGS OXYGEN MONI	1164	NULL	NULL
CRU-99A OBOGS OXYGEN MONITOR	1164	1998	1999
CRUISER GD MSL NUCLEAR-CG	1169	NULL	NULL
CRUISER GD MSL NUCLEAR-CGN	1169	1989	2003
CRUISER GUIDED MISSILE-CG	1168	1989	2004
CRUISER HEAVY-CA	1170	1990	1990
CRUISER LIGHT GD MISSILE-	1171	NULL	NULL
CRUISER LIGHT GD MISSILE-CLG	1171	1990	1991
CRUSADER 	1833	2007	2011
CSSCS CBT SRV SPPT CTRL S	462	NULL	NULL
CSSCS CBT SRV SPPT CTRL SYS	462	1998	2002
CV HELO (SH-60F) 	642	2007	NULL
CV-7 BUFFALO	129	1990	1992
CVN 21 	634	2004	NULL
CVN 68 	NULL	2004	NULL
CVN 71	1175	NULL	NULL
CVN 72	1172	1982	NULL
CVN 74	2207	1988	NULL
CVN 76	2209	1994	NULL
CVN-68 	1801	2006	NULL
CVN-69 	1802	2005	NULL
CVN-74	2207	NULL	NULL
CVN-76	2209	NULL	NULL
CX-2	1408	1990	2003
CX-3	1406	1990	2003
CX-4566 A/G CABLE ASSEMBL	406	NULL	NULL
CX-4566 A/G CABLE ASSEMBLY	406	1991	2002
DAD	2073	NULL	NULL
DADS	1994	2008	NULL
DAL	1926	NULL	NULL
DCAPES	1995	2007	NULL
DCD/DCW	1977	2004	2009
DCGS ARMY 	1381	2007	NULL
DCGS-N INC 2	2182	2017	NULL
DCS TRANSMISSION FACILITI	537	NULL	NULL
DCS TRANSMISSION FACILITIES	537	1990	2002
DD 963 	38	2012	NULL
DD(X) 	86	2004	NULL
DD-963	1187	NULL	NULL
DDG 51 	76	2001	NULL
DEAMS	1996	2008	2013
DECON APP PWR DR LT WT M1	607	NULL	NULL
DECON APP PWR DR LT WT M17	607	1997	2003
DEF ENVIR & RESTORA PRG (	611	NULL	NULL
DEF ENVIR & RESTORA PRG (DERP)	611	1995	2013
DEF MET SAT PROGRAM (DMSP	1746	NULL	NULL
DEF MET SAT PROGRAM (DMSP)	1746	1991	NULL
DEF METEOR SAT PROG	1517	1990	2012
DEF SATELLITE COMMS SYS	473	1998	2002
DEFENSE SUPPORT PROGRAM	1735	1991	2009
DEICING UNIT ACFT	1768	1992	1992
DELTA II BOOSTER PROGRAM	1520	1991	1991
DEMOLITION MUNITIONS ALL 	381	NULL	NULL
DEMOLITION MUNITIONS ALL TYPES	381	1996	2002
DERP	2016	2000	NULL
DESTROYER DD-819 USS HOLD	1198	NULL	NULL
DESTROYER DD-819 USS HOLDER	1198	1991	1992
DESTROYER DD-862 CLASS	1188	1991	1991
DESTROYER DD-931 CLASS	1189	1989	1992
DESTROYER DD-963 CLASS	1187	1989	2003
DESTROYER DD-993 CLASS	1194	1990	2003
DESTROYER DD-997 CLASS	1200	1989	2003
DESTROYER DDG-47 AEGIS	1186	1989	2012
DESTROYER DDG-51	1203	1990	2013
DESTROYER DE 1101	1192	1990	1991
DESTROYER GD MSL DDG-2 CL	1191	NULL	NULL
DESTROYER GD MSL DDG-2 CLASS	1191	1989	2011
DESTROYER GD MSL MODULE-D	1193	NULL	NULL
DESTROYER GD MSL MODULE-DXG	1193	1991	2000
DESTROYER RADAR PICKET-DD	1196	NULL	NULL
DESTROYER RADAR PICKET-DDR	1196	1990	1998
DGTL TOPOGRAPHIC SPPT SYS	469	NULL	NULL
DGTL TOPOGRAPHIC SPPT SYS DTSS	469	1994	2011
DIAMOND	996	1992	1992
DIGITAL COMPUTER 152-MOD-	1013	NULL	NULL
DIGITAL COMPUTER 152-MOD-O	1013	1990	1993
DIMHRS	1967	2004	NULL
DISTRIBUTION CENTER SECON	1769	NULL	NULL
DISTRIBUTION CENTER SECONDARY	1769	1991	1999
DIVAD	18	1977	NULL
DJAS	1951	2005	2010
DJC2	1982	2004	NULL
DJM	1930	NULL	NULL
DJN	1931	NULL	NULL
DKE	1932	NULL	NULL
DLS	1968	2004	NULL
DMLSS	1959	2004	2012
DMMIS	1633	1991	1997
DMS	1960	2004	NULL
DMSP 	617	2004	NULL
DNC	2074	NULL	NULL
DOCK AMPHIB TRANSPORT-LPD	1222	1989	2011
DPH	2075	NULL	NULL
DPPS	1950	2004	NULL
DRAGON 	1799	2010	2010
DRAMA	421	1990	1991
DSCS II 	1794	2007	2007
DSCS III 	19	2008	2012
DSCS-3 DEF STAT COMM SYS	1641	1990	2003
DSP 	NULL	2007	2012
DSSCS DEF SPEC SECUR COM 	1736	NULL	NULL
DSSCS DEF SPEC SECUR COM SYS	1736	1992	1992
DTS	1970	2002	NULL
DUMP 20T CE	277	1990	1993
DUMP 5 TON M51A2	890	1990	1998
E-1 TRACER	731	1991	1994
E-10 	1371	2004	2011
E-2 HAWKEYE	732	1989	2002
E-2C 	1387	2006	NULL
E-2C ADVANCED HAWKEYE 	1358	2004	NULL
E-2C REPRODUCTION 	681	2004	NULL
E-3A 	4	1990	2013
E-4 (AABNCP) 	21	2006	NULL
E-5	1434	1990	1993
E-6A (TACAMO) 	620	1991	2011
EA-18G 	1372	2004	NULL
EA-3	733	1990	2003
EA-6B 	619	2006	NULL
EA-6B PROWLER	734	1988	2011
EASTERN TEST RANGE	1733	1990	2003
EB-66 ACFT (DESTROYER)	713	1991	1991
EBA	2076	NULL	NULL
EBE	1933	NULL	NULL
EBJ	2077	NULL	NULL
EBU	2078	NULL	NULL
ECHELON ABOVE CORPS COMMS	474	1994	1996
ECSS 	632	2006	2008
EDK	2079	NULL	NULL
EELV 	72	2004	NULL
EF-111A 	5	2007	NULL
EFV (AAAV) 	1812	2003	NULL
EH-1H ELECTRONIC	103	1991	1993
ELECTRONIC DECEPTION SYST	543	NULL	NULL
ELECTRONIC DECEPTION SYSTEM	543	2002	2003
ELECTRONICS ALL SOURCE AN	1940	NULL	NULL
ELECTRONICS ALL SOURCE ANALYSIS SYS	1940	2000	2012
EMSP 	1873	2010	2010
ENGINE GAS TURB AN/32 85-	1761	NULL	NULL
ENGINE GAS TURB AN/32 85-180	1761	1990	2003
ENGINE TEST STAND	1770	1990	2000
ENVIR PROTECT AGENCY SUPE	613	NULL	NULL
ENVIR PROTECT AGENCY SUPERFUND	613	1995	2013
E-O BOMB GUIDANCE KIT	1591	1991	1991
EPA SUPERFUND	2021	2000	NULL
ERINT	437	1991	1997
ERM	663	NULL	NULL
ES-3A VIKING	801	2000	2003
ESGN TEST EQUIP	1683	1991	1994
ESS-DIGIT EURO BACK COMMU	1645	NULL	NULL
ESS-DIGIT EURO BACK COMMUN SYS	1645	1990	1993
EVOLVED EXPENDABLE LV PRO	1521	NULL	NULL
EVOLVED EXPENDABLE LV PROGRAM	1521	2000	2001
EX-41 VLS COVER VERT LNCH	1153	NULL	NULL
EX-41 VLS COVER VERT LNCH PAD	1153	1991	1991
EXCALIBUR	1360	2005	NULL
F/A-18	2212	1974	NULL
F/A-18 E/F 	1828	2004	NULL
F/A-18A/B/C/D 	25	2006	NULL
F/A-22 	671	2003	NULL
F-1 FURY	735	1988	1998
F-10 SKY KNIGHT	741	1991	1994
F-100 Engine	1507	1990	2013
F-100 SUPER SABRE	1893	1990	2011
F-100 UPGRADE	1509	1991	NULL
F-101	1505	1990	2010
F-101 VOODO	742	1993	1994
F-101 VOODOO	1443	1990	2003
F-102 DELTA DAGGER	1451	1990	1996
F-103	1506	1991	1999
F-104 STARFIGHTER	1444	1990	2002
F-105 THUNDERCHIEF	1445	1991	1995
F-106 DELTA DART	1446	1990	2002
F-108	1508	1990	2003
F-110	1504	1990	2010
F-111	1447	1990	2012
F-111 TFX	743	1993	2000
F-111A/D/E/F 	1319	2008	2008
F-117 STEALTH	1453	1995	2008
F-12	1438	1990	2002
F-14 BLOCK 1 STRIKE	2213	NULL	NULL
F-14 TOMCAT	744	1988	2002
F-14/LANTIRN	2213	NULL	NULL
F-14D 	22	2009	NULL
F-15 	23	1965	NULL
F-15 EAGLE	1892	1990	2013
F-16 	24	1972	NULL
F-16 FALCON	1894	1990	NULL
F-17	1442	NULL	NULL
F-18 HORNET	746	1988	NULL
F-22 Raptor	1436	1990	NULL
F-4 PHANTOM	736	1989	2003
F-4 PHANTOM II	1891	1990	2013
F404-GE-400 OR 402	811	1998	2013
F404-RR-408 ENGINE	807	1997	2003
F405-RR-401 ENGINE	806	1997	2003
F414-GE-400	812	1998	2013
F-5 FREEDOM FIGHTER	738	1990	2011
F-5E 	1320	2007	NULL
F-6 SKYRAY	737	1993	2002
F-8 CRUSADER	739	1990	2000
F-80 SHOOTING STAR	1448	1990	1998
F-86 SABRE	1449	1990	2001
F-89 SCORPION	1450	1990	1999
F-9 COUGAR	740	1990	1995
FAAD C2I(ATCCS) 	1841	2004	NULL
FAADS C21 (SHORAD)	151	1990	2011
FAADS LOS-R (DIVAD)	316	NULL	NULL
FAB-T 	88	2008	NULL
