CSISbudgetLineKey,AccountDSI,DefenseOrganization,BudgetActivity,BudgetSubActivity,LineItem,ProgramElement,CSISbudgetLineTitle,IsLineItemAlsoLineNumber,CSIScreateddate,CSISmodifiedDate,CSISmodifiedBy
PROC~1810N~NAVY~3~3~4248,1810N,NAVY,3,3,4248,NULL,Legacy Airborne MCM,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~3~3~4250,1810N,NAVY,3,3,4250,NULL,Lamps Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~3~3~4255,1810N,NAVY,3,3,4255,NULL,Lamps MK III Shipboard Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~3~3~4256,1810N,NAVY,3,3,4256,NULL,REWSON PHOTOGRAPHIC EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~3~3~4264,1810N,NAVY,3,3,4264,NULL,Portable Electronic Maintenance Aids,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~3~3~4265,1810N,NAVY,3,3,4265,NULL,Other Aviation Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~3~3~4267,1810N,NAVY,3,3,4267,NULL,Autonomic Logistics Information System (ALIS),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~3~3~4268,1810N,NAVY,3,3,4268,NULL,Aviation Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~3~3~4269,1810N,NAVY,3,3,4269,NULL,UMCS-Unman Carrier Aviation(UCA)Mission Cntrl,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~2~5110,1810N,NAVY,4,2,5110,NULL,GUN FIRE CONTROL EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~2~5111,1810N,NAVY,4,2,5111,NULL,Ship Gun Systems Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~2~5112,1810N,NAVY,4,2,5112,NULL,Naval Fires Control System,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~2~5209,1810N,NAVY,4,2,5209,NULL,Gun Fire Control Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5208,1810N,NAVY,4,3,5208,NULL,MK-92 FIRE CONTROL SYSTEM,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~3~5227,1810N,NAVY,4,3,5227,NULL,Harpoon Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5231,1810N,NAVY,4,3,5231,NULL,Ship Missile Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5233,1810N,NAVY,4,3,5233,NULL,TARTAR SUPPORT EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~3~5234,1810N,NAVY,4,3,5234,NULL,POINT DEFENSE SUPPORT EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~3~5237,1810N,NAVY,4,3,5237,NULL,NATO Seasparrow,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5238,1810N,NAVY,4,3,5238,NULL,RAM GMLS,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5239,1810N,NAVY,4,3,5239,NULL,Ship Self Defense System,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5246,1810N,NAVY,4,3,5246,NULL,AEGIS Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5250,1810N,NAVY,4,3,5250,NULL,SURFACE TOMAHAWK SUPPORT EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~3~5253,1810N,NAVY,4,3,5253,NULL,Tomahawk Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5255,1810N,NAVY,4,3,5255,NULL,SUBMARINE TOMAHAWK SUPPORT EQUIP,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~3~5260,1810N,NAVY,4,3,5260,NULL,Vertical Launch Systems,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~3~5265,1810N,NAVY,4,3,5265,NULL,Maritime Integrated Planning System-MIPS,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~4~5355,1810N,NAVY,4,4,5355,NULL,STRATEGIC PLATFORM SUPPORT EQUIP,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~4~5358,1810N,NAVY,4,4,5358,NULL,Strategic Missile Systems Equip,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~4~5530,1810N,NAVY,4,4,5530,NULL,ANTI-SHIP MISSILE DECOY SYSTEM,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~5~5420,1810N,NAVY,4,5,5420,NULL,SSN Combat Control Systems,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~5~5429,1810N,NAVY,4,5,5429,NULL,ASW Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~5~5431,1810N,NAVY,4,5,5431,NULL,Submarine ASW Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~5~5449,1810N,NAVY,4,5,5449,NULL,Surface ASW Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~5~5455,1810N,NAVY,4,5,5455,NULL,ASW Range Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~6~5509,1810N,NAVY,4,6,5509,NULL,Explosive Ordnance Disposal Equip,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~6~5518,1810N,NAVY,4,6,5518,NULL,UNMANNED SEABORNE TARGET,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~6~5542,1810N,NAVY,4,6,5542,NULL,INDUSTRIAL FACILITIES (CALIBRATION EQUIPMENT),NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~6~5543,1810N,NAVY,4,6,5543,NULL,Items Less Than $5 Million,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~6~5545,1810N,NAVY,4,6,5545,NULL,STOCK SURVEILLANCE EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~7~5530,1810N,NAVY,4,7,5530,NULL,Anti-Ship Missile Decoy System,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~7~5635,1810N,NAVY,4,7,5635,NULL,FLEET MINE SUPPORT EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~4~7~5660,1810N,NAVY,4,7,5660,NULL,Surface Training Device Mods,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~7~5661,1810N,NAVY,4,7,5661,NULL,Submarine Training Device Mods,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~7~5662,1810N,NAVY,4,7,5662,NULL,Training Device Mods,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~4~7~5664,1810N,NAVY,4,7,5664,NULL,Surface Training Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6002,1810N,NAVY,5,1,6002,NULL,ARMORED SEDANS,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~5~1~6003,1810N,NAVY,5,1,6003,NULL,Passenger Carrying Vehicles,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6005,1810N,NAVY,5,1,6005,NULL,SPECIAL PURPOSE VEHICLES,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~5~1~6007,1810N,NAVY,5,1,6007,NULL,General Purpose Trucks,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6024,1810N,NAVY,5,1,6024,NULL,Construction & Maintenance Equip,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6027,1810N,NAVY,5,1,6027,NULL,Fire Fighting Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6028,1810N,NAVY,5,1,6028,NULL,Tactical Vehicles,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6033,1810N,NAVY,5,1,6033,NULL,Amphibious Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6036,1810N,NAVY,5,1,6036,NULL,COMBAT CONSTRUCTION SUPPORT EQUIP,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~5~1~6045,1810N,NAVY,5,1,6045,NULL,MOBILE UTILITIES SUPPORT EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~5~1~6048,1810N,NAVY,5,1,6048,NULL,COLLATERAL EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~5~1~6051,1810N,NAVY,5,1,6051,NULL,DRUG INTERDICTION (BA 5),NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~5~1~6054,1810N,NAVY,5,1,6054,NULL,OCEAN CONSTRUCTION EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~5~1~6058,1810N,NAVY,5,1,6058,NULL,Pollution Control Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6060,1810N,NAVY,5,1,6060,NULL,Items Under $5 Million,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~5~1~6075,1810N,NAVY,5,1,6075,NULL,Physical Security Vehicles,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~6~1~7015,1810N,NAVY,6,1,7015,NULL,Materials Handling Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~6~1~7025,1810N,NAVY,6,1,7025,NULL,Supply Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~6~1~7050,1810N,NAVY,6,1,7050,NULL,Other Supply Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~6~1~7066,1810N,NAVY,6,1,7066,NULL,First Destination Transportation,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~6~1~7069,1810N,NAVY,6,1,7069,NULL,Special Purpose Supply Systems,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~1~8081,1810N,NAVY,7,1,8081,NULL,Training Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~1~8101,1810N,NAVY,7,1,8101,NULL,Training and Education Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8106,1810N,NAVY,7,2,8106,NULL,Command Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8108,1810N,NAVY,7,2,8108,NULL,Education Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8109,1810N,NAVY,7,2,8109,NULL,Medical Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8114,1810N,NAVY,7,2,8114,NULL,Naval MIP Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8115,1810N,NAVY,7,2,8115,NULL,Intelligence Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8118,1810N,NAVY,7,2,8118,NULL,Operating Forces Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8120,1810N,NAVY,7,2,8120,NULL,C4ISR Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8126,1810N,NAVY,7,2,8126,NULL,Environmental Support Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8128,1810N,NAVY,7,2,8128,NULL,Physical Security Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~2~8161,1810N,NAVY,7,2,8161,NULL,Enterprise Information Technology,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~4~8380,1810N,NAVY,7,4,8380,NULL,Judgment Fund Reimbursement,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~5~8150,1810N,NAVY,7,5,8150,NULL,Cancelled Account Adjustments,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~5~8151,1810N,NAVY,7,5,8151,NULL,CANCELLED ACCOUNT ADJUSTMENT (87),NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~7~5~8152,1810N,NAVY,7,5,8152,NULL,CANCELLED ACCOUNT ADJUSTMENT (88),NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~1810N~NAVY~7~5~8164,1810N,NAVY,7,5,8164,NULL,Next Generation Enterprise Service,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~5~8645,1810N,NAVY,7,5,8645,NULL,Cyberspace Activities,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~1810N~NAVY~7~99~9999999999,1810N,NAVY,7,99,9999999999,NULL,Classified Programs,0,2020-06-09 11:28:03.180,2020-06-30 10:08:30.947,Automatically marked as NoFYDPexpected byGSanders@csis.org
PROC~1810N~NAVY~8~1~9020,1810N,NAVY,8,1,9020,NULL,Spares and Repair Parts,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~0~0~,2031A,ARMY,0,0,,NULL,Less: Proposed Army Cancellation *,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~2031A~ARMY~1~10~1301A11301,2031A,ARMY,1,10,1301A11301,NULL,Saturn Arch (MIP),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~8485A11000,2031A,ARMY,1,10,8485A11000,NULL,Joint Cargo Aircraft (JCA),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9342A11500,2031A,ARMY,1,10,9342A11500,NULL,ARL (TIARA),NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~2031A~ARMY~1~10~9440A11300,2031A,ARMY,1,10,9440A11300,NULL,Utility F/W Aircraft,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9440A11301,2031A,ARMY,1,10,9440A11301,NULL,Saturn Arch (MIP),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9462A02700,2031A,ARMY,1,10,9462A02700,NULL,C-12 Cargo Airplane,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9662A02005,2031A,ARMY,1,10,9662A02005,NULL,AERIAL COMMON SENSOR (ACS) (MIP),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9670A00005,2031A,ARMY,1,10,9670A00005,NULL,MQ-1 UAV,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9672A00510,2031A,ARMY,1,10,9672A00510,NULL,Future UAS Family,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9675A00010,2031A,ARMY,1,10,9675A00010,NULL,RQ-11 (RAVEN),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~9680A00015,2031A,ARMY,1,10,9680A00015,NULL,BCT Unmanned Aerial Veh (UAVS) Incr 1,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~10~C012A0,2031A,ARMY,1,10,C012A0,NULL,C-12A,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~2031A~ARMY~1~20~0013A01310,2031A,ARMY,1,20,0013A01310,NULL,Tactical Unmanned Aircraft System (TUAS),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~3167A09999,2031A,ARMY,1,20,3167A09999,NULL,Spectrum Army Video,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~3872A04203,2031A,ARMY,1,20,3872A04203,NULL,ARMED RECONNAISSANCE HELICOPTER,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~2031A~ARMY~1~20~4742A05001,2031A,ARMY,1,20,4742A05001,NULL,"HELICOPTER, LIGHT UTILITY (LUH)",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~5757A05110,2031A,ARMY,1,20,5757A05110,NULL,AH-64 Block II/WRA,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~5757A05111,2031A,ARMY,1,20,5757A05111,NULL,AH-64 Apache Block IIIA Reman,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~5840A05133,2031A,ARMY,1,20,5840A05133,NULL,AH-64 Apache Block IIIB New Build,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~5871A05121,2031A,ARMY,1,20,5871A05121,NULL,AH-64 Block II/WRA,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~5902A08300,2031A,ARMY,1,20,5902A08300,NULL,COMANCHE,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~2031A~ARMY~1~20~6337A02345,2031A,ARMY,1,20,6337A02345,NULL,Kiowa Warrior WRA,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~6771AA0005,2031A,ARMY,1,20,6771AA0005,NULL,UH-60 Blackhawk M Model (MYP),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~6772AA0005,2031A,ARMY,1,20,6772AA0005,NULL,UH-60 Blackhawk M Model (MYP),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~6773A05009,2031A,ARMY,1,20,6773A05009,NULL,UH-60 Black Hawk L and V Models,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~6775A05101,2031A,ARMY,1,20,6775A05101,NULL,CH-47 Helicopter,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~6800A05008,2031A,ARMY,1,20,6800A05008,NULL,CH-47 HELICOPTER (MYP),NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~2031A~ARMY~1~20~7064A06500,2031A,ARMY,1,20,7064A06500,NULL,Helicopter New Training,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~7542AZ2199,2031A,ARMY,1,20,7542AZ2199,NULL,KIOWA WARRIOR Upgrade (OH-58 D)/WRA,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~1~20~9382AA0010,2031A,ARMY,1,20,9382AA0010,NULL,DRUG INTERDICTION,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~2031A~ARMY~1~20~9990A19900,2031A,ARMY,1,20,9990A19900,NULL,Spectrum Army SUAS,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~2~10~0023A01001,2031A,ARMY,2,10,0023A01001,NULL,MQ-1 Payload (MIP),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~2031A~ARMY~2~10~0028A02706,2031A,ARMY,2,10,0028A02706,NULL,Universal Ground Control Equipment (UAS),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
