ProjectID	ProjectName	ProjectPrettyName	ProjectAbbreviation	IsJointDevelopmentCaseStudy	CSISmodifiedDate	CSISmodifiedBy	IsPerformanceBasedLogistics	PlatformPortfolio	ObligatedAmount	MinOfFiscalYear	MaxOfFiscalYear	TopPlatformPortfolio	TopPlatformPortfolioObligatedAmount	TopParentID	TopParentIDObligatedAmount	Notes	IsUnknown	WasUncategorizedMissilesOrSpaceSystem	IsUninvestigated	IsRemotelyOperated	RANDID	IsParentProjectID	ParentProjectID	IDAID
377	HAND FRAG ALL TYPES	HAND FRAG ALL TYPES	1FLA	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	303301.0000	1992	1992	Ordnance and Missiles	303301.0000	NULL	303301.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
378	HAND GRENADES ALL TYPES	HAND GRENADES ALL TYPES	1FLE	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	14947714.0000	1996	2003	Ordnance and Missiles	5947007.0000	NULL	9907783.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
379	VOLCANO MINES	VOLCANO MINES	1FLI	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	3609636.0000	1995	2011	Ordnance and Missiles	1096436.0000	NULL	3317892.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
380	M18 AP MINE	M18 AP MINE	1FMJ	NULL	2016-04-25 21:22:55.1570000	CSIS\GSanders	NULL	Ordnance and Missiles	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
381	DEMOLITION MUNITIONS ALL 	DEMOLITION MUNITIONS ALL TYPES	1FMO	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Facilities and Construction	2329444.0000	1996	2002	Facilities and Construction	1176375.0000	NULL	1508646.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
382	M128 MINE DISPENSER	M128 MINE DISPENSER	1FMR	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	83242.0000	1991	1993	Ordnance and Missiles	55970.0000	NULL	83242.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
383	WIDE AREA MUNITION (WAM)	WIDE AREA MUNITION (WAM)	1FMX	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	192660202.3711	1995	2011	Ordnance and Missiles	39421569.0000	TEXTRON	182665412.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
384	MINE CLEARING LINE CHG MI	MINE CLEARING LINE CHG MICLIC	1FMY	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Land Vehicles	86711.0000	1994	1994	Land Vehicles	86711.0000	NULL	86711.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
385	1FNC	NULL	1FNC	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	1986000.0000	1993	1993	Ordnance and Missiles	1986000.0000	NULL	1986000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
386	M650 E5 8"	M650 E5 8"	1FPA	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	79000.0000	1991	1991	Ordnance and Missiles	79000.0000	OLIN	174000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
387	M731/M692 155MM	M731/M692 155MM	1FPC	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	2825677.0000	1991	1993	Ordnance and Missiles	1118538.0000	AMRON	2374538.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
388	155MM HE	155MM HE	1FPH	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	-1015582.0000	1993	1993	Ordnance and Missiles	-1015582.0000	NULL	-1015582.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
389	M485 155MM ILLUM PROJ	M485 155MM ILLUM PROJ	1FPM	NULL	2016-04-25 21:22:55.1570000	CSIS\GSanders	NULL	Ordnance and Missiles	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
390	XM454 PROJ	XM454 PROJ	1FPU	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	-536000.0000	1991	1991	Ordnance and Missiles	-536000.0000	NULL	-536000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
391	M735 PROJECTILE	M735 PROJECTILE	1FPV	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	-26000.0000	1991	1991	Ordnance and Missiles	-26000.0000	NULL	-26000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
392	M718/M741 ISS MM AT	M718/M741 ISS MM AT	1FPX	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	12200761.0000	1991	1993	Ordnance and Missiles	4653423.0000	NULL	8642440.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
393	M712 155MM	M712 155MM	1FPY	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	-1050000.0000	1991	1992	Ordnance and Missiles	-350000.0000	MARTIN MARIETTA	-1050000.0000	NULL	NULL	NULL	1	NULL	Copperhead	NULL	NULL	NULL
394	M737 PROJECTILE	M737 PROJECTILE	1FPZ	NULL	2016-04-25 21:22:55.1570000	CSIS\GSanders	NULL	Ordnance and Missiles	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
395	M483 155MM PROJECTILE	M483 155MM PROJECTILE	1FQA	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	16105002.0000	1991	1993	Ordnance and Missiles	11954000.0000	NULL	16105002.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
396	M509 8" DPICM	M509 8" DPICM	1FQB	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	9189178.0000	1991	1996	Ordnance and Missiles	4783000.0000	OLIN	8856117.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
397	M825 155MM SMOKE SCREENIN	M825 155MM SMOKE SCREENING	1FQD	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	1876713.0000	1991	1993	Ordnance and Missiles	2125000.0000	NULL	1876713.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
398	155MM ARTY ALL (EXCLG SAD	155MM ARTY ALL (EXCLG SADARM)	1FQG	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	83587975.7400	1994	2011	Ordnance and Missiles	27362251.0000	NULL	36354818.7400	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
399	AMMO COMPONENTS ALL TYPES	AMMO COMPONENTS ALL TYPES	1FVA	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	205486477.4058	1995	2010	Ordnance and Missiles	133596711.0000	Owen Corporation Systems Group	123858384.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
400	1FVC	NULL	1FVC	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	6384809.0000	1996	1997	Ordnance and Missiles	5238587.0000	NULL	6384809.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
401	1FVD	NULL	1FVD	NULL	2019-04-13 12:31:49.5400000	Automated Uncontroversial Platform Portfolio update byGSanders@csis.org	NULL	Ordnance and Missiles	661935.0000	2001	2001	NULL	661935.0000	NULL	661935.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
402	BUNKER DEFEATING MUNITION	BUNKER DEFEATING MUNITION BDM	1FVE	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	13610.0000	1997	2003	NULL	4851000.0000	LOCKHEED MARTIN	13610.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
403	SIGNALS ALL TYPES	SIGNALS ALL TYPES	1FVG	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	3472744.0000	1997	2003	Ordnance and Missiles	2927007.0000	NULL	3472744.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
404	SIMULATORS, ALL TYPES	SIMULATORS, ALL TYPES	1FVH	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	69733776.0000	1994	2003	Ordnance and Missiles	35735284.0000	CUBIC	39862802.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
405	MISCELLANEOUS AMMUNITION 	MISCELLANEOUS AMMUNITION ITEMS	1FVI	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	309717491.6299	1996	2011	Ordnance and Missiles	112992736.0000	NULL	195873113.0200	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
406	CX-4566 A/G CABLE ASSEMBL	CX-4566 A/G CABLE ASSEMBLY	1GAD	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	153014.0000	1991	2002	Electronics, Comms, & Sensors	52000.0000	NULL	101938.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
407	PP-1451/G ELEC POWER SUPP	PP-1451/G ELEC POWER SUPPLY	1GAH	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	32932.0000	1992	1992	Electronics, Comms, & Sensors	32932.0000	NULL	32932.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
408	AN/ASM-146 AIR COND SHELT	AN/ASM-146 AIR COND SHELTER	1GAI	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	2108117.0000	1991	1993	Electronics, Comms, & Sensors	1950117.0000	NULL	2108117.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
409	AN/ASM-147 AIR COND SHELT	AN/ASM-147 AIR COND SHELTER	1GAJ	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	1700726.0000	1990	1999	Electronics, Comms, & Sensors	673000.0000	NULL	1700726.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
410	AN/TSM-55 ELEC TEST EQUIP	AN/TSM-55 ELEC TEST EQUIP	1GAK	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	4268498.0000	1990	2002	Electronics, Comms, & Sensors	1589000.0000	NULL	2782457.0000		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
411	MULTI SYS TEST EQUIP (MTE	MULTI SYS TEST EQUIP (MTE)	1GAL	NULL	2019-08-21 01:37:02.2400000	Automated Uncontroversial Platform Portfolio update byGSanders@csis.org	NULL	NULL	8047973.0000	1991	2003	Other R&D and Knowledge Based	2955329.0000	NULL	4504111.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
412	LAND COMBAT SUPT SYS (LCS	LAND COMBAT SUPT SYS (LCS)	1GAM	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Facilities and Construction	8447250.0000	1990	2003	Facilities and Construction	6486635.0000	NULL	7019660.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
413	AN/USM-207 FREQ MEASUR SE	AN/USM-207 FREQ MEASUR SET	1GAN	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Facilities and Construction	91665.0000	1991	1995	Facilities and Construction	144665.0000	TRW [NORTHROP GRUMMAN]	144665.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
414	AN/TSW-7	AN/TSW-7	1GAR	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	-6914.0000	1991	1996	Electronics, Comms, & Sensors	36000.0000	NULL	36000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
415	AN/ALQ-133 QUICK LOOK	AN/ALQ-133 QUICK LOOK	1GAS	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	42017752.0000	1990	2000	Electronics, Comms, & Sensors	13696079.0000	NULL	30884763.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
416	AN/TLQ-17 COUNTERMEASURES	AN/TLQ-17 COUNTERMEASURES	1GAV	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	1631075.0000	1992	1992	Electronics, Comms, & Sensors	1631075.0000	NULL	1631075.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
417	AN/MSQ-103 TEAM PACK	AN/MSQ-103 TEAM PACK	1GAW	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	4957000.0000	1990	1990	Electronics, Comms, & Sensors	4957000.0000	NULL	4957000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
418	AN/ASM-189 AIR COND SHELT	AN/ASM-189 AIR COND SHELTER	1GAY	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	1127328.0000	1995	2003	Electronics, Comms, & Sensors	970733.0000	NULL	1127328.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
419	AN/PAQ-1 TGT DESIGNATE LA	AN/PAQ-1 TGT DESIGNATE LASER	1GAZ	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	12105234.0000	1990	1996	Ordnance and Missiles	9244000.0000	NULL	10810473.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
420	AN/GVS-5 RANGE FINDER LAS	AN/GVS-5 RANGE FINDER LASER	1GBA	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	1163243.0000	1990	1994	Electronics, Comms, & Sensors	460000.0000	NULL	934402.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
421	DRAMA	DRAMA	1GBC	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	1251000.0000	1990	1991	Electronics, Comms, & Sensors	1040000.0000	TRW [NORTHROP GRUMMAN]	1251000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
422	M-551 RANGE FINDER LASER	M-551 RANGE FINDER LASER	1GBI	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Land Vehicles	3739931.0000	1991	2002	Land Vehicles	1833000.0000	NULL	1906931.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
423	AN/DVG-2 RANGE FINDER LAS	AN/DVG-2 RANGE FINDER LASER	1GBJ	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	69120.0000	1991	1992	Electronics, Comms, & Sensors	41120.0000	NULL	69120.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
424	AN/TSC-61 FLIGHT COORD CN	AN/TSC-61 FLIGHT COORD CNTRL	1GBL	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	943146.0000	1990	2001	Electronics, Comms, & Sensors	315400.0000	NULL	913438.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
425	AUTO TEST SUPPORT SYS	AUTO TEST SUPPORT SYS	1GBM	NULL	2019-08-21 01:37:02.2400000	Automated Uncontroversial Platform Portfolio update byGSanders@csis.org	NULL	NULL	1735948.0000	1990	2003	Aircraft	392000.0000	NULL	807369.0000		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
426	AN/TSQ-73 AIR DEF MSL SYS	AN/TSQ-73 AIR DEF MSL SYS	1GBN	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	78729053.0000	1990	2003	Missile Defense	59669232.0000	COLSA	72892409.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
427	MX-9644 IMAGE INTENSIFIER	MX-9644 IMAGE INTENSIFIER	1GBP	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	375691.0000	1990	1999	Electronics, Comms, & Sensors	221652.0000	NULL	375691.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
428	AN/TVQ-2 LASER DESIGNATOR	AN/TVQ-2 LASER DESIGNATOR	1GBQ	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Facilities and Construction	3825153.0000	1993	2002	Facilities and Construction	3688786.0000	NULL	4340859.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
429	AN/MLQ-34 COUNTERMEASURES	AN/MLQ-34 COUNTERMEASURES	1GBR	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Land Vehicles	589182.0000	1991	2003	Land Vehicles	437557.0000	LORAL SPACE	437557.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
430	AN/GYK-29	AN/GYK-29	1GBS	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	12555457.0000	1990	1996	Electronics, Comms, & Sensors	10912000.0000	NULL	12660856.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
431	AN/ALQ-136 COUNTERMEASURE	AN/ALQ-136 COUNTERMEASURES	1GBU	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	20345858.0000	1990	2002	Electronics, Comms, & Sensors	11112000.0000	ITT	19372668.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
432	AN/ALQ-151 COUNTERMEASURE	AN/ALQ-151 COUNTERMEASURES	1GBV	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	1107856.0000	1990	1995	Electronics, Comms, & Sensors	586155.0000	NULL	1045856.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
433	AN/TYC-39 MESSAGE SWITCH	AN/TYC-39 MESSAGE SWITCH	1GBW	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	285230188.0000	1990	2003	Electronics, Comms, & Sensors	66542000.0000	GTE	255742061.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
434	AN/TTC-39 CIRCUIT SWITCH	AN/TTC-39 CIRCUIT SWITCH	1GBX	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	382234680.0000	1990	2009	Electronics, Comms, & Sensors	76567777.0000	GTE	185661460.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
435	AN/VVG-2 RANGE FINDER LAS	AN/VVG-2 RANGE FINDER LASER	1GBY	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	30000.0000	1991	1991	Electronics, Comms, & Sensors	30000.0000	NULL	30000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
436	AN/USM-410 TEST STATION	AN/USM-410 TEST STATION	1GCA	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	49680226.0000	1990	2003	Electronics, Comms, & Sensors	16909000.0000	GENERAL ELECTRIC	36098057.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
437	ERINT	ERINT	1GCD	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Missile Defense	2940261.0000	1991	1997	NULL	1120000.0000	NULL	2377261.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
438	AN/ALQ-147 COUNTERMEASURE	AN/ALQ-147 COUNTERMEASURES	1GCF	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	1169865.0000	1999	2001	Missile Defense	935184.0000	PREMIER PROFESSIONAL SYSTEMS I	935184.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
439	ALL SOURCE ANALYSIS SYS	ALL SOURCE ANALYSIS SYS	1GCG	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	133301101.0000	1994	2003	Electronics, Comms, & Sensors	31148862.0000	LOCKHEED MARTIN	117550511.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
440	GUARDRAIL COMMON SENSOR	GUARDRAIL COMMON SENSOR	1GCH	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	38254658.6455	1997	2016	Electronics, Comms, & Sensors	33445345.0000	TRW [NORTHROP GRUMMAN]	28607487.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
441	TEAMMATE	TEAMMATE	1GCI	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	14060.0000	2003	2003	Electronics, Comms, & Sensors	14060.0000	NULL	14060.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
442	AN/USC-3 COMMUNICATIONS S	AN/USC-3 COMMUNICATIONS SYS	1GDA	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	39384204.0000	1990	1993	Electronics, Comms, & Sensors	24270864.0000	NULL	38680949.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
443	1GDC	NULL	1GDC	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	13257063.0000	1993	1993	Electronics, Comms, & Sensors	13257063.0000	NULL	13257063.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
444	AN/TSQ-43 INTERPRETATION 	AN/TSQ-43 INTERPRETATION FAC	1GDE	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ships & Submarines	520727.0000	1992	2003	Ships & Submarines	287647.0000	NULL	409305.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
445	AN/VRC-67 RADIO TERMINAL	AN/VRC-67 RADIO TERMINAL	1GDF	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	2174825.0000	1991	2003	Electronics, Comms, & Sensors	1235520.0000	MOTOROLA	1329180.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
446	TA-312/PT FIELD TELEPHONE	TA-312/PT FIELD TELEPHONE	1GDG	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	15779145.0000	1991	1999	Electronics, Comms, & Sensors	14139554.0000	BELL ATLANTIC	14052000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
447	AN/TSQ-71 LND CNTRL CENTR	AN/TSQ-71 LND CNTRL CENTRAL	1GDH	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	1059308.0000	1992	1992	Electronics, Comms, & Sensors	1059308.0000	ITT	1059308.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
448	AN/TSC-75 COMM CENTRAL	AN/TSC-75 COMM CENTRAL	1GDL	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	2868357.0000	1991	2001	Electronics, Comms, & Sensors	2884493.0000	GENERAL ELECTRIC	2884493.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
449	CHAALS	CHAALS	1GDM	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	9229426.0000	2002	2003	Electronics, Comms, & Sensors	5577126.0000	LOCKHEED MARTIN	9229426.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
450	AN/ASC-15 COMM CENTRAL	AN/ASC-15 COMM CENTRAL	1GDP	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	11199060.0000	1990	1993	Electronics, Comms, & Sensors	9565705.0000	ROCKWELL	11168448.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
451	AN/TSQ-84 (AACOMS)	AN/TSQ-84 (AACOMS)	1GDQ	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	-66000.0000	1990	1990	Electronics, Comms, & Sensors	-66000.0000	NULL	-66000.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
