vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
ABW	ARUBA	1	ABW	ARUBA [NETHERLANDS]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BHS	BAHAMAS, THE	1	BHS	BAHAMAS,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BMU	BERMUDA	1	BMU	BERMUDA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CIV	COTE D'IVOIRE	1	CIV	COTE DIVOIRE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COD	CONGO (KINSHASA)	1	COD	CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COG	CONGO (BRAZZAVILLE)	1	COG	CONGO,REPUBLIC OF THE (BRAZZAVILLE)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CPV	CABO VERDE	1	CPV	CAPE VERDE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUW	CURACAO	1	CUW	Curaçao	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CYM	CAYMAN ISLANDS	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GIB	GIBRALTAR	1	GIB	GIBRALTAR [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GMB	GAMBIA, THE	1	GMB	GAMBIA,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GRL	GREENLAND	1	GRL	GREENLAND [DENMARK]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IMN	ISLE OF MAN	1	IMN	MAN,ISLE OF	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KOR	KOREA, SOUTH	1	KOR	SOUTH KOREA	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MMR	BURMA	1	MMR	BURMA (MYANMAR)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SSD	SOUTH SUDAN	1	SSD	REPUBLIC OF SOUTH SUDAN	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SUR	SURINAME	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VGB	VIRGIN ISLANDS, BRITISH	1	VGB	BRITISH VIRGIN ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode



Warning: Null value is eliminated by an aggregate or other SET operation.
idvagencyid	MaxOfNewFKparent_award_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
333176	SMITHSONIAN INSTITUTION LIBRARIES AND ARCHIVES	1	SMITHSONIAN INSTITUTION LIBRARIES	0	Office.ContractingOfficeCode
333177	SI SCHOLARLY PRESS	1	SMITHSONIAN INSTITUTION	0	Office.ContractingOfficeCode
333179	NATIONAL MUSEUM OF AFRICAN AMERICAN HISTORY AND CULTURE	1	NATIONAL MUSEUM OF AFRICAN	0	Office.ContractingOfficeCode
333184	OFFICE OF THE CHIEF OPERATING OFFICER	1	OFFICE OF THE CHIEF OPERATING OFCR	0	Office.ContractingOfficeCode
333195	OFC UNDER SECRETARY FOR SCIENCE AND RESEARCH	1	OFFICE OF THE UNDERSECRETARY	0	Office.ContractingOfficeCode
333196	SMITHSONIAN SCIENCE EDUCATION CENTER	1	NATIONAL SCIENCE RESOURCE CENTER	0	Office.ContractingOfficeCode
333212	NATIONAL MUSEUM OF THE AMERICAN INDIAN - CULTURAL RESOURCES CENTER	1	NATIONAL MUSEUM OF THE AMERICAN	0	Office.ContractingOfficeCode
333304	OFFICE OF THE CHIEF FINANCIAL OFFICER	1	OFFICE OF THE CHIEF FINANCIAL OFFIC	0	Office.ContractingOfficeCode
333305	SMITHSONIAN TROPICAL RESEARCH INSTITUTE	1	SMITHSONIAN TROPICAL RESEARCH INSTI	0	Office.ContractingOfficeCode
36A776	PCAC ACTIVATIONS (36A776)	1	DEPT OF VETERANS AFFIARS (3600)	0	Office.ContractingOfficeCode
36B301	BOSTON REG BENEFIT OFFICE (36B301)	1	DEPT OF VETERANS AFFAIRS (3600)	0	Office.ContractingOfficeCode
36B304	PROVIDENCE REG BENEFIT OFF (36B304)	1	DEPT OF VETERANS AFFAIRS (3600)	0	Office.ContractingOfficeCode
36C10A	TECHNOLOGY ACQUISITION CENTER AUSTIN (36C10A)	1	TECHNOLOGY ACQUISITION CENTER	0	Office.ContractingOfficeCode
36C10B	TECHNOLOGY ACQUISITION CENTER NJ (36C10B)	1	TECHNOLOGY ACQUISITION CENTER	0	Office.ContractingOfficeCode
36C10C	ACQUISITION BUSINESS SERVICE (36C10C)	1	ACQUISITION BUSINESS SERVICE	0	Office.ContractingOfficeCode
36C10D	VETERANS BENEFITS ADMIN (36C10D)	1	VETERANS BENEFITS ADMIN (0010D)	0	Office.ContractingOfficeCode
36C10E	VBA FIELD CONTRACTING (36C10E)	1	VBA FIELD CONTRACTING (0010E)	0	Office.ContractingOfficeCode
36C10F	OFFICE OF CONSTRUCTION&FACILITIES MGMT (36C10F)	2	OFC OF CONSTRUCT  FAC MGMT (0010F)	0	Office.ContractingOfficeCode
36C10G	STRATEGIC ACQUISITION CENTER FREDERICKSBURG (36C10G)	1	STRATEGIC ACQUISITION CENTER	0	Office.ContractingOfficeCode
36C10H	03 OFFICE OF ADMIN (03)(36C10H)	1	03 OFFICE OF ADMIN (03)(0010H)	0	Office.ContractingOfficeCode
36C10M	OFFICE OF INSPECTOR GENERAL OIG (36C10M)	1	50/OIG OFC OF INSPEC GENRL (0010M)	0	Office.ContractingOfficeCode
36C10X	SAC FREDERICK (36C10X)	1	ACQUISITION CENTER - F	0	Office.ContractingOfficeCode
36C240	VHA CHIEF LOGISTICS OFFICE (36C240)	1	VHA CLO (00240)	0	Office.ContractingOfficeCode
36C241	241-NETWORK CONTRACT OFFICE 01 (36C241)	1	241-NETWORK CONTRACT OFC 01(00241)	0	Office.ContractingOfficeCode
36C242	242-NETWORK CONTRACT OFFICE 02 (36C242)	1	242-NETWORK CONTRACT OFC 02(00242)	0	Office.ContractingOfficeCode
36C243	243-NTWRK CNTNG&FUND OFC 03(00243	1	243-NTWRK CNTNG  FUND OFC 03(00243	0	Office.ContractingOfficeCode
36C244	244-NETWORK CONTRACT OFFICE 4 (36C244)	1	244-NETWORK CONTRACT OFC 4 (00244)	0	Office.ContractingOfficeCode
36C245	245-NETWORK CONTRACT OFFICE 5 (36C245)	1	245-NETWORK CONTRACT OFC 5(00245)	0	Office.ContractingOfficeCode
36C246	246-NETWORK CONTRACTING OFFICE 6 (36C246)	1	246-NETWORK CONTRACTING  FUNDING	0	Office.ContractingOfficeCode
36C247	247-NETWORK CONTRACT OFFICE 7 (36C247)	1	247-NETWORK CONTRACT OFC 7(00247)	0	Office.ContractingOfficeCode
36C248	248-NETWORK CONTRACT OFFICE 8 (36C248)	1	248-NETWORK CONTRACT OFC 8(00248)	0	Office.ContractingOfficeCode
36C249	249-NETWORK CONTRACT OFFICE 9 (36C249)	1	249-NETWORK CONTRACT OFC 9(00249)	0	Office.ContractingOfficeCode
36C24C	RPO CENTRAL (36C24C)	1	SAO CENTRAL (00240C)	0	Office.ContractingOfficeCode
36C24E	RPO EAST (36C24E)	1	SAO EAST (00240E)	0	Office.ContractingOfficeCode
36C24W	RPO WEST (36C24W)	1	SAO WEST (00240W)	0	Office.ContractingOfficeCode
36C250	250-NETWORK CONTRACT OFFICE 10 (36C250)	1	250-NETWORK CONTRACT OFC 10(00250)	0	Office.ContractingOfficeCode
36C252	252-NETWORK CONTRACT OFFICE 12 (36C252)	1	69D-NETWORK CONTRACT OFC 12(0069D)	0	Office.ContractingOfficeCode
36C255	255-NETWORK CONTRACT OFFICE 15 (36C255)	1	255-NETWORK CONTRACT OFC 15(00255)	0	Office.ContractingOfficeCode
36C256	256-NETWORK CONTRACT OFFICE 16 (36C256)	1	256-NETWORK CONTRACT OFC 16(00256)	0	Office.ContractingOfficeCode
36C257	257-NETWORK CONTRACT OFFICE 17 (36C257)	1	257-NETWORK CONTRACT OFC 17(00257)	0	Office.ContractingOfficeCode
36C258	258-NETWORK CNTRCT OFF 22G (36C258)	1	258-NETWORK CONTRACT OFC 18(00258)	0	Office.ContractingOfficeCode
36C259	NETWORK CONTRACT OFFICE 19 (36C259)	1	259-NETWORK CONTRACT OFC19(00259)	0	Office.ContractingOfficeCode
36C261	261-NETWORK CONTRACT OFFICE 21 (36C261)	1	261-NETWORK CONTRACT OFC21 (00261)	0	Office.ContractingOfficeCode
36C262	262-NETWORK CONTRACT OFFICE 22L (36C262)	1	262-NETWORK CONTRACT OFC 22(00262)	0	Office.ContractingOfficeCode
36C263	NETWORK CONTRACT OFFICE 23 (36C263)	1	263-NCO 23 CONSOLIDATE CONTR(00263)	0	Office.ContractingOfficeCode
36C565	565-FAYETTEVILLE (00565)(36565)	1	565-FAYETTEVILLE (00565)	0	Office.ContractingOfficeCode
36C590	HAMPTON 590 (36C590)	1	590-HAMPTON (00590)(36C590)	0	Office.ContractingOfficeCode
36C612	DEPT OF VET AFFAIRS MARTINEZ VAMC 00612	1	612-MARTINEZ (00612)	0	Office.ContractingOfficeCode
36C637	637-ASHEVILLE (00637)(36C637)	1	637-ASHEVILLE (00637)	0	Office.ContractingOfficeCode
36C650	VETERANS HEALTH ADMINISTRATION	1	650-PROVIDENCE (00650)(36C650)	1	Office.ContractingOfficeCode
36C730	MID ATLANTIC CPAC 36C730	1	CPAC FAYETTEVILLE (00730)	0	Office.ContractingOfficeCode
36C770	NATIONAL CMOP OFFICE (36C770)	1	NATIONAL CMOP OFFICE (NCO)(00770)	0	Office.ContractingOfficeCode
36C776	PCAC HEALTH INFORMATION (36C776)	1	PCAC HEALTH INFORMATION	0	Office.ContractingOfficeCode
36C786	NATIONAL CEMETERY ADMIN (36C786)	1	NATIONAL CEMETERY ADMIN (00786)	0	Office.ContractingOfficeCode
36C791	COMMODITIES&SERVICES ACQUISITION SERVICE (36C791)	2	DEPT OF VETERANS AFFAIRS (00791)	0	Office.ContractingOfficeCode
36C796	VA SERVICE DISTRIBUTION CENTER (00796)	1	DEPT OF VETERANS AFFAIRS (00796)	0	Office.ContractingOfficeCode
36C797	VA NATIONAL ACQUISITION CENTER (36C797)	1	DEPT OF VETERANS AFFAIRS (00797)	0	Office.ContractingOfficeCode
36E776	PCAC NATIONAL ENERGY BUSINESS CENTER (36E776)	1	PCAC NATIONAL ENERGY	0	Office.ContractingOfficeCode
36E797	NAC PHARMACEUTICALS (36E797)	1	DEPARTMENT OF VETERANS AFFAIRS	0	Office.ContractingOfficeCode
36F797	NAC FEDERAL SUPPLY SCHEDULE (36F797)	1	DEPARTMENT OF VETERANS AFFAIRS	0	Office.ContractingOfficeCode
36H797	NAC HIGH TECH CONTRACTING (36H797)	1	DEPARTMENT OF VETERANS AFFAIRS	0	Office.ContractingOfficeCode
36P797	NAC PHARMACEUTICALS 36P797	1	DEPARTMENT OF VETERANS AFFAIRS	0	Office.ContractingOfficeCode
36S797	NAC FACILITY PURCHASING SUPPORT (36S797)	1	DEPARTMENT OF VETERANS AFFAIRS	0	Office.ContractingOfficeCode
36W797	NAC PRIME VENDOR (36W797)	1	DEPARTMENT OF VETERANS AFFAIRS	0	Office.ContractingOfficeCode
453100	EQUAL EMPLOYMENT OPPORTUNITY COMM	1	OFFICE NAME UNKNOWN:CREATED FOR DOD MIGRATION 2005	0	Office.ContractingOfficeCode
47PC02	PBS R2 REPAIR AND ALTERATIONS BRANCH	1	PBS R2 OPERATIONS BRANCH B	1	Office.ContractingOfficeCode
47PC03	PBS R2 CAPITAL CONSTRUCTION BRANCH	1	PBS R2 OPERATIONS BRANCH C	1	Office.ContractingOfficeCode
47PC04	PBS R2 SIMPLIFIED ACQ BR GROUP 1	1	PBS R2	1	Office.ContractingOfficeCode
47PC05	PBS R2 SIMPLIFIED ACQ BR GROUP 2	1	PBS R2	1	Office.ContractingOfficeCode
47PC06	PBS R2 BUILDING SRVCS BR GROUP 1	1	PBS R2	1	Office.ContractingOfficeCode
47PC07	PBS R2 BUILDING SRVCS BR GROUP 2	1	PBS R2	0	Office.ContractingOfficeCode
47PC08	PBS R2	1	PBS R2 BUILDING SRVCS BR GROUP 3	1	Office.ContractingOfficeCode
47PE01	PBS R4 BLUE RIDGE WEST BRANCH	1	PBS R4 TENNESSEE/KENTUCKY CONTRACTS	1	Office.ContractingOfficeCode
47PE02	PBS R4 SOUTHERN BRANCH	1	PBS R4 GEORGIA CONTRACTS	1	Office.ContractingOfficeCode
47PE03	PBS R4 CAPITAL/AE BRANCH	1	PBS R4 CAPITAL CONTRACTS	1	Office.ContractingOfficeCode
47PE05	PBS R4 SPECIAL PROJECTS BRANCH	2	PBS R4 ALABAMA/MISSISSIPPI CONTRACT	1	Office.ContractingOfficeCode
47PH04	PBS R7 AQUISITION MANAGEMENT	1	PBS R7 - NON-PROSPECTUS	0	Office.ContractingOfficeCode
47PH09	PBS R7 AQUISITION MANAGEMENT	1	PBS R7 - NON-PROSPECTUS PROJECTS	0	Office.ContractingOfficeCode
47PK02	PBS R9 AMD SERVICES CONTRACTING BRANCH	1	PBS R9  ACQ MGMT  RECUR SVCS	0	Office.ContractingOfficeCode
47PM04	PBS NCR REPAIR&ALTERATION CTR 1	1	PBS NCR REPAIR  ALTERATION CTR 1	0	Office.ContractingOfficeCode
47PM05	PBS NCR REPAIR&ALTERATION CENTER2	1	PBS NCR REPAIR  ALTERATION CENTER2	0	Office.ContractingOfficeCode
47PM06	PBS NCR REPAIR&ALTERATION CTR 3	1	PBS NCR REPAIR  ALTERATION CTR 3	0	Office.ContractingOfficeCode
47PM07	PBS NCR OPER MAINTENANCE&CENTER 1	1	PBS NCR OPER MAINTENANCE  CENTER 1	0	Office.ContractingOfficeCode
47PM08	PBS NCR OPER MAINTENANCE&CENTER 2	1	PBS NCR OPER MAINTENANCE  CENTER 2	0	Office.ContractingOfficeCode
47PM09	PBS NCR OPER&MAINTENANCE CENTER 3	1	PBS NCR OPER  MAINTENANCE CENTER 3	0	Office.ContractingOfficeCode
47QSHA	GSA/FAS HEARTLAND ACQUISITION CENTE	1	FAS HEARTLAND REGIONAL ADMINISTRATO	0	Office.ContractingOfficeCode
47QTCB	GSA/FAS ITS STRATEGIC SOLUTIONS CON	2	GSA/FAS IT SERVICES ACQ OPERATIONS	0	Office.ContractingOfficeCode
490002	OFFICE OF THE INSPECTOR GENERAL	1	NATIONAL SCIENCE FOUNDATION	0	Office.ContractingOfficeCode
490100	OFFICE OF THE DIRECTOR	1	NATIONAL SCIENCE FOUNDATION	0	Office.ContractingOfficeCode
490101	OFFICE OF THE GENERAL COUNSEL	1	NATIONAL SCIENCE FOUNDATION	0	Office.ContractingOfficeCode
490106	OFFICE OF INTEGRATIVE ACTIVITIES	1	NATIONAL SCIENCE FOUNDATION	0	Office.ContractingOfficeCode
490107	OFFICE OF DIVERSITY AND INCLUSION	1	NATIONAL SCIENCE FOUNDATION	0	Office.ContractingOfficeCode
490609	OFFICE OF POLAR PROGRAMS	1	DIVISION OF POLAR PROGRAMS	0	Office.ContractingOfficeCode
490703	DIV OF CIVIL, MECHAN  MANUF INNOV	1	DIVISIONI OF CIVIL, MECHANICAL AND	0	Office.ContractingOfficeCode
491005	DIV OF INSTITUTION  AWARD SUPPORT	1	DIV OF INSTITUTION&AWARD SUPPORT	0	Office.ContractingOfficeCode
539871	INSTITUTE OF MUSEUM  LIBRARY SVCS	1	INSTITUTE OF MUSUEM  LIBRARY SVCS	0	Office.ContractingOfficeCode
68E000	OFC INTL&TRIBL AFFAIRS(OITA)(FUND)	2	OFC INTL TRIBL AFFAIRS(OITA)(FUND)	0	Office.ContractingOfficeCode
68H000	OFC OF MISSION SUPT (OMS) (FUNDING)	1	OFC OF MISSION SUPT (OMS)(FUNDING)	0	Office.ContractingOfficeCode
690567	690567 WESTERN FEDERAL LANDS DIV	1	DOT  FEDERAL HIGHWAY ADMIN	0	Office.ContractingOfficeCode
690EG4	690EG4 W.SVC AREA PROP.MGT,ALO-800	1	FAA	0	Office.ContractingOfficeCode
6923G2	6923G2 DOT  MARITIME ADMINISTRATION	1	DOT  MARITIME ADMINISTRATION	0	Office.ContractingOfficeCode
6923G5	6923G5 ST LAWRENCE SWY DEV. CORP.	1	SAINT LAWRENCE SEAWAY DEV. CORP.	0	Office.ContractingOfficeCode
692M15	692M15 ACQUISITION&GRANTS, AAQ600	2	FAA	0	Office.ContractingOfficeCode
693195	693195 OFFICE OF ACQUISITION MGT	1	DOT  FEDERAL TRANSIT ADMINISTRATION	0	Office.ContractingOfficeCode
6933A2	6933A2 DOT  MARITIME ADMINISTRATION	1	DOT  MARITIME ADMINISTRATION	0	Office.ContractingOfficeCode
693C73	693C73 EASTERN FED LANDS DIVISION	1	FHWA - EASTERN FED LANDS DIVISION	0	Office.ContractingOfficeCode
693JF7	693JF7 DOT  MARITIME ADMINISTRATION	1	DOT  MARITIME ADMINISTRATION	0	Office.ContractingOfficeCode
693JG4	FEDERAL LANDS HIGHWAY HEADQUARTERS	1	FHWA	0	Office.ContractingOfficeCode
693JJ4	693JJ4 OFFICE OF ACQUISITION MGT	1	FMCSA	0	Office.ContractingOfficeCode
693JJ5	693JJ5 FMCSA FINANCE OFFICE	1	FMCSA	0	Office.ContractingOfficeCode
693JJ6	693JJ6 FEDERAL RAILROAD ADMIN	1	FEDERAL RAILROAD ADMIN(00053)	0	Office.ContractingOfficeCode
693JJ8	OFFICE OF BUDGET AND POLICY(TBP)	1	FEDERAL TRANSIT ADMINISTRATION	0	Office.ContractingOfficeCode
693JJ9	693JJ9 NHTSA OFFICE OF ACQUISTION	1	NATIONAL HIGHWAY TRAFFIC SAFETY ADM	0	Office.ContractingOfficeCode
693JK2	693JK2 NATIONAL HIGHWAY TRAFFIC SAFETY ADM	1	NATIONAL HIGHWAY TRAFFIC SAFETY ADM	0	Office.ContractingOfficeCode
693KA7	693KA7 ENROUTE&TERMINAL CONTRACTS	2	FAA, ENROUTE  TERMINAL CONTRACTS	0	Office.ContractingOfficeCode
693KA8	693KA8 SYSTEM OPERATIONS CONTRACTS	1	FAA, SYSTEM OPERATIONS CONTRACTS	0	Office.ContractingOfficeCode
693KA9	693KA9 CONTRACTING FOR SERVICES	1	FAA, CONTRACTING FOR SERVICES	0	Office.ContractingOfficeCode
6973GH	6973GH FRANCHISE ACQUISITION SVCS	1	FAA, FRANCHISE ACQUISITION SERVICES	0	Office.ContractingOfficeCode
6973GJ	6973GJ NON-FRANCHISE ACQ SVC	1	FAA, NON-FRANCHISE ACQUISITION SVC	0	Office.ContractingOfficeCode
697DCK	697DCK REGIONAL ACQUISITIONS SVCS	1	FAA, REGIONAL ACQUISITIONS SERVICES	0	Office.ContractingOfficeCode
697DCM	697DCM FAA CENTRAL SVC MGMT,ALO-700	1	FAA	0	Office.ContractingOfficeCode
6982AF	6982AF CENTRAL FEDERAL LANDS DIVISI	1	FHWA - CENTRAL FEDERAL LANDS DIVISI	0	Office.ContractingOfficeCode
698523	FHWA - WYOMING DIVISION OFFICE	1	DOT  FEDERAL HIGHWAY ADMINISTRATION	0	Office.ContractingOfficeCode
6991CH	6991CH FAA, WESTERN/PACIFIC REGION	1	6991CH FAA, WESTERN/PACIFIC REGION,	0	Office.ContractingOfficeCode
6991PE	6991PE DOT  MARITIME ADMIN	1	DOT  MARITIME ADMIN	0	Office.ContractingOfficeCode
69A200	FAA HQ OFF. OF BUDGET AND PROGRAMS	1	FAA NATIONAL HEADQUARTERS	0	Office.ContractingOfficeCode
69A220	FAA HARRISBURG A/P DIVISION OFFICE	1	FAA EASTERN REGION	0	Office.ContractingOfficeCode
69A275	ATLANTA AIRPORTS DIVISION OFFICE	1	FAA SOUTHERN REGION	0	Office.ContractingOfficeCode
69A295	ARKANSAS/OKLAHOMA AIRPORTS DIV OFC	1	FAA SOUTHWEST REGION	0	Office.ContractingOfficeCode
69A335	GRANT MANAGEMENT BRANCH, ANG-A19	1	FAA WILLIAM J. HIGHES TECHNICAL CEN	0	Office.ContractingOfficeCode
69A621	BUILD AMERICA BUREAU	1	BUILD AMERICAN BUREAU	1	Office.ContractingOfficeCode
70B04C	INFORMATION TECHNOLOGY CTR DIV	1	DHS CUSTOMES AND BORDER PROTECTION	1	Office.ContractingOfficeCode
70C0AC	CHIEF FINANCIAL OFFICER OFFICE OF ASSURANCE AND COMPLIANCE	1	CFO - ASSURANCE  COMPLIANCE	1	Office.ContractingOfficeCode
70C0AM	CHIEF FINANCIAL OFFICER OFFICE OF ASSET MANAGEMENT	1	CFO - OFFICE OF ASSET MANAGEMENT	1	Office.ContractingOfficeCode
70C0BU	CHIEF FINANCIAL OFFICER OFFICE OF BUDGET	1	CHIEF FINANCIAL OFFICER - BUDGET	1	Office.ContractingOfficeCode
70C0FA	CHIEF FINANCIAL OFFCER FACILITIES ADMINISTRATION	1	OFFICE OF FACILITIES ADMINISTRATION	1	Office.ContractingOfficeCode
70C0PR	OFFICE OF PROFESSIONAL RESPONSIBILITY	1	OFFICE OF PRFESSIONL RESPONSIBILITY	1	Office.ContractingOfficeCode
70C0PS	CHIEF INFORMATION OFFICER OPERATIONS DIVISION	1	CIO OPERATIONS DIVISION	1	Office.ContractingOfficeCode
70C0TD	OFFICE OF LEADERSHIP AND CAREER DEVELOPMENT	1	OFFICE OF TRAINING AND DEVELOPMENT	1	Office.ContractingOfficeCode
70CAGC	ENFORCMNTREMOVL OPNS SPC AGUADILLA	1	ENFORCEMENT AND REMOVAL OPERATIONS MIAMI AGUADILLA	1	Office.ContractingOfficeCode
70CAP0	ACQUISITION POLICY&OVERSIGHT	1	ACQUISITION POLICY  OVERSIGHT	1	Office.ContractingOfficeCode
70CAS0	US IMMIGRATION  CUSTOM ENFORCEMENT	2	ICE ASST SECRETARY	0	Office.ContractingOfficeCode
70CB0S	HOMELAND SECURITY INVESTIGATIONS BOSTON	1	DHS INVESTIGATIONS SAC BOSTON	1	Office.ContractingOfficeCode
70CBAL	HOMELAND SECURITY INVESTIGATIONS BALTIMORE	1	DHS INVESTIGATIONS SAC BALTIMORE	1	Office.ContractingOfficeCode
70CBRM	CHIEF INFORMATION OFFICER BUSINESS RESOURCE MANAGEMENT	1	CIO BUSINESS RESOURCE MANAGEMENT	1	Office.ContractingOfficeCode
70CBTV	ENFORCEMENT AND REMOVAL OPERATIONS BATAVIA	1	ENFRCMNTREMOVL OPNS FOD POCBATAVIA	1	Office.ContractingOfficeCode
70CBUF	HOMELAND SECURITY INVESTIGATIONS BUFFALO	1	DHS INVESTIGATIONS SAC BUFFALO	1	Office.ContractingOfficeCode
70CCAD	ENFORCEMENT AND REMOVAL OPERATIONS CRIMINAL ALIEN DIVISION	1	ENFORCMNTREMOVL OPNS HQ CRIM ALIEN	1	Office.ContractingOfficeCode
70CCED	ENFORCEMENT AND REMOVAL OPERATIONS COMPLIANCE ENFORCEMENT DIVISION	1	ENFORCMNTREMOVL OPNS HQ COMPLIANCE	1	Office.ContractingOfficeCode
70CCHG	HOMELAND SECURITY INVESTIGATIONS CHICAGO	1	DHS INVESTIGATIONS SAC CHICAGO	1	Office.ContractingOfficeCode
70CCHR	HOMELAND SECURITY INVESTIGATIONS â€“ CHARLOTTE	1	HOMELAND SECURITY INVESTIGATIONS CHARLOTTE	1	Office.ContractingOfficeCode
70CCN0	OFFICE OF THE CHIEF INFORMATION OFFICER	1	CIO - IMMEDIATE OFFICE OF THE CIO	1	Office.ContractingOfficeCode
70CCR0	OFFICE OF CONGRESSIONAL RELATIONS	1	ICE OFFICE OF CONGRESSIONAL RELATIO	0	Office.ContractingOfficeCode
70CDAL	HOMELAND SECURITY INVESTIGATIONS DALLAS	1	DHS INVESTIGATIONS SAC DALLAS	1	Office.ContractingOfficeCode
70CDEN	HOMELAND SECURITY INVESTIGATIONS DENVER	1	DHS INVESTIGATIONS SAC DENVER	1	Office.ContractingOfficeCode
70CDET	HOMELAND SECURITY INVESTIGATIONS DETROIT	1	DHS INVESTIGATIONS SAC DETROIT	1	Office.ContractingOfficeCode
70CDLG	DETENTION MANAGEMENT LAGUNA	2	DETENTION MANAGEMENT - LAGUNA	0	Office.ContractingOfficeCode
70CDV1	HOMELAND SECURITY INVESTIGATIONS DIVISION 1	1	HSI - HQ - DIV 1	1	Office.ContractingOfficeCode
70CDV2	HOMELAND SECURITY INVESTIGATIONS DIVISION 2	1	HSI - HQ - DIV 2	1	Office.ContractingOfficeCode
70CDV3	HSI - HQ - DIV 3	2	HOMELAND SECURITY INTEL - HQ DIV 3	0	Office.ContractingOfficeCode
70CDV4	HSI - HQ-  DIV 4	2	HOMELAND SECURITY INTEL - HQ DIV 4	0	Office.ContractingOfficeCode
70CDV5	HOMELAND SECURITY INVESTIGATIONS DIVISION 5	1	HSI - HQ - DIV 5	1	Office.ContractingOfficeCode
70CDV6	HOMELAND SECURITY INVESTIGATIONS DIVISION 6	1	HSI - HQ - DIV 6	1	Office.ContractingOfficeCode
70CELC	ENFORCEMENT AND REMOVAL OPERATIONS SAN DIEGO EL CENTRO	1	ENFORCMNTREMOVL OPNS FOD EL CENTRO	0	Office.ContractingOfficeCode
70CELP	ENFORCEMENT AND REMOVAL OPERATIONS EL PASO	1	ENFORCMNTREMOVL OPNS SPC EL PASO	1	Office.ContractingOfficeCode
70CEMD	ENFORCEMENT AND REMOVAL OPERATIONS ENFORCEMENT MANAGEMENT DIVISION	1	ENFORCMNTREMOVL OPNS HQ ENF MNGMT	1	Office.ContractingOfficeCode
70CEP0	HOMELAND SECURITY INVESTIGATIONS EL PASO	1	DHS INVESTIGATIONS SAC EL PASO	1	Office.ContractingOfficeCode
70CFA0	ENFORCMNTREMOVL FOD SAN ANTONIO	2	ENFORCMNT&REMOVL FOD SAN ANTONIO	0	Office.ContractingOfficeCode
70CFAT	ENFORCEMENT AND REMOVAL OPERATIONS ATLANTA	1	ENFORCMNTREMOVL OPNS FOD ATLANTA	1	Office.ContractingOfficeCode
70CFB0	ENFORCEMENT AND REMOVAL OPERATIONS BOSTON	1	ENFORCMNTREMOVL OPNS FOD BOSTON	1	Office.ContractingOfficeCode
70CFBL	ENFORCEMENT AND REMOVAL OPERATIONS BALTIMORE	1	ENFORCMNTREMOVL OPNS FOD BALTIMORE	1	Office.ContractingOfficeCode
70CFBV	ENFORCEMENT AND REMOVAL OPERATIONS BUFFALO	1	ENFRCMNTREMOVL OPNS FOD BUFFALO	1	Office.ContractingOfficeCode
70CFCH	ENFORCEMENT AND REMOVAL OPERATIONS CHICAGO	1	ENFORCMNTREMOVL OPNS FOD CHICAGO	1	Office.ContractingOfficeCode
70CFDA	ENFORCEMENT AND REMOVAL OPERATIONS DALLAS	1	ENFORCMNTREMOVL OPNS FOD DALLAS	1	Office.ContractingOfficeCode
70CFDG	ENFORCEMENT AND REMOVAL OPERATIONS WASHINGTON DC	1	ENFORCMNTREMOVL OPNS FOD WASH DC	1	Office.ContractingOfficeCode
70CFDN	ENFORCEMENT AND REMOVAL OPERATIONS DENVER	1	ENFORCMNTREMOVL OPNS FOD DENVER	1	Office.ContractingOfficeCode
70CFDT	ENFORCEMENT AND REMOVAL OPERATIONS DETROIT	1	ENFORCMNTREMOVL OPNS FOD DETROIT	1	Office.ContractingOfficeCode
